,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601881.CH.EQUITY,0,0,-0.0319633565205176,0,0,0,0,0,0.430820738872653,0,0,0,-0.130482641914106,0,0,0,0,0,-0.000515495880193631,0,0.219139726661664,0,0.047791312815007,0,0,0,0,0,0,0,0,0.340509622790792,0,0.195847551921425,0,0,0,0,0,0,-0.322842238945555,0,0,0,0,0,0,-0.126953998737278,0,0.0400240775392996,-0.0693154220053453
X601901.CH.EQUITY,0,0,0,0,0,-0.0620204128076911,0,0,-0.110392684579639,0,0,0,0,0.0360136919197715,0,0,0,0,0,0,0,0,0,-0.0360090007066325,0,0,0.356378967064297,0,0,0,0,0.526853255926618,0,0,0.0221673443096695,0,0,0,0,0,0.0445250633650894,0,-0.0938794238319538,0,0,0.0315435337476808,0,0,0.0227373380854446,0,-0.330097151143608
X388.HK.EQUITY,0.0735058179797401,0,0,0,-0.103541209799422,0,0,0,0,0,0,0.0573941987903255,0,0,0,0,0,0,0,0,0,0.566338680900451,0,0,0,0.0162589411990927,0,0,0,8.67361737988404e-19,0.0148519153066413,0,0,0,0,0,0,0,0,0.0757004648294115,0,0,-0.00406272548153307,0,0,0.0263522284480703,0.11822385033061,0,0.00195032934910145,0,0
X601318.CH.EQUITY,0,0.227503050220814,0,0,0,0,0,0,0,0,-0.257418780938039,0,0,0,0,0,0.104486611999459,-0.0727751227976248,0,-0.0409099293249941,0,0,0,0,0,0.240565728592116,0,0,0,-0.0628314401098373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574153029300973,0,0.110528517209017,0,0,0,0,0
X601319.CH.EQUITY,0.293295946956481,-0.224438479143774,0,0,0,0,0.135093168934698,0,0,0,0,0,0,0,-0.0886635950898644,0.0740939533144594,0,0,0,0,0,0,0,0,-0.0790395323808217,8.67361737988404e-19,0,0,0,0.117462043377102,0,0,0,0,0,0,0,0,0,0,-0.00965957774073831,0,0,0.403407209458686,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0.460884798061053,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0355675161652007,0.0208361009971882,0,-0.0449313230491712,0,0,0,0,0,0,-0.165318933247207,0,0,0,0,0,0,0.230471121422759,0,0,0,0,0,0,0,0,0,0,0,0.101840839978947,0,0.170066501777965,0,0,0.234024652655401,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.129103259933277,0.134111474129329,0.0905058484175253,0.0651984201488851,0,0,0,0,0,0,-0.104095231878601,0,0,0,0,0,0.0462302821137202,0,0.00189662121041333,0,0,0.187427219480717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101667432119506,0.194613682711091,0,0,0.315589740412258,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283153531873122,0,0,0,-0.116344955929516,0,0,0.116789620354908,0,-0.0426545347459144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022827061967992,0.0494907756165704,0.296320281148323,0,0,0,0,0.0714901172519198,0.0823702714097603,0.0698078521341855,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.105615612807273,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.318532535075527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0554425900223724,0,0.10935077194184,0,0,0.352444035135546,0,0,0,0.0720948948676743,0,0,0.0498200961678468,0,0.00587089695348386,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.286630440627505,0.211833934732831,0.211896347369501,0,0,0,0,0,0,0,0,0.0827767734769637,0,0.124694239301222,0.0374710081123877,0,0,0,0,0,0,0,0,-0.111234001200018,0,0,-0.223802932293425,0,0,0.0235854291591897,-0.159492297138581,0.444569807431589,0,0,0,0,0.399248143356842,0,0.0432770918359727
X2882.TT.EQUITY,0,0,0,0,0,0.0467965243883199,0,0,0,0,-0.0117948539879301,0,0,0,0,0,-0.15372873248013,0,0,-0.023521746524841,0.0388883089655976,0.234095705956792,0,0,0.212686026158871,-0.0418587319905109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124817014198016,0,0.0444133297989747,0.305205105004043,0,0,0
X267.HK.EQUITY,0,0,-0.0742429192700419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139872700714809,0,0,0,0.376453619277435,0.0352705763511338,0.263464977285764,0,0.0635769625360554,0,0.153923064023649,0,0,0,0,0,0,0,0,0,0,0,0.123512246066067,0,0,0,-0.0321107466273379,0,0,0,0,0,0,0,0.139419467613814
macro_return_add,0,0,0,0,0,0,-0.0369092577926241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137255752335731,0,-4.33680868994202e-19,0.128475739396795,0,0.0311049693414886,0,0,0,0,0,0,0,0,-0.923638915655748,0,0,0,-0.169930498736956,0,0,0,0,0,0,0.551288230157632,-8.67361737988404e-19,-4.33680868994202e-19,0.107258574100875,0
