,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601818.CH.EQUITY,0.0582601779750153,0,0,0,0,0,0,0,0.404432437782465,0,0,0.0525768548207587,0,0,0,0,0,0.476451737440018,0,0.0153156713043775,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205912634354022,0,0,0,0,-0.0522869371072845,0.00807973970978043,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.472651700329256,0,0,0,0,0,0,0,0,0,0,0.385237290379079,0,0,0.0647035729166884,0,0.0246786644132951,0,0,0,0,0,0.0838742688307014,0,0,0,0,0,0,0,0,-0.0244815385032302,0,0,0,0,0,0.0369480738724259,0,0,0,0,0,0,-0.0976059434647027,0,0,-0.0180637563253738,0
X601988.CH.EQUITY,0.134852846400683,0.0515216503136252,0,0,0,0,0,0.131238012237332,0,0,0,0.360366431972692,0.244818286415224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181951721326567,0,0,0,0.0188721151009333,0,0,0,0,0,0,0,0,0,0,0.0508709817236209,0,-0.0583533063650335
X601998.CH.EQUITY,0,0,0.0109915761592239,0,0,0,0.486758689669265,0,0,0.155903161743266,0,0,0.114935401027859,0,0.239620164283153,0,0,0,0,0,0,-0.0545763006886027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446197039312059,0.0146018440392988,0,0,0.0610642978695478,0,0,1.38777878078145e-17,-0.0714232962510406,0,0,0,0.121247872631196
X601658.CH.Equity,0,0,0,0.502080398705747,0,0,0,0,0,0,0.0332068621115329,0,0,0,0,0,0,0,0,0,0.207768702450761,0,0,0,0,0.0618709657747286,0,0,0,0,0,0,0,0.47522102375802,0,-0.588108249588212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601916.CH.Equity,0,0,0.0295463321442846,0,0.181444890144247,0,-3.46944695195361e-18,0,0,0.16519445337579,0,0,0,0,0.225273079660323,0,0,0.238403232811787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911768952231299,0,0,0.0742361581154487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,-0.0754999149136507,0,0,0,0,0,0,0,0,0,0,0,0,-0.119151188159693,0,0.124647162852773,0,0,0.572080293104406,0.361765978439448,0,0,0,0,0,0,0,0,0,0,0,0,-0.0667189959902025,0,0,0,-0.0313610374164104,0,0,0,0,0,0,0.343229666434927,-0.0721686684101361,-0.0317136420554841,0,0
X2388.HK.EQUITY,0,0,0,0,0,-0.0241289302160031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351090363293373,0,0.112664104351026,0,0,0.168163343306863,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0570531553307232,0,0,0.0972345973178189,0,0.290887461514533,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.173866589676455
X5.HK.EQUITY,-0.378126489359841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919164691949,-0.635138861114562,0,0,0,0,0,0,0.129166992594875,0,0,0,0,0,0,0.236125692043253,0,0,0,-0.233821723732362,0,0,0,0,0,0,0,0,0.213249236734665,0.618199128627254,0.0548877164451468
X2884.TT.EQUITY,0.251511649896723,0.265499600915712,0,0.195993372186051,0,0,-0.0451382317961554,0,0,0,0,0,0,0,0,-0.468154542297906,0,0,0,0,-0.0186962857163488,0,-0.195385352788989,0,0,0.541158630449171,0,0,0,0,0,0,0,-0.026729584071283,0,0,0,0,0,0,0.0516109635057001,0,0,0,0,0.223241423601338,0,0,0.063108142003213,0,0
