,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.359256197820463,0,0.308151480534778,0,0,0,0,0,0.0475327506726574,0,0,0,0,0.0512345071692017,0,0,0,0,0,-0.0444714307132335,0,0,0,0,0,0,0.0432749450706188,0,0,0,0,0,0,0,0,0,0,0,0,0.0897157939885609,0,0,0,0,0,0.0585082999100449,0,0,0,0,0
X601318.CH.EQUITY,0.0723367111371601,0,0,0,0,0,0,0,0.190474843654281,0,0,0,0,0,0,0,0.233486696314175,0,0,0,0,0,0,-6.93889390390723e-18,0.0451062640580856,0,0,0,0,0,-0.0890160903829122,0.101481721493112,0,0.0485068336070931,0.143629465623684,-8.67361737988404e-19,0.16470580514539,0,0,0,0.0526541469165431,0,0,0,0,0,0,0,0.096910896141109,0,0,0
X601939.CH.EQUITY,0,0,0,0.332380458996641,0,0.0707249316611871,0,0,0,0,0,0,0.438378994118449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569205728872592,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.353902314150659,0,0.00621509838977674,0,0,0.497594019179217,0.003523152750159,0,0,0,0,0.0105189274917845,0,0,0.0407537147902006,0,0,0,0,0,0,-0.0321750626217087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164908844162739,0,0,0,0,0.0955191808768481,0,0,0.00716287287094456,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0943375574410724,0,0,0,0,0,0,0,0,0,0.145892084476078,0,0,0,0,0,0,0,0,0,0.092151699230978,0.229802402083648,0,0,0.253188532136187,0,0,0.0914062662821047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05069317857785,0,0
X601988.CH.EQUITY,0.410993647412388,0,0.0593752926301413,0,0,0,0,0,0.0419375405732665,0,0,0.00825001972931712,0,0,0,0,0,0.082026573930664,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.162674349836483,0,0,0,0.0267112250081797,0,0,0,0,0,0,0,0,0,0,0.207337015369461,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.154033097877097,0,0,0,0.0187161249777506,0,0,0,0,0.565103336524702,0,0,0,0,0,0,0,0,0,0,0.0675143764293399,0,0,0,0.0643278344986171,0,0,0,0,0.0609782232544144,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0480707656438813
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0707138861599367,0,0,0.407920039455299,0,0,0.150846277699259,0,0,0.0780808813496396,0,0,0,0,0,0,-0.0287519378904269,0.399857739845237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.114739837644364,0,0,0,0,0.122776544691661,0,0,0,0,0,0.148874488142254,-1.38777878078145e-17,0,0,0,0,-0.0360869839642014,0,0,0.0723479257273634,0,0,0,0,0,0,0,0.220479041039242,0,0,0,0,0,0,0,0.00717668206935358,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.161626828302509,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290089056044238,0,-0.0343186188488966,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,-0.0751094159587072,0,0,0,0,0,0,0,0,0.0449419394078462,0,-0.00243217589262534,0,-0.7997871254946,0.391015802182032,0,0,0.711372436499653,0.542322925350192,-0.519238783185013,0,-0.172532008983987,0,0,-0.437627616705108
