,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.296218711801134,0,0.00556459123161213,0,0,0.444301300818128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115304901788227,0,0,0,0.065142337797583,0,0,0.0179477561220512,0,0,0,0,0,0,0,0.0769370166702651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.112551933981332,0,0.0938266385595923,0,0,0,0.192417063800451,0,0,0,0.0780075322251977,0,0.0981016858956348,0,0,0.0528900574067108,0,0,0.163868121663682,0,0,0,0,0,0,0,0.105799935631582,0,0,0.00249437611948898,0,0,0,0,0,0,0,0,0,0.0344235642866517,-0.0631155522659393,0,0.0922387762959701,0,0.0843519346681407,0,0,0,0.0646927836394338,-0.0732374598472489
X601939.CH.EQUITY,0.460670094291168,0.153285294302128,0,0,0,0,0,0.226742680763153,0,0,0,0.0121705585645975,0,0,0,0,0,0,0,0,0,-0.133517944119745,0,0,0,0,0,0,0.135438441027067,-0.0234603300058431,0,0,0.114174743920426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132790617535945,0.161844202914495,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.568875270248954,0,-0.0831713704415393,0,0.0384439841005378,0,0,0,0,0,0,0,0,0.000405904057630632,0.0624557943627647,0.104603553092078,0.0765906072403761,0,0,0,0,0.114502592414402,0,0,0,0.0558216419145317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540196509673653,0,0,0,0.0054568156036649,0
X600036.CH.EQUITY,0,0.156008996853132,0,0,0,0.0176625898117921,0,0,0,0,0,-0.00710440065317859,0.11263321782937,0,0,0.0297625353173114,0,0,0,0,0,0,0.0923483973991926,0,0,0,0.0847839466173906,0,0,0.0315830600156953,8.67361737988404e-19,0,0,0,0,0,0,0.053488134200315,0,0,0.0809294422815458,0,0,0,0,0,0,0,0,0.358497664268026,-0.287177379884467,0
X1299.HK.EQUITY,0,0,-0.155507240780894,0,0,0,0,0,0,0.174694539139942,0,0,0,0,0,0,0,0,0,0.14750676281435,0,0,0.0666753583835847,0.160948732452938,0,0,0,0,0,0,0,0,0.0717729893079583,0,0,0,0,0.210703941590771,0.0262900928088909,0,0.0476857114088378,0.0725811444271931,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0876393717530199,0,0,0,0,0,0,0,0,0,0,0,-0.0634327927013127,0,0,-0.189966806945554,0,0,0,-0.0120101733536306,0,0.172555241555946,0,0,0.0476065077965825,0,-0.101937477665325,0,0,-0.00651487336894934,0,0,0,0.569980507866669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.123700453841161,0,0.100251351535437,0.318303504164082,0,0,0,0,0,0,0,0,0.273288903348414,0,0,0,0.0902200520822735,0,0,0,0,0,0.00937085549598573,0.0196702007528691,0,0,0,0,0,0,0.171165915751744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.271184744278002,0,0,0,0,0,0,0,0,0,0,0,-0.0297536221717513,-0.102742106147536,0,0,0,0,0,0,0,0,0.382087250940548,0,0.0733513994112185,0,0.0994887876914852,-0.0194544745768465,0,-0.0396343444028926,0,0.0683563312113055,0,0,0,0,0,0,-0.0530628305746501,0.209561297387696,0,0.0657375797796889,0,0,0,0.153532739120551,0,0,0,0.0287621603500889,0
X388.HK.EQUITY,0,0,0,0,-0.0734668606122546,0.243667286304898,0,0,0,0,0,0,0,0,-0.0100097595149611,0,0,0,0,-0.113614143221393,0,0.475773998255581,0,0,0,0,0,0.0261140296832625,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0800679587290715,0.133209201135977,0,-0.0815662699253455,0,0.155761510595788,0,-0.349704087680017,0.00485626410500932,0,0,0,0.170239891926782,0
