,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.14644730137152,0,0.0778577785548872,0,0,0,0,0,0,0.346150971852699,0.129655310586387,0,0,0,-0.137883536916559,0,0,0,0,0,0,0,0,0,0,0,0.000999813794452894,0,0,0,0,0.172257573883777,0,0,0,0,0,0,0,0,0.127793770662204,0,0,0,0.0641099796433044,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0464250723471723,0,0,0.237854477878438,0,1.38777878078145e-17,0.152159530322644,0,0,0,0.0547401657083687,0,0,0,0,0,-0.122710828278225,0,0,0,0,0,0,0,0,0,0.181874781656105,0,0,0,0,0,0,-0.311227130187621,0,0.339869505164818,0.0396079839417066,0.198256483257087,0,0,0,0,0.0901379255049669,0,0,0
X601939.CH.EQUITY,0.484109479675175,0,0,0,0,0.178928233990829,0,0,0,0,0,0,0,0.05906375418778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375064991999151,-0.120860893610179,0,0,0.0496586134731918,0,0,-0.0474862885094437,0,0,0,0,0
X601288.CH.EQUITY,0.602562153641639,0.110512276129582,0.123504522213,0,0.00786923930386456,0.0300704352904968,0,0,0.0306924918075573,0,0,0,0,0,0.025530809608037,-0.0485393535921409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904814876706124,0.0572656511898188,0,0,0.0042013702941627,0.165350625471022,0,0,0,0,0,0,0,0,0,0.0978450121447475,0,0
X5.HK.EQUITY,0,-0.0414453794714276,0.113294044953922,0.153218112273475,0,0.133186367026056,0,-0.00981749303502133,0,0,0,0.230966479704696,0,0,0,0,0,0.65956115137575,0,0,0,0,0,0,0,0,-0.195234603456512,0,0,0,0,0,0,0,0.0297158370150454,0,0,0,0,0,0,0,0,0,0,0.126063232934432,0,0,-0.102017353073498,0,-0.0419401135143714
X601988.CH.EQUITY,0.173814412047921,0,0,0.188288708688061,0.0667356584843263,0,0,0,0.0668002179044749,0.0590117235254114,0,0,-0.414543243705199,0,0,0,0,0,0,0,0.408636652062288,0,0.00596542462464186,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0118462207200288,0,0,0,0,0,0,0,0.117457057661403,0,0.074642160634293,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.153989420729369,0,0,0,0,0,0.0800981021650988,0,0,0,0,0,0.248794814944862,0,0.0482662648679635,0,0,0,0,0,0,0,0,0.0624223797792581,0,0,0,0,0,0,0.238893862361043,0,0,0,0,0.143226510961021,0,0,0,0.0465925337316637,0.104594107534121,0,0,0,0,0,0,0,0.00358764513291524,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0137011504662832,0.0357659712903995,0,0,0.216168858802433,0,0,0,-0.159156952898022,0,0,0.288188486522488,0.240778803155392,0,0,0,0,0.0503524959924393,0,0,0,0.150370182758866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0766780853508108,0,0.157129500299696,0,0,0,0,0
X601628.CH.EQUITY,0.107670990182197,0.386249162344534,0,0,0,0,0,0,0,0,0,0,0,-0.0279729797933009,0,0,0,-0.089617250466893,0.102637453774741,0,0,0,0.0130793370002678,0,0,0,0,0,-0.0793164537159988,0,0,0,-0.174042910138572,0.0692157098699981,0,-1.73472347597681e-18,0,0,0,0,0,0.267662799064243,0,0,-0.0581272248313637,0.0758815237746744,0,0,0,0,0.164306503284282
X601166.CH.EQUITY,0.0537571011468086,0,0,0,0,0,0.493993261232313,0,0,0,0,0,0,0.0199235867614724,0,0.202237613956106,0,0,0,0.0520798123283284,0,0,0,0,0,0,0,0.0355422086892104,0,0,0,0,0,0,0,0,0,0.00902857243047566,0,0,0,0,0,0.179325848940785,0,0,0,0,0,0,0
