,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.542808326242715,0,0.0184838158427506,0,0.0593756619926391,0,0,0,0,0,0.102021180489164,0,0,0,0,0,0.0916674670085431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297066600257536,0,0,0.115132342973183,0,0.00147444215236765,0,-0.0523472474354656,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.151648368961879,0,0.0900960757862753,0,0,0,0,0,0,0,0.0700441184312279,-0.00955310344458832,0.248056634952987,0,0,0,0,0,0,0,0,0,0,0,-0.0144064524932614,0,0,0.0469971564318868,0,0,0,0,1.73472347597681e-18,0.182934377657128,0,0.0437581259498794,0,0,0,0,0,0.144407512758696,0,0,0
X601939.CH.EQUITY,0,0,0,0.358815222688608,0,0.279520353734844,0,0,0,0,0.0183060532395992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162885953446983,0,0,0,0.0112207483355699,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.00785282869849774,0,0,0
X601288.CH.EQUITY,0.209110425059786,0,0.289884066525357,0,0,0.087081278673505,0,0,0,0.0163485537266703,0,0,0,0,0,0,0,0,0.165963704825088,0,0,0,0,0,0,0.0254302657287226,0,0,-6.93889390390723e-18,0.0540721165647667,0,0,0,0,0,0,0,0,0.0898446193956147,0,0,0,0,0,0,0,0,0,0,0,-0.108788590543338
X5.HK.EQUITY,0,0,0,0,0,0.184402608579074,0,0.357864458258524,0,0,0,0,0,0,-0.163032088425934,0.338461790314072,0.218972824792253,0.13874646330212,-0.0998511592437658,0,-0.15680061396179,0,0,0,0,0.208963252083547,0,0,0,0.113824540722889,0,0,0,0,0,0,0,0,0,0,0,0.0511327969698722,0,0,-0.140034843073683,-0.476893476545938,-0.0422319818809394,-0.0824123081512659,0,0.0915175375903307,0
X601988.CH.EQUITY,0.100309566381819,0,-3.46944695195361e-18,0,0.0240185652728628,0,0,0,0,0,0,0,0.0326964774603299,0,0,0,0,0,0,0,0,0,0.601331052868664,0.0318001082310483,0,0,0,0,0,0.119377908853686,0,0,0,0,0,0,0,0,0,0.0660351741514121,0,0,0,0.00359115091538657,0,0,0,0,0,0.0960582588245185,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0246652502334202,0,0,-0.0226521947184262,0,0,0,0,0,0,0.0726482352339955,0,0,0,0,0,0.716344734064329,-0.00811966097333336,0,0,0.0267704618546253,0.09615594319184,0,0,0,0,0,0,0,0,0,0,-0.00128363399191785,0,0.0667981655177935,0,0.0531894099351554,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.228649834517147,0,0,0,0,0,0,0,0,0,0,0.0765921087976951,0,0,0.0201927550998158,0.254717471644024,0,0,0,0,0,0,0,0,0,0,0.219599732787009,0,0,0.0843692684744101,0,0.0573061603640566,0,0.104970557038459,0,0,0,0,0,0,0,0,0,0,0.0329071249462558,0,0,0,0,0
X601628.CH.EQUITY,0,0.215155143557593,0,0,0,0,0.0307854950582832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504335879263591,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.403582981757256,0.232087696738983,0,0,0,0.0294979772999489,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.137058837956616,0,0,0,0.118450037310601,0.00562856643437496,0,0,0,0,0,0.261655288898123,0,0,0,0,0,0,0,0.23239563232531,0,0,0,0,0,0,0.055785152439696,0,0,0,0,0,0,0,0,0.0149198865040947,0,0.20354302165951,0,0,0,0,0,0,0,0,0.0103090609573835,0,0
