,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.102263691199009,0,0.388124155187246,0.0970068484912938,0.0999419272125052,0,0,0,0,0,0,0,0,0,0,0.264447441131703,0,0,0,-0.00896742356795545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400829005962239,0,0.0502784106937494,0,0.0591794245685043,0,0,0,0.05737321464182,-0.0973323410951658,0
X601318.CH.EQUITY,0,0,0,0.256900980166827,0,0,0,0,0.179555102197461,0,0,0.00735932826766,0.0280274829031541,0,0,3.46944695195361e-18,1.73472347597681e-18,0.0817710364593734,0,0.0981375620447924,0,0,0,0,0,0,0,0,0.0246333693353386,0,0.0887557562556851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112939649965561
X601939.CH.EQUITY,0,0,0,0,0.150144375048479,0,-6.93889390390723e-18,0,0,0,0,0.120008052063457,0,0.0642958197446222,0,0,0,0,0.020668461777603,0,0.000587022802270545,0,-0.0836199102970102,-0.0362337703898767,0.57088678449714,0,0.173184657349131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492959665861335
X600036.CH.EQUITY,0,0.201073957102411,0,0,0,0,0.134117277763385,0.0967049364386739,0,0,0,0,0.189113659703234,0.0855229598444754,0,0,0,0,0,0,0,0,0,0,0,0.254554640009698,0,0,0,0.0610002505762649,0,0,0,0,0,0,0,0,0,0.0271489578712545,0.01054967985364,0,0,0,0,0,0,0,0,0,0,0.00291731128832567
X601288.CH.EQUITY,0.169122345393061,0.154191102053037,0.17489328927283,0,0,0.0859371222598734,0,0.169434339034805,0,0,3.46944695195361e-18,0,0,-0.0376174164196317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132923835721277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105413049975938,0,0,0,0,0.0899552697006438,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135974631236036,0,0,-0.0395964281945397,0,0.0565032309223182,0,0,0,0.129753762710054,0,0,-0.108940823858554,0,0,0,0.0112373626254539,-0.0200310881836744,0,0,0,0.735943895201775,-0.0720748303097283,0,0,0,0,0,0.0949876967112084,0,0,0,0,0.155243438495401,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.079216232017263,0,0,0,0,-0.0453490362474502,0,0,0.140582334323012,0,0,0,0,0,0,0,0,0,0,0,0.0500230136368131,0.108493075862661,0,0,0,-0.243820145465215,0,0,0,0.0189979672968954,0,0,0,0,0,0,0,0.265604462473969,0,0.236706164946875,0.116454536537015,0.225240723802985,0.0273031264859532,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.394123964105216,0.17038621104631,0,0,0,0,0,0,0,0,0,0,0,0,0.200398976771265,0,0,0.0116295690754561,0,0,0.168903876978501,0.135805991373644,0.0397472489286838,0,0,0,0,0.0756117928469153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327455889017551
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0321371133886321,0,0,0.0102998759955773,0.0189053349420861,0,0,0,0,0,0,0,0.207576202205396,0,0.0996027888958791,0,0.128280440078621,0,0,0,0,0.0295993949542761,0,0,0,0,0,0,0,0.0128448246878528,0,0.243998582492742,0,-0.0669013299185364,0,0,0.191378918432515,0,0,0,0,0.0830329864292891,0,0,0
X601166.CH.EQUITY,0,0,0.0502880158120744,0.0572519652241713,0,0.027616624936346,0,0,0,0,0,0.0193907332826304,0.106097966510081,0.0682125352346289,0,0,0,0,0,0,0,0,0,0,0,0.163806541483721,0,0.368977101629652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00490668452385009,0,0,0,0
