,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.525090277077577,0,0,0,0.143683814571627,0,0,0.0657116367607003,0.0214058000834257,0,0,0,0.171057683266127,0,0.031748942343051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023369925609793,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00905160988187323,0.140067710129766,0.241475757264381,0,0,0.0371553035976566,0,0,0,0,0.316117060826135,0,0.0909857388430261,0,0.0631047101158695,0,0,0,0,0.0364685732914938,0,0,0,0,0,-0.0575695943260177,0,0,0,0,0,0,0,0.0709987269499475,0,0,0,0,0.0139928004471846,0,0,0,0,0,-0.0119165634845482
X601939.CH.EQUITY,0.31556405739558,0,0,0.177448238697526,0.14084755495671,0.0457277727681334,0,0,0,0,0,0,0,0,-0.0703837063918537,0,0,0,0,0,0,0,0.133127916591342,0,0,0,0,0.276723835624001,0.0622747109385537,0,0,-0.0958933202899408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116396123878114
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.197009074098056,0.0327616609560692,0,0.674141852448277,0,0,0,-0.0171658906940355,0,0,0,0,-0.109426191996386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137873184562561,0,0,0,0,0,0,0,0,0,0,0,0.0253855462669178,0,0,0,-0.172561162517859
X5.HK.EQUITY,0,0.0316600627097858,0,0,0,0.183247870396879,0,0.288027798019043,0,0.0979915780927632,0,0,0,0,0,0,0,0,0.0327372381842902,-0.0655338283062453,0,0,0,0,0,0.0153225455416322,0,0,-0.14631101157852,0,0,0,0,0,0,0,0,0.149514915126421,0,0.276457688746474,0,0,0,0,0,0,0,-0.124772057564475,0.0867882833151673,0,0
X601988.CH.EQUITY,0,0,0,0,0.329517121502773,0,0,0,0.027250989215639,0,0.0105510866846681,0,0,0,0,0,0,0.0716328749167464,0,-0.066501544637049,-0.04695059534566,0,0,0,0.240851316244033,0,0,0,0,0,0,-0.216245815251364,0,0,0,0,0,0,0,0,0.159600452283316,0,0,0,0,0,0,0,-0.0225693927984082,0.13673565994308,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0568602746398064,0,0,-0.0501455991346931,-0.0265476108632753,0,0.0845693423586614,-0.111411588280709,0,0,0,0,0,0.473763030383129,-0.00155957436240766,0,0.112181452285142,0,0,0.125429632232093,0,0,0,0,0,0.0562392949441209,0,0,0,0,0,0,0.251517588223343,0,0,0,0,0.10922296365378,0,-0.0366896304460928
X1299.HK.EQUITY,0,0,0,0,0.0822324493398511,0,0,0,0,0,0,0,0,0,0,0,0,0.178228254378201,0,0,0,0,0,0,0,0.013355744690689,0,0,0.0068395144596581,0,0.023774456946644,0,0.0785393394634655,0,0,0,0,0.419289135100738,0,0,0,0,0,0,0,0.0607362687620496,0,0,0,0,0.16940663493106
X601628.CH.EQUITY,0,0,0,0.000660842052420074,-0.0304670224230415,0,0.00789439419538029,0,0,0,0,0.136160821129959,0,0,-0.0349859844094984,0,0.319397987659396,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0620105966143085,0,0.197398012033204,0,0,0,0,0.239932864447263,0,0.0885716724453878,0.0762952288953178,0,0,0,0,0,-0.00318621337501783
X601328.CH.EQUITY,0.0734342414205377,0,0.410961638118961,0,0,0,0,0,0,0,0,0,0.428748897481389,0,0,0,0,0,0,0,0,0.182996351256276,0,0,0,0,0,0,0,0,-0.00877467477972843,0,0,0,0,0,0,0,0,0,-0.0712699296235929,0,0,0.20460219726514,0,0,0,0,0.0215269037923869,0,-0.00793946634103728
