,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,2.77555756156289e-17,0.443892977686328,0.0634584839142474,0,0,0,0,0,0,0,0,0,0.130831121780379,0,0.089946497036708,0,0,0,-0.120399186009279,0,0.010400872911892,0,0,0,0,0,0,0.0476228887055241,0,0,0,0,0,0,0,0.041374223532344,0,0,0,0,0,0,0,0,0,0.121318759428251,0.13785856164011,0,0,0
X601318.CH.EQUITY,0,0,0.178622692276241,0,0.0291935037481594,0,0,0,0,0,0,0,0,0,0.3011765508814,0,0.0366720403695196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154899665767474,0,0,0,0,0,0.170416501377183,0,0,0,0,0,0,0,0.0833827043803876,0,0,0
X601939.CH.EQUITY,0.163260805529116,0,0,0,0,0,0,0,0,0,0.170594579185688,0,0,0.288595042807614,0,0,0,0,0.0431550705722569,0.177694345254822,0,0,-0.0326225228224566,0,0,0,0,0,0,0.0187559401839535,0,0,0,0,0,0.0878667081826073,0,0,0,0,0.0368152305646867,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.347017033492499,0,0.0192479541050128,0,0.50209368082072,0,0,0,0,0,0.0113055722562105,0,0,0,0,0,0.0453073344698721,-0.0267723027356934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0893757558780291,0,0,0
X601988.CH.EQUITY,0,0,0,0.115323554318762,0,0,0,0,0,0,0,0.475442421365285,0,0.0154163621633748,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.0388238059621697,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0895300426674633,0,0,6.93889390390723e-18,0,0,0,0.0892883740655475,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.222014132995719,0,0,0,0.13556281910344,0,0,0,0.655033344522062,0,0.0768579483881917,0,0,0.522869634744422,-0.6751608126814,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239114163343167,0
X600036.CH.EQUITY,0,0,0,0.0519158458976606,0,0,0,0.101327061735412,0,0,0,0,0,0,0.145135332089283,0,0,0,0.088814744971552,0,0,0,0.0529389825803562,0,0,0,0,0,0,0,0.185372096113284,0,0.199241365452645,0,0,0.0555087797143407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797008140658459,0,0,0,0,0.0947006157632832,0.168239624407311,0,0,0,0,0,0,0.0497282291870598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267164480576257,0,0,0
X601628.CH.EQUITY,0,0,0.264547846533386,0.0324273027911466,0.227216198411876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536338314682095,0,0,0,0.133126001553314,0,0,0,0,0,0,0.110722290909594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279950861111247,0,0,0,0,0,0,0,0,0,0,0,0,0.205756330043839,0,0,-0.175324011607416,0,0,0,0,0,0,0,0.731574669187485,-0.247537040497874,-0.0107620093424359,0,0,0,0.413850180397032,0,-0.311743181299805,0,0,-0.185954309207845
