,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.033322699543979,0,0,0,0,0,0,0,0,0,0,0,0,0.506757129205712,-0.115540170247355,0.746155427831753,0.0372028969447181,0,0,0,0,-0.213134568812477,0,0.165724651850009,0,-0.303801466078711,0,0,0,0,-0.0096540079555404,-0.0290577785986836,0,0,0,0,0,0,0,0,0,0,-0.0152471969660534
X601318.CH.EQUITY,0,0,0,0,0,0,0.287775200491467,0,0,0,0,0,0,0.0626514040425055,0,0,0,0,0,0.194447446003706,0.0450148350166511,0,0,0,0,0,0,0,0.0322740942425761,0.0295676124793558,0,0,0,0,0,0,0,0.327480243607569,0,0,0,0,0,0,0,0,0.0484493050511089,0,0,0,-0.0368532685849084,0
X601939.CH.EQUITY,0,0,0,0.800328850989304,0,0,0.0254978896784326,0,0,0,0,0,0.0104215047654287,0,0,0,0,0,0,0,0,0.00653341694207759,0,0,0,0,0,0,0,0,0,0.0898561466575208,0.0282970111241332,0,0,0,0,0,0,0.0470757806965775,0,0,0,0,0,0,0,0,0.0755733156379037,0,0,0
X601288.CH.EQUITY,0.00680112127011576,0,0.891002048097014,0,-0.0814167060049582,0,0,0,0,0,0,0,0,0,0.0175704258184747,0,0.0358291148777019,0.105279684382832,0,0,0,0,0,0,0,0,0.0456133573082712,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146257076791243,0,0,0,0,0,0,0,0,0,-0.0393975650106874,0
X601628.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0175803701941146,0.83413647537879,0,0,0,0,0,0,0,0,0,0.0764490943405982,-0.136159549422008,0,0,0,0,0,0.164216520433907,0,-0.0122451102418744,0,0,0,-0.123923156853916,0,0.0719398895245804,0,0,0,0,0,0,0.0321938072417583,0,0,0,0,0.0156491806856784,0,0.130804644214829,0
X601988.CH.EQUITY,0,0,0,0,-0.144095454190462,0,0.0605880343252408,0.0698679032663765,0,0,-0.0109351499998599,-0.006847388293605,0.11498101474374,0,0,0,0,0,0,0,-0.0995480155005409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103193815610811,0,0.0149372903999318,0,0,0,0,0,0,0.96276729794234,0.0243568823408417,0.0217658592743668
X600036.CH.EQUITY,0,0,0.386886397730545,0,0,0,0,0,0.0196155308835488,-0.0167031114211144,0,0,0,0,0,0.124298517207806,0,0,0,0.0151066769606038,0,0,0,0,0,0,0.171487908264316,0,0.0485880299324531,0,0,0,0.159321763962278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361008344619514,0.00535443958506808
X1299.HK.EQUITY,0,0.0263968213234772,0,0,0.0861213614260184,0,0,0,0,0.217471904750812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22160326309359,0,0.363690540469213,0,0.191129059414341,0.139359969705715,0.189495778291992,0,0,0,0,0,0.108682511751153,0.108448653076237,0,0,0,0,0,0,-0.104490421255985,0,0,0,0,0,0.109954867299299,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136155096946352,0,-0.0468165108007613,0,0,0,0.136742935364061,0,0,0.00973739031715025,0,0.518769118040413,0,0,0,0,0,0,0,0,0.211541377271441,0,-0.281575173760672,0,0,0,0,-0.102685652009543,-1.73472347597681e-18,0,0,0,0,0,0.161023978844707,0
X388.HK.EQUITY,0,0,0,0,0.283099894343491,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239204619802929,0,0,0,0,0,0,0.473213403072769,0,0,0,0,0,0,0,0,-0.0405010979191838,0,0,0,0,-0.0602815703955679,0,0,-0.113597390771523,0.25392031390923,0,0.0252643784994934,0,0,0.00219027944065736,0,-0.115972885160102,0
