,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X388.HK.EQUITY,0,0,0.210528288630797,0,0,0,0,0.325842339235604,0,0,0.0212262946149671,0,0,0.0226945387508936,0,0,0.0999277607610716,0.133098821374063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100005049445197,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385353239836727,0,0,0,0,0,0,0,0,0.207034072870983,0,0.119147477413853,0,0,0,0,0,0,0,0.0314748066324742,0.0263512008590548,0.0469995295805275,0.230690490134439,0,0,0.216005251038717,0.0177800807275879,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0.0658921322846385,0,0,0,0,0,0,0.0928207460164137,0,0.0254736871821293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134227939048864,0.0933609232224484,0,0,0,0.261278694262663,0,0.237903904608741,0,0.145814129552231,0.0991983102528807,0,0,0,0,0,0,0,0,0,0.150822721223405
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0652189152687633,0.346570621868644,0,0.0728946353319286,0,0,0,0,0,0,0,0,0,0,0.0763560116563197,0,0,0,0.27566702080442,0,0,0,0,0.133430217903177,0,0.00511183142631369,0,0,0,0,0,0,0.0466796784536872,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0.266800963508171,0,0,0,0,0,0.230808307125861,0,0.117967223491714,0,0,0,0,0,0,0,0,0,0.158376663669214,0,0,0,0,0,0,0,0.110889128688701,0,0,0.0176871104080188,0,0,0,0,0,0.0551554041226922,0,0,0,0,0,0.0361162079354055,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0468502238575085,0,-1.0842021724855e-19,0,0,0,0,0.0586740126722976,0,0,0,0,0,0,0,0.00612410611992344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472130197679266,0,0,0.0351177987314117,0,0.36896772133615,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0.0797927538078678,0,0,0.0983765606770405,0,0,0,0,0.0583372182198952,0,0,0,0,0,0,0,0,0,0,0.0760092180315104,0,0,0.401619547206475,0,0.247450142337967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.235336894469048,-3.46944695195361e-18,0,0,0.0432701737252396,0.0501960544563041,0,0,0,0,0,0,0,0,0,0,0.028856936488682,0,0,0,0,0.0441191658059035,0,0,0,0,0,0,0.0129352770078125,0,0,0,0,0,0,0,0,0,0,0.438781672974767,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0332668287788375,-0.04936064883172,-0.033575047620745,0,0,0,0.189626161573448,0.109715376239261,0,0,0,0,0,0,0,0,0,0,0.278963985063531,0,0,0,0,0,0,0,-0.0602841092584047,0,0,0,0.00790286653853807,0,0,0.14036473115331,0.312136203454001,0.0439056136223294,0,0,0.0200613732065567,0
X11.HK.EQUITY,0,0,0,0,-0.102932567384632,0.381140029928605,0,0.158502409179464,0,0.0400986892116853,0,0,0,0,0,0,0,0,0,0,-0.103779347716138,0.116980380216734,0,0,0,0,0.539454154985593,0,0,0,0,0,0,0,0,-0.111251641641396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787280034097154
X267.HK.EQUITY,0,0,0,0,0,0,0,0,-0.185558507129786,-0.128072119789836,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0568211264724724,0,0,0,0.226535823565157,0,0,0,0.344432587482667,0,0,0,0,0,0,0,0.250130810495196,0,0,0.114334314091085,0.00359880887755757,0,0.0367833542471976,0,0,0.240836407542653,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,-0.0303804491601127,0,0,0,0,0,0.0785425163757581,0,0,0,0,0,0,0.031940201412545,0,0,0,0,0,0,0,0,0,0,0,0,0.0134311254817976,0,0,0,0,0,-0.106171250687126,0,0,0,0,0,0.183503068172288,0,0,0,0,0,0.816709637238097,0,0.118185474088193,-0.107627081883302,0.113039646933895
X2388.HK.EQUITY,0,0,0,0,0,0.124573465115401,0,0,0,0,0,0,0,0,0.052597349473504,0,0,0,0,0,0,0,0,0.402240329081843,0,-0.0117540256344965,0,0,0,0,0,0,0,0,0.054204794304209,0,0.321723304837623,0,0.00298585090109362,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.111163146392916,0.0903474443716206,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0.123076038187506,0,-0.0707385964381736,0,0,0,0,0,0,0,0,0,0,0.547833763895797,0,0,0,0.247900949071546,0,0,0,0.19670568101245,0.0562701413091873,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194545555050494,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500913384205104,0,0,0,0,0,0,0,0,0,0.130787816205694,0,0,0,0,0,0.0471229692291007,0,0.0729574458509327,0,0,0.0192462680135262,0.133508961109553,0,0,0,0,0.0628156337248714,0,-6.93889390390723e-18,0,0,0,0,0,0.0345044057461651,0,0,-0.0472305393719582
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0.104632865690359,0.0540278936255451,0,0,1.73472347597681e-18,0.108369548731935,0,0,0,0,0,0,0.413708363920888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080393793937218,0,0,0,0.0365098302049623,0.156279880740773,0,0,0,0,0.00629027594724876,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.397731333623616,0,0,0,-0.05568781486224,0,0,0,0,0,0,0.57958486046598,0,0,0,0,0,0,0,0,0,-0.0280097523919923,0,0.0563502186467431,0,0,0,-0.00646192180034096,0,0,0,0,0,0,0,0,0,0,0.0141871725748651,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106189476419104,0,0,0.0302515879554196,0,0.0457510362015647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266449002627869,0,0.216772472041518,0,0.0776632790677916,0.0552959769520859,0.137617885159739,0,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0420557111291062,0,0,0,0.224918599981226,0,0,0.245772620719773,-1.73472347597681e-18,-0.0514543231754322,0,0,0,0,0,0,0,0.103974335365073,0.0572969056904943,0,0.209108620324023,0,0,0,0,0,-0.224911780806092,0.191251956761897,0,0,-0.195492973457199,0,0,0,0,0,0,0.302593991277729,0,0,0.0302353059570695,0,0.0130826615044972
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103804086427555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367530811308029,0,4.33680868994202e-19,0,0,0,0.152225374783868,0.181866187174636,0.129646510868283,0,0,0.0537676950886776,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.34061032331452,0,0,0,0.178206191705824,0,0,0,0.195722814713512,0,0,-0.115961723051073,0,0,0,0.178966593698939,0,0,0,0,0,0,-0.0173474703019573,0,0,0,0,0,0,0.106964190250486,0,-0.0386717578373485,0,0,0,0,0,0,0,0,0,0,-0.0334554248134074
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0231935902692494,0,0,0.190137342418414,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.13348849540419,0,0,0,0,0,0,0,0,0.0236431694237922,0.154280941190287,0,0,0,0,0.227582923435374,0.108638118043653,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,-0.0598264292968922,-0.202583857460508,0.129860159141464,0,0,0,0,0,0.454733258806974,0.0255169689450691,0,0.430319253164848,0,0,0,0,0,0,0,0,0,0.102218058559471,0,0,0,0,0,0,0,0,-0.11772696087812,0,0,0.194151025955525,0,0,0,0,0.117371039293697,0,0,0,0,0,-0.0433124656384107,0,-0.00193790024077062
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787919088837082,0,0.0540088021879187,0,0,0,0,0,0,0,0,0,0,0,-0.0629862410548805,0,0,0,0.447558994688289,0,0,0,0,0,0,0,0,0.0395273314130246,0,0,0,0.189586027501034,0,0,0.226907942676022,0,0,0,0.00497749365845166
X823.HK.EQUITY,0,0,0,0,0,0,0.0496997175881523,0.0735529050163986,0,0,0,0,0,0,0.00388190647821005,0,0.0921324618111489,0.0540824391809977,0,0,0,0,0,0,0,0.0018566842531042,0.427175636822218,0,0,0,0,0,0,0,0,-0.183795851587796,0.135994239909793,0,0,0,0,0,0,0,0,0,0,0,0,0.0568414037664779,0.193704413737809,-0.00849400934659852
