,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.281985365212628,0.0354751089041725,0,0,0,0.311569011699108,0,0,0,0.0794941136869802,0,0,0.0355596742257689,0,0,0,0,0,0,0,0,0.157623888002883,0,0,0.00926641341914011,0,0,0,0,0,0,0,0,0,0,0.120712839932009,0,0,0,0,0,0,0,0,0,0,0,-0.0274788743850848,0,0
X601318.CH.EQUITY,0,0,0.297970850475456,0,0,0,0,0,0.079008844422684,0,0,0,0.00308901332842412,0,0,0.204393322495063,0,0,0,0,0.0207648441444649,0,0,0,0,0,0,0,0,0.0818485344489024,0,0,0,0,0,0.0703782735341768,0,0,0,0,0,0.0406224287830412,0,0.0863844082049586,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.40047658691091,0.266288685295505,0,0,0,0,0,0.408962226111755,0,0,0,0,0,0,0,0,0.0278845381033139,0,0,-0.0772461719000697,0,0,0,0,0,0,0,0,-0.00536700585457353,0.0857710790087383,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160385991550701,0
X600036.CH.EQUITY,0,0,0,0,0,0.191053833138419,0,0,0,0,0,-0.0388488640713651,0.1649708361763,0,0.186196884551745,0,0,0.24572538703343,0,0,0,0,0,0,0.262938433420264,0.0996999186021894,0.000196661570792132,0,0,0,0,0,0,0,0,0,0.0539101289366577,0,0,0,0,0,0,0,0,-0.0520065336101844,0,0,0,0,-0.13801406622631,-0.0560628777943816
X601288.CH.EQUITY,0,0,0.0114932751848664,0,0,0,0.00765627758937885,0.493511289678265,0,-0.0836399460506928,0,0.0910886125841334,0,0,0,0,0,0,0,0,0,0,0.0752708767822289,0.119671779909408,0,0,0,0,0,0.0930437973261416,0,0,0.0393499210476346,0,0,0,0,0,0,0,0,0,0,0,0,0.0475960707176891,0,0,0,0.00882335651544501,0,0
X1299.HK.EQUITY,0,0,-0.0476052622804184,0,0,0,0,0,0,0.110951845392433,0,0,0,0,0,0,0,0,0,0,0,0.0370288057213506,0.133433513051204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136983036066707,0,0.230543334937485,0.15571165177311,0.0795623319568745,0,0,0,0,0,0,0.239855572899876,0,0
X601628.CH.EQUITY,0.0987092603851172,0,0,0,0,0.0351184200379566,0,0,0,0,0,0,-2.16840434497101e-19,0,-0.244170548423742,0,0,0,-8.67361737988404e-19,0.223395874436112,-0.0663359476161061,0,0,0,0.0244526506335585,0,-0.14328315776591,0,0,0,0,-1.73472347597681e-18,0,0,0.620826374930055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254589497740521,0
X601988.CH.EQUITY,0,0,0.0581951328785948,0.0218113081530296,0.477946937738495,0,0,0,0,0.0168081108673696,0,0,0.0802997188593366,0,0,0,0.209765086363392,0,0,0,0,0,0,0,0,0,0.0359571481012615,0.0137264849333868,0.0615241476247862,0,0,0,0,0,0,0,0.00131343398444605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.151595084529308,0.129688934551798,0,0,0,0,0,0,-0.0394993305553639,0,0,-0.0148722751723806,0,0,0,0,0,0,-0.246092400725999,0,0,0.187433839106597,0,0,0.169745084728447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20874792720589,0,0,0.143784453352594,0,0,0,0,0.169035625891218,0
X388.HK.EQUITY,0,0,0,-0.0814674226005261,0,0.229212626330667,0,0,0,0,0,-0.0435949392189557,0,0,0,-0.0562431700046326,0,0,0,0.502293851062672,0,-0.12304204644709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144798047389632,0,0,0,0,0.079587147327199,0.0409769890789608,-0.176836520563786,0,0,0,0.165871756607289,0
