,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.398740706100246,-0.00680206252823863,0.153288862269538,0.0235980814890286,0,0,-0.0296448096231279,0,0,0,0,0,0,0,0.0453978138312279,0,0,-0.0586959259862222,0,0,0,0,0,0,0,0.0463831863839626,0,0,0,0,0,0,0,0.0287019535634921,0,0,0,0,0,0,0.0142978805604621,0.319118396641984,-0.0267750291699072,0,0,0,0,-0.0115066560599223,0
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0629347621118818,0,0,0.0800215618932955,0,0.021558578230302,0.25216651218913,0,0,0,0,0,0,0,0,0,0,0.0246453328401197,0,0,0,0,0.31258306367072,0,0.0335113117142982,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135849302921871
X601939.CH.EQUITY,0,0,0,0.776140457921234,0,0,0,0,0,0,0.101648778996968,0,0,0,0,0,0.112289354134634,0,0,0,0,0,0,0,0.00971940625955415,0,0,0,0.0674963752737074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00579405352380207
X601288.CH.EQUITY,0.105622115493749,0,0.894529992556998,0,0,0.0415325833046315,0,-0.0468588994697318,0,0.0436237819371851,0,0,0,-0.00104293716831967,0,0.0263822499805829,0,0,0,0,0.0302186948158102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002588915882663,-0.0432269836742171,0,0,-0.126750845209673,0,0,0,0.00475304368408105,0,0,0,0,-0.111925303668966,0
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.223831050286642,0,0.225148713317473,0,0,0,0,0,0,0.162195922517268,0,0,0.0461110668164376,0,0,-1.38777878078145e-17,0,0,0,-0.031309825225492,-0.154648571981464,0,0,0,0,0.164053181784631,0.354098937594314,0,0,0,0,0,0,0,0,0,0,0,0.101282783216775,0,0,0,0
X600036.CH.EQUITY,0.0734815723307661,0,0.0325518537879683,0.309078639144365,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,6.93889390390723e-18,0.164406037194165,3.08487255565385e-05,0,0,0,0,0,0,0.200438994598531,0,0,0,0,0,0,0,0,0,0,0,0.0710833571342228,0,0,0,0,0,0,0.0618680966800325,0,0,0,0,0.00489799672620555,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.0744437712404288,0,0,0,-0.112452741234285,0,0,0.0342866934042789,0,0,0,0,0,0,0,0,0,0,0,0,0.0180891822616705,0,0,0,0,0,0,0,-0.0331683493512647,0,0,0,0,0,0,0,-0.0403584118114975,0,0,0,0,-0.0537116905928943,0,0.970227589140966,0,0,1.73472347597681e-18
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.183704047512736,0,0,0,0.170117522949784,0,0,0,0,0,0,0,0,0.309523024116194,0,0,0,0,0,0,-0.049813194987547,0.0451902433052163,0,0,0,0,0,0.0913857782650194,0.0863462574756077,0,0,0,0,0.160549754503531,0,0,0,0,0.00554327412540414,0,0,0,-0.0105792393903635
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.132422467711523,0,0,0,0,0,-0.157088777770765,0,0,0,0,0,0,0,0.328076745549328,0,0.0614638266634863,0.0703719703753506,0,0,0,0,-0.0559817183793872,0,0,0.189045043245306,0,0,0.0569980358700563,0,0,0.129026142327635,0.187889781520951,0.0860272674201159,0,0,0,0.319281394587038,0,-1.0842021724855e-19
X388.HK.EQUITY,0,0,0,0,0.39639126384058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787138319548445,0,1.73472347597681e-18,0,0.156915457159537,0,0,0,0,0,0,0,0,0,0,0,0,0.341044034805208,0,-0.231677815502506,0,-0.114472326425296,0,0,0,0.284055800139406,0,0,0,-0.0243364804477745,0,0
X601658.CH.Equity,0,0.051604383285198,0.0415224372543571,0.224100845018673,0,0,0,0,0,0,0,0,0,0,0,0,0.13864417341291,0.0092822159737723,0,0.0250465340480679,0,0,0,0,0,0,0,0.0324647328674451,0,0,0,0.199631325831273,0,0,0,0,0.0174000756903928,0,0,0.0858357166215388,-0.0275122146507595,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0462748731239401,0,0,0,0,0.0765279646091437,0,0,0,0.355417194568896,0,0.004945960555925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580693686541855,0,0,0,0,0,0.187161322448376,0,0,0,-0.0347052920522734,0.144755026813726,0,0,0,0.237676041862582,0,0,0,0.0354674377185285
