,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.213306115099545,0,0,0,0,0.0993079877178558,0,0,0,0,0,-0.216839366177995,0,0,0,0,-8.67361737988404e-19,0,0,0,0.222598237008074,0,-0.340861647218753,0,0,0,0.598446581424257,0,0.0359365943986064,-0.248321567161993,0,0,0,3.46944695195361e-18,0,0,0,0,0.263559603696488
X601318.CH.EQUITY,0,0,0,0,0,0,0.135941019406001,0,0,0.032965022659895,0,0,0,0.0663010885851617,0,0.0176457780706889,0,0.140201041776513,0,0,0,0,0,0,0.0257845258886447,0,0,0,0,0.0826243450404052,0,0,0,0,0,0,0,0,0,0.552020239251108,0.0390121663797592,-0.0676273064715184,0,0,0,0,-0.0492161363083363,0,0,0,-0.04572707256316
X601939.CH.EQUITY,0.237160462455225,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102298192921545,0,0,0,0,0.0684497897888044,0,0.0277354009679834,0,0,0,0,0,0,0.344509101256006,0,0,-0.00162486981074728,0,0.118379227984223,0,8.67361737988404e-19,0,0,0,0.0107933078597168,0,0
X601288.CH.EQUITY,0,0.0446794553115496,0,0,0,0.239821845393759,0.0656217621885916,0,0,0.00149510126942594,0,0,0.102018511451758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230882874408909,0,0,0,0,0,0,0,0,0,0.0451092806184667,0,0,0.0942032902636178,0,0,0,0,0,0,0,0.117619142934266,0,0,0.141851470967577
X5.HK.EQUITY,-0.146871422973459,-0.293560138351118,0,0.173604139957516,0,0,0,0.0377016183192688,0,0,0,0,0,0,0,0.263721278318539,0,-5.42101086242752e-20,0,0.093960442886717,0.16603802891176,0,0,0.430673696054139,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.0194768524367003,0,0,0,0.208861471221316,0,0.00669841778294179,0,0,-0.030007343233199,0,0,0,0,0.0556162438071307
X601988.CH.EQUITY,0.19227391328339,0,0.00814080067877464,0.611901615307318,0,0,0,0,0,0,0.107750094690924,0,0.152592264668939,0,0,-0.090355650460288,0.0989448370160977,0,0,0,0,0.0217478853395662,0,0.0370465456454218,0,-0.0225810695581824,0,0,0.0102971372110676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.56360532936503,0.00284357626459444,0,0,0,0,0,0,0,0,0,-0.0957312444442383,-0.139686732293477,0,0,0,0,0,0,0,0,0,0,-0.00121785786588676,0.277053929735359,0,-0.137170521614333,0,0,0,0,0,0,0,0,0,0,0,0,0.174114237394536,0,0,0,0,0,0.137118219958274,0,0,0,0
X1299.HK.EQUITY,0,0,0.00152989893534548,0,0,0,0,0,0,0,-0.0879075940193789,0,0,0,0,0.0643883151377963,0.276327746302469,-0.0580702250221455,0,0.04917565640214,0.292096766324686,0,0,0,0,0.23355713634465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193170390607032
X601628.CH.EQUITY,0,0.114879883351349,0,0.0905044301164746,0,0,0,0,0,0,0.0218201744898326,0,0,0.236550769814561,0,0,0,0,0,0,0,0,0,0,0.150993115893526,0,0,0,0,0,0,0,0,0,0,0,0.14617151818167,0,0,0.0868705259452982,0,0,0,0,0,0,0,0,0,-0.00958339210349736,0
X601328.CH.EQUITY,0,0.353411172462988,0.316495006360003,0.20963252318701,0.0961434435346636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173792867703033,0,0,0.333208834633295,0,-0.12456243768671,-0.0419549495319887,0,0,0,0,0,0,-0.0328343017641418,0,0.0647042397989557,-8.67361737988404e-19,0,0.0242634743605524,0,0,-0.0870866616437275,0,0,-0.373206399038673,0,0
