,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.119715663884341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00951649851396144,0,0,-0.0304011927259312,0,0.0124872962336586,0.415852467265817,-0.203279568873908,0.463881588352553,0.264517697638105,0,0,-0.130300242686024,0,0,0,0.00951501573808008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.236696859607111,0,0,0,-0.0875852216243331,0,0,0,0.0953370714646039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335873465291197,0.169957629651064,0,0,0,0,0.246954273047141,0,0.0708345089321648,0,0,0,0,0,0,0,0,0,0,0.100333875187163,0,0,0
X601939.CH.EQUITY,0,0.0400826935120634,0,0.809371455602484,0,0,0.00505127343065105,0,0,0.0357977712307102,0,0.0118867266321863,-0.0572244524169936,2.16840434497101e-19,0,0,0,0.0999561329588526,0,0,0,0.00777404518251276,0,0,0,0,0,0.0263667758974262,0,0,0.0245235777881326,0,0,0,0,0,0,0.0821344260013377,0,0.0219080841796906,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.919564574022378,0,-0.084182642525436,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134439398881898,0,0,0,0,0,0,0,0,0.0482657648980089,0.0162479109647714,0,0,0,0,0,0,0,0,0,0.00356409077316255,-0.0068699689087686,0,-0.0793743199347803,0,0,0,0,0,0,0,0,-0.0540754722834077,0
X601628.CH.EQUITY,0.00703817515002212,0,0,0,0,0,0,0,0,0.239550391284902,0.194619708921194,0,0,0,0,0,0,0,0,0.0834647232756425,0,0,0,0,0,0,0,-0.132477435537146,0,0,0,0,0.0298551989734308,0,0,0,0,0.466637969154502,0,0,0,0,0,0,0,0,0.0873936244831035,0.288067450045101,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.328967187456513,0,0,0.00603452707380222,0,0.0377551212837378,0,0,0,0,0,0,0,0.171871108400464,0.0118839122043954,0,0.0251220932979806,0,0,3.46944695195361e-18,0,0,0,0.170212927881943,0.0374836124219708,0,0,0.113104833885136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405843936522914,0,0,0,0,0.0416418582680148,0,0
X601988.CH.EQUITY,0,0,0,0.0335034244027928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345945111629079,0,0,0,0,0,0,0.0340285341069141,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038714928590272,0,0,0,-0.0833266488680746,0.0249078978140284,0,1.01004226251583,0,0,0
X1299.HK.EQUITY,0,0.00171004135208737,0,0,0.114232530734681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364082357048829,-0.0274442001196961,0,0,0,0,0.0152936566401912,0,0,0,0.122248398998853,0.269413335529209,0,1.0842021724855e-19,0,0,0,0,0,0,0.0484747902761712,0,0,0,0,0,0,0,0,-0.107485630450134
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154098336051176,0,0,0,0,0,-0.0550473977686095,0,0,0.157653431043728,0.500299605690074,0,0,0,0,0,0,0,0,-0.100076629847009,0.107894917830409,0,0,0,0,0.031439249488834,0.0667391097989528,0,0,-0.143845473034186,0,0.0566869718310967,0.129414508869675,0
X388.HK.EQUITY,-0.123286428884872,0,0,0,0.18565647433129,0,0,0.0959166105162164,0.107055750171748,0,0,0,0,0,0.145503357282956,0,0,-0.158062972377468,-0.0789502536665847,0,0,0,0.520105124727567,0,0.401126127384572,0,0.0293661596482764,0,0,0,0,-0.123483963618309,0,0,6.93889390390723e-18,0,0,0,0,0,-0.032296670190819,0,0,0,0,0,0,0,0,-0.375509804217141,0,0
