,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.233655666056031,0,0.455346998679618,0,0,0,0,0.102172026009737,0.00875816682786793,1.73472347597681e-18,1.73472347597681e-18,0,0,0,0,0,0,0,0.037023234689774,0,0,-0.103946327453053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102243527157816,0,0.0223858215649162,0,0.0926648882915174,0
X601939.CH.EQUITY,0.358417198896102,0,0,0.288186597796876,0,0,-0.0975573719240211,0,0,0,0.00284661539485989,0,0.141305935774412,-0.0660126727241704,0,0,0,0,0,0,0,0,0,0,0.0319632047994886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200414497228414,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0122023337952855,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0221284990423206,0,0,0,0,0.381473188119481,0,0,0,0,0.103920175901865,0,0,0,0.00470826312132112,0,0.237932146442123,0,0,0,0,0
X601288.CH.EQUITY,0.436744013949119,0.0731967617149299,0.0622667770250326,0,0.173550016088484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269179609269652,0,0,0,0,0.0031391796554476,0,0,0,0,0,0.0814994473198905,0,0.0572341093776425,0,0,8.67361737988404e-19,0,0,0,0,0.058028214793872,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.174466742624316,0,0.264633918567672,0,0,0,0,0,0.270867465272875,0,0,0,0,0,0,0.222343656970804,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0527205124059364,0,0,0,0,0,0,0,0,0,0,0,0,0.0197871016907669,0,0,0,0,0,0,0,0,-0.0563604619916775
X600036.CH.EQUITY,0,0,0.0195467792928143,0,0,0,0,0,0,0,0,0.407656458243038,0,0,0,0,0,0,0,0,0,0,0.052421581520311,0.0136518454744872,0,0.124486858191557,0,0,0,0,0,0,0,0.0887729003548909,0,0,0,0,0,0,0,0,0.0571102012205059,0,0,0,0,0,0.26383360399688,0,0,0
X1299.HK.EQUITY,0,0,0,1.73472347597681e-18,0,0.116930559527356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476324378170805,0.204542007929392,0,0,0.0592899073324318,0,0,0.19365668877355,0,0,0,0,0,0,0,0,0,0,0,0,0.190529599016208,0,0,0,0
X5.HK.EQUITY,0,-0.138424659611775,0,-0.152364577478416,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0107744178429475,0,0,0,1.23267297423577,-0.778952367148072,0,0,0.482239406653259,-0.0405351640922378,0,0,0,0,0,0,0,0,0,0,0,0.433662492924321,0,0,0,0,0,0,0,0,0,0,0.108166328188527,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.103980005422947,0,0,0,0,0,0,0.101407513738702,0.179656149379194,0,0.116386382246917,0,0,0.221293345872238,0,0,0,0.04862904711098,0,0,0,0,0,0,0,0.0220221534003594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516896105291027,0
X601658.CH.Equity,0,0,-0.0431959246891358,0.546729994132766,0,0,0,0,0,0,0,0,0,0,-0.333509115700059,0,0,0,0,0,0,0,0.125109195730478,0,0,0.12328694741428,0,0,0.812490103969214,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.0590047693106248,0,0,0,0,0,0,0,0,-0.10038387896322,0,0,0.0123506863844396
