,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.570585722450023,0,0.0295176092282058,0,0.0791703419812427,0,0,0,0,0.0864089836689134,0,0,0,0,0,0.105800242941979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0674541895152351,0,-0.0123840614909437,0.0767910155175653,-0.0395117401351348,-0.0108995711833381,0,0,-0.0275719677709277,0,8.67361737988404e-19,0
X601318.CH.EQUITY,0,0,0,0.104708101168595,0,0,0,0,0.0433807821090412,0,0,0,0,0,0,0,0,0.234653438107085,0,0,0,0,0,0,0,0.0473918045206146,0,0,0.0648288862789846,0,0,0,0.103355579937038,0,0,0,0,0,0,0.194289507939526,0.0573030338933207,0,0,0,0,5.42101086242752e-20,0,0,0.0813963459900228,0,0
X601939.CH.EQUITY,0.12415364854822,0,0,0.475766158673997,0,0.0362622262302025,0,0,0,0,0.122208135908181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832597249696463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829972366636608,0.0145754193471463,0
X601288.CH.EQUITY,0.224140489429597,0,0.162725161846091,0,0,0.0626963900191184,0,0,0,0,0,0,0,0,0,0,0,0.140653264856202,0,0,0,0,0,0,0.0049456599238223,0.0910742527532861,0,0.106587619696362,0,0.0218190020216723,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0980407141614515,0,0.0508937791448753,0,0,0,0,0,0,0,0,-0.0927953711164403
X5.HK.EQUITY,0,0,0,0,0,0,0,0.407766660083917,0,0,0,0,0,0,0,0,0.182939784859916,0,0.0660093407254828,0,0,0,0,0,0,0,-0.0481474152111691,0,0,0.2147344775109,0,0,0,0,0,0,0,0,0,0,0,0.21040225659096,0,0,-0.582144293341083,0,0,-0.0853928399846011,0,0.201817729981655,0
X601988.CH.EQUITY,0.102054465400352,0,6.93889390390723e-18,0,0.042570396256894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596215117814612,0,0,0,0,0,0,0.105460869391364,0,0,0,0,0,0,0,0,0,0.0509292999098071,0,0,0,0,0,0,0,0,0.0757844626600804,0.0964352533216976,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0588840116876542,0,0,0,-0.014163684177083,0,0,0,0,0.0420140866307181,0,0,0,0,0,0,0,0.623989331521878,0,0,0.0623203850627607,0.108876273295444,0,0,0,0,0,0,0,0,0,0,0,0,0.071926575108959,0,0,0.0362776521711,0,0,0,0,-0.00333742606316005
X1299.HK.EQUITY,0,0.203495506792669,0,0,0,0,0,0,0,0,0,0.0605463026755756,0,0,0,0.0381550239632451,0.168569373878009,0,0,0.0173976423716684,0,0,0,0,0,0,0,0.159726006151081,0,0,0.0823260080756227,0,0,0,0.0340680199993455,0,0,0,0,0,0,0,0,0,0.0460715889275597,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.199003926491951,0,0,0.016318746709913,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370059868364437,0,-0.00738027331558855,0,0,0,0,0.0864103007299628,0,0,0,0,0,0,0,0,0,0,0.382693846175902,0,0,0,0.216854766160678,0,0.0827588863653716,0,0,0.0144598506906472,0,0,0,0,-0.00729704666461709
X601328.CH.EQUITY,0,0.00821591857329393,0.129758299296262,0,0,0,0.126717104933557,0,0,0,0,0.0217954956134402,0,0.241922320740858,0,0,0,0,0,0,0,0.232940249492341,0,0,0,0,0,0,0.0543422436460195,0,0,0.0136552404854838,0,-0.0089697574613769,0,0,0.0071648560344737,0,0,0.217078199373685,0,0,0,0,0,0.0186702779158464,0,0,0,0,0
