,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.121378992441148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0871383422133274,0,0.41052637244835,0.449969698690332,0.0138556540504063,-0.257979842070281,0,0,0.276242263479261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442565201297733,0,0,0,0,-0.175705981658372,0,0,0
X601318.CH.EQUITY,0,0,0,0,6.93889390390723e-18,0.151280760911376,0,0,0,-0.0105508220037013,0,0,0,0.200848424698779,0,0,0,0.0471918738972862,0,0,0,0,0,0,0,0,0,0,0,0,0.120890557045782,0,0.019753964323695,0,0,0.150061702175835,0.183663415572861,0,0,0,0,0,0,0,0,0,0,0,0,0.0848875925098739,0,0
X601939.CH.EQUITY,0,0.0689633340737859,0,0,0.807121159284529,0,-8.67361737988404e-19,0,0,0.00202529828824674,0,0,0,0,0,0.083422034770341,0,0.0186134585546774,0.0584195013642429,0,0,0.00324027810825713,0,0,0,0,0.0104569461380524,0,0.0099772228351827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.11075389923426,0,0.475890500686915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105095562744117,0.297767905510296,0,0,0,0,0,0,0,0,0.147633567620193,0.00547760378690883,0,0,0,0.131712288329673,0
X601288.CH.EQUITY,0,0,0.95072443839327,-0.051380840791786,0,0,0,0,0,0,0,0,0,0,0,0,0.00393680982286506,0.0703825998332223,0,0,0,0,0,0,0,0,0,0.0267794065879836,0,0,0,0,0.0329140283985105,0,0,0,0,0,-0.000777598465620348,0,0,-0.0658157177460446,0,0,0,0,0,0,-0.0739266938722908,0,-0.0324765454915537,0
X600036.CH.EQUITY,0,0,0.407999262186878,0,0,0,0,0,0.0244474496719262,-0.00633048890594023,0,0,0,0,0,0.107651957904615,0,0,0,0.0048691825727259,0.0119307853778634,0,0,0,0,0,0.189165497906379,0,0.125274466363254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,-0.114996505198582,0.00638115727507264,0.0426488568600176,0,0,0,0,0,-0.0359997649260795,0,0.183066268094551,0,0,0,0,0,0,-0.0508491276153644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768207258666057,0,0,0,0,0,0,-0.0352610245787134,0.908319779607003,0.0543926532149928,0
X1299.HK.EQUITY,0,0,0,0.158185186053006,0,0,0,0,0,0.132062073152714,0,0,0,0,0,0,0,0,0,0,0,0,-0.208129340398065,0,0,0.083566396988437,0.419956402429518,0,0,0.163706952366509,0.380578032984328,0.0949007863259401,0,0,0,0,0,0,0,0,0,0,0,0,-0.172183406695118,0,0,0,0,0,0.0889848742655022,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118054642896521,0,-0.0551676151862126,0,0,0,0,0,0,0,0.315487121985668,0.332293112166963,0,0,0,0,0,0,0,-0.209444118936137,0,0,0,0,0,0,0,0.068974669309719,0,-0.0401252973158063,0,0,0.279556708435575,0,0.13419162604558,0
X388.HK.EQUITY,0,0,0,0.324837188411386,0,0,0,0,0,0,0,0,0,0,0,-0.00992821204752968,0.0291898901936993,0,-0.240410460005993,0,0,0,0,0,0.45958095084045,0,0,0,0,0,0,-1.38777878078145e-17,0,-0.00955086014909371,0,0,0,0,0,0,-0.0718677472136061,0,0,-0.127553771488192,-0.0463809090609947,0.282331072319145,0.0275408146669341,0,0,0,-0.123451997254968,0
