,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.151005558244001,0,0.0637573703815734,0,0,-0.0258499926673792,0,0,0,0,0,0.154299028303272,0,0,0,0,0,0.0331259811071261,0,0,0,0,0,0,0,0,0,0,0,0.0850949764480886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203660302593543,0,0,-0.0921452920994782,0
X601318.CH.EQUITY,0,0,0,0,0,0.210898351292941,0,0.0170053284260556,0.0930512830909165,0,0.074940845465266,0,0,0.0489868364417284,0,0,0,0,0.0323677373589942,0.421654271586065,0,0,0,0,0,0,0,0,0,0,0,0.124465185352935,0,0,0,0,0,0,0,0,0,0,0,0.100197715491327,0,0,0,0,0.0916053255026022,0,0,-0.125626650192711
X601939.CH.EQUITY,0,0,0,0,0.0679062522289835,0,0.370610000577687,0,0,0,0.0747533298505702,0,-0.149403364935665,0,0,0,0,0,0,0,0.0851297321417739,0,0.574690991183892,0,0,-0.0199256746472855,0,0,0,0,0,0,0,0,0,0,0,-0.027473224102781,0,-0.0064394339310988,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0637263213540655,0,0,0,0,0,0,0,0,0,-0.0454524245218171,0,0.203104585691451,0,0,0,0,0,0.120102257423483,0,-0.15273805017025,0,0,0.124391270242533,0,0,0,0,0.331248238008892,0.326385801379673,0,0,0,0,0,0,0,0,0,0,0,0.0934152153393009,0,0,0,0,-0.113629724266196
X601288.CH.EQUITY,0.10300383565465,0,0.111630198580715,0,0,0,0.0771732404676536,-0.0629735258384252,0,0,0,0,0,0,0,0.169147823303471,0,0.104940406471807,0,0,0,0,0.226152211671613,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0764683796817516,0,0.0737562352991984,0,0,0,0,-0.0790918983883711,0,0,0
X600036.CH.EQUITY,0,0.147881962026254,0,0.0982718267145096,0,0,0.0927660422477954,0.0618810345038595,0,0,0,0,0,0.270747942534908,0,0,0,0,0,0,0,0,0,0,0.300441180481735,0,0,0.00595751263240841,0,0,0.0514575179581457,0,0,0,0,0,0,0,0.088733162304306,0,0,0,0,0,0,0,0.0546604670568824,0,0,0,0,0
X601988.CH.EQUITY,0.136465131029212,0.126589826855644,0.00613279343203578,0,-6.93889390390723e-18,0.30173075205624,0,0,0,0,0,0,0,0,0,0.291666967428968,0,0,0,0,0.191152936008194,0,0,0,0,0,0,-0.00523059365551883,0,0,0,0.08993150021084,0,0,-0.019115752044107,0,0,0,0,0,0,0,-0.159662593216961,0,0,0,2.16840434497101e-19,0,0,0,-0.0760929957147827,0
X1299.HK.EQUITY,0,0,0,0,-0.15350469571441,0.0546467958891932,0,0,0,0.35808262381727,0,0,0,0,0,0,0.109864925145739,0,0,0,-0.0592324467173403,0,0,0,0,0,0.350942596988233,0.138275893262712,0.0580096557755351,0,0,0,0,0,0,0,0,0.00691905163813444,0,0,0.0765127874390927,0.0208218171783906,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0453940165748188,0,0,0,0,0,0,0,0,0.0867607358232139,0,0,0,0,0.555908048045158,0.0222466986263391,0,0.124729721198182,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.188116670163178,-0.0252565987621087,0.149598065539734,0,0,0,0.115757474715536,0,0.140356444129684,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.143820520248213,0,0,0.0768426531144719,0,0,0,0,0,0,0,0,0,0.350842258018027,-0.0345129961842237,0.0350978560165468,0.00226313861378976,0.0315912135115667,0,0,0.343501952415829,0,0,-0.171171340548173,0.29538371238038,0,0,0,0,0,0.138856418798453,0,0,0,-0.360187284325714,0,0.0930271985763686,0,0,0,0.18945296190405,-0.062986649962848
