,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.135072488121855,0,0.0165988819466686,0,0,0,0,0,0,0.275769521494035,0.244717374373209,0,0,0,-0.0878587962431118,0,0,0,0,0,0,0.0202185700050578,0,0,0,0,0,0,0,0,0.0222695552196188,0,0.261118901518852,0,0,0,0,0.0409222420809381,0,0,0.0551814017171499,0,0,0,0.0199041301175137,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.261780472192431,0,0,0.139940885148839,0,0,0,0.0412645032678885,0,0,-0.0311536693065694,-0.130488350261378,0,0,0,0,0,0,0,0,0,0,0,0.187139951957982,0,0,0,0,0,0,-0.312392510181157,0,0.309611827868724,0.0558452477026945,0.267612123900993,0,0,0,0.0217093795517623,0.0823306754957247,0,0,0
X601939.CH.EQUITY,0.492560505611458,0,0,0,0,0.182856451877068,0,0,0,0,0,0,0,0.0691733703132035,0,0,0,0,0,1.73472347597681e-18,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372930158713667,-0.113394064350545,0,0,0.0443395736706697,0,0,-0.0482286562209576,0,0,0,0,0
X601288.CH.EQUITY,0.612809281425254,0.0831489482847274,0.114541288937923,0,0.0467647969776548,0.0199144682690146,0,0,0,0,0,0,0,0,0.0061931148230949,0,0,0,0,0,0,0,-0.0388498082260406,0,0,0,0,0,0,0,0,0,0.117975840619293,0,0.0353674098104981,0,0,0.0529741695141484,0.180791417318036,0,0,0.0314208470255485,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.0392696578586411,-0.0375026915330374,0.118918410626804,0.0569639702831956,0,0,0,-0.139096971768,0,0,0.0648933421537567,0.260001110675088,0,0,0,0,0,0.705092885491904,0,0,0,0,0,0,0,0,-0.149924817407182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124641900572523,0,0,0,0,-0.0211932179449841
X601988.CH.EQUITY,0.133254003873832,0,0.203816398021974,0.0664319427018894,0,0,0,0,0.077412639653048,0.1051803628063,0.103819107654738,0,-0.277180099043206,0,0,0,0,0,-0.0165469146887856,0,0,0.211825640686979,0,0,0,0,0.163282735900494,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0100683350442862,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,-6.93889390390723e-18,0,0,0,0,0,0.05957004365171,0,0,0,0,0,0.224915684310945,0,0.166249819855136,0,0,0,0,0,0,0,0.112943472116334,0,0,0,0,0,0.00337646901384587,0,0.143116705597863,0,0,0,0.0371925698529038,0.0988784961937739,0,0,0,0.032001248009536,0,0,0,0,0,0.0377091164867353,0,0,0.0151313828180268,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.183433198782406,0,0,0.0346649098952384,0,-0.0996774497491292,0,-0.0498594179564931,0,0,0.27219767392703,0.262994646835845,0,0,0,0,0.121477885850119,0,0,0,0.137263671914249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178518556661667,0,0
X601628.CH.EQUITY,0.106218187379721,0.359660989081482,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.086778931195593,0,0,0,0,0,0,0,0,0,-0.0313581644942413,0,0,0,0.0818924021460953,-0.241390144549489,0,0,0,0,0,0,0,0.236416806342254,0,0,-0.0863276311082166,0.122078524713499,0,0,0,0,0.149011247630507
X601166.CH.EQUITY,0.174731145110035,0,0,0,0,0.0797545537481722,0.298212056495241,0,0,0,0,0,0,0,0,0.417718809907685,0,0,0,0,0,0,0,0,0,0,0.0561908430322026,0,0,-0.093029605543298,0,0.109515200481768,0.0301964366499279,0,0,0,0,0,0,0,0.0900348971458875,0,0,0,0.106850649681384,0,0,0,0,0,0.0251993171333995
