,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0981739030977676,0.034822876393808,0,0,0,0,0,-0.235345978398082,0,0,0,0,0,0,0,0,0,0,-0.0163323811544251,0.0968317286522132,0,0.270276175831377,0.450262820364347,0,0,-0.0217189966932706,0,0.139952908546742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0666717850415715,0,0,0.0601535132690473,0,0,0,0.178906947209574,0,0.0840840099369801,0.205554223862162,0,0,0,0,0,0,0.10176926879721,0,0,0,0.169271908052083,0,0,0,0,0.109486585767911,0.0172554327454751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0543353681358486
X601939.CH.EQUITY,0,0,0,0.772421547558028,0,0,0,0,0,0.00162023999423975,0.0997860224479973,0,0,0,0,0,0.108954090387888,0,0,0,0,0,0,0,0,0,0,0.0126593569512721,0.067939203010394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606526165867366
X601288.CH.EQUITY,0,0,0.977113597399622,0,-0.0195623137401044,0.0267307873467132,0,-0.0595037800968226,0,0.0179710035006491,0,0,0,0,0,0,0,0,0,0,0.00289252269195349,0,0,0,0,0,0,0,0.0354124633558589,0,0,0,0,0,0,0,0,0,0.0206598314658138,0,-0.046305191087516,0,0,0,0,0.0651711309185225,0,0,0,0,-0.114310446842208,0
X601628.CH.EQUITY,0,0.110759306138031,0,0,0,0,0,0,-0.0370772484773118,0.281201114575436,0,0.258668193424687,0,0,0,0,0,0,0.280954820317003,0,0,0,-1.35525271560688e-20,0,0,0,0,0.0104048331627396,-0.129619667497036,0,0,0,0,0,0,0,0.164313084875682,0,0,0,0,0,0,0,0,0.129126946053316,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.348242682073325,0,0,0,0,0.0753061144970202,0,0,0,0,0,0.00436921807081332,0,0.0199590465097223,0.146513979454947,0,0,0,0,0,0,0,0,0.101177717238337,0,0,0.16837354968331,0,0,0,0.0260631869393795,0,0,0,0,0,0,0,0,0,0,0.037417971804325,0,0,0.0433666642924647,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.062697168624242,0,0.0132920110960055,0,0,-0.0572244775557001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730982025765886,0,0,0,0,0,-0.0256619918933876,0,0,0,0,0,0,0,0,0,0,0.000467481201180034,-0.13422641529152,0,0.999767189464422,-1.73472347597681e-18,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.148885221313768,0,0,0,0,0,0,0,0,0,0,0,0.301549975992093,0,0,0,0.0466122957837979,0,0,0,0,0,0,0,0.115841562076093,0,0,0,0.0706853154478269,0.182617602087603,0,0,0,0.0245402930432864,0.0524959779234313,0,-0.0229359554747421,0,0,0,0.141000828229218,0,-0.0532287995589871
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0315147943057252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172850791233274,0.375164039011756,-0.116845743573214,0,0,0,0,0,0,0,0,0,0,0,0.025051274818518,0,0,0,0,0.229005239923005,0,0,0,0.0272734724560228,0,-0.314577481952819,0.226722156039991,0.0596121457943762
X388.HK.EQUITY,0,0,0,0,0.250498356295839,0,0,0.0369663365810111,0,0,0,0,0,0,0,0.185188361214957,-0.0808126010120019,0,0,0,0.230883398168029,0.275571684036536,0,0,0,0,0,0.335987523393245,-0.100539281024065,0,0,0,0,0.121738254126153,0,0,0,0,0,0,-0.0413895058899542,-0.0721405872490434,0.164113536001491,-0.11647506847002,-0.259319242204357,0,0,-0.0851662933722639,0,0,0,0
