,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.241207817373469,0,0,0.31891410194982,0,0,0,0,0,0.244490627187667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107322034363989,-0.189700490718242,0,0,0,0,0.0434075332728802,0,0,0,0,0.0179335918670569,0,0,-0.165377361168492,0,-0.0208775686647097,-0.0360223852656104,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.145242477594886,0,0,0,0.0355213580028206,0,0,0.157312356417823,0.0434200932306576,0.0634562284246563,0,0,0,0,0,0,0,0,0,0,0,0,0.0700844665375849,0,0,0,0,0,0,0,0,0,0,0.536231051739628,0,0,0.0291310148426421,-0.0612119802438886,0,0,0,-0.0285480691621698,0,0,-0.0269014114803188
X601939.CH.EQUITY,0.235789656125139,0,0,0,0,0,0,0.0125246397088915,0,0.0966704765724275,0,0,0,0,0,0,0,0,0,0.0591362989339818,0,0,0,0,0.0234728843512873,0,0,0,0,0,0,0,0,0,0,0.323012633098553,0,0,0,0,1.38777878078145e-17,0,0,0,0.0498199526848555,0,0,0,0,0,0.0259157694480296
X601288.CH.EQUITY,0,0,0,0,0,0.239811330943626,0.0202604015724964,0,0,0,0.00341959996916567,0,0.12319654080363,0,0,0,0,0,0,0,0,0,0,0,0,0.15362932584252,0,0,0,0,0,0,0,-0.0261286751659988,0,0,0,0,0,0.266594327507839,0.0197190345156093,0,0,0,0,0,0,0.052858385570481,0,0,0.12431471277539
X5.HK.EQUITY,0,0,0,0.0771235127920381,0,0,0,0,0,0.0447656578589683,0,0,0,0,0,0.340451538839907,0,0.330084184748347,0,0.13818964671453,0,0,0,-0.00510872906140853,0.333110447289015,0,-0.0472402365686276,0,-0.468510864873808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15255810694224,-0.129130522290336,0,0,-0.0144854429500451,-0.274064572539218,0,0.017253794721177,0.112498629568185
X601988.CH.EQUITY,0.380375274986092,0,0,0.44240614982901,0,0,0,0,0,0.0986946569229218,0,-0.0348703350729156,0.00373935354088032,0,0,0,0,0,0,0,0,0,0,0,0,-0.0360326631785307,0,0.055486145737811,0.0342540614799833,0.0283478210207747,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12617217608846,0.0261920075528683
X600036.CH.EQUITY,0,0.635238972925278,0,0,0,0,0,0,-0.121493634724232,0,0,0,-0.00980617066974019,0,0,0,0,0,0.10056635788677,0,0,0,0,0,0,0,0.0343406208712082,0,0.0508885882028171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171027988091523,0,0,0,0,0,0,0,-0.164206193761653
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0414439152847678,0,0,0,-0.0428834196097002,0,0,0.05709593656961,0.254278473410067,0.00868612462772397,0,0,0,0,0,0.276311727092345,0,0.279307738686233,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-0.152868382730279
X601628.CH.EQUITY,0,0.143026474669412,0,0,0,0,0,0,0,0,0,0,0.014014914450436,0,0.30091591194108,0,0,0,0,0,0,0,0,0.136767030966781,0,0,0,0,-0.041631909339213,0,0,0,0,0,0,0,0,0.148963697182997,0,0.0914493544165441,0,0,0,0,0,0,0,0,0.123540740004988,0,0.015156308136241
X601166.CH.EQUITY,0,0,0,0,0,0.236597903127711,0.146968870757144,0,0.149814001197072,0,0,0,0,0,0.154840333455607,0,0,0,0,0,0,0,0,0,0,0,0,0.0211122511846201,0,0,0.212785816020118,0,0,0,0,0.271371187575287,0,0,0,0,0,0,0,0,0,0,0,-0.107769820296307,0,0,0.129011025710277
