,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.19479042684184,0,0,0,0,0,0,0,0,0,0,-0.132123038676643,0,0.489815088744167,0.685868837174155,0.0593193274396673,0,0,-0.124275626541174,0,0,-0.0556222335212344,0,0.0668424726032127,0,0,0,0,-0.159327371148988,0,0,-0.337842832113433,0,0,0,0,0,0,0,0,0,0,-0.0246952168945004
X601318.CH.EQUITY,0,0,0,0,0,0.140410498785483,0,0,0,0,0,0,0,0,0,0,0,0,0.358917453187771,0,0,0,0,0,0,0,0,0,0.083535448368858,0,0,0,0,0,0,0,0.42286347434167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.819843704207774,0.0238808549357976,0.0159263344091867,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.00066586970910165,0,0,0,0.0593410983858822,0,0,0,0,0,0,0,0,0,0,0,0.0164107606847145,0.04567411598135,0,0,0,0.0052932346052405,0,0,0,0,0,0,0,0.0671222521095875,0,0,0,0.022949161856206,0,0,0
X601288.CH.EQUITY,0,0,0.922615126788043,0,0,0,-0.0678446110982549,0,0,0,0,0,0,0,0,0,0,0.116163338335481,0,0,0,0,0,0,-0.0148126802535794,0,0.0589705610981681,0,0,0,0,0,0,0,0,0,0,-0.104341976306942,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0476921862147954,0
X601988.CH.EQUITY,0.0955674487423736,0,0,0,0,0,0,0,0,0,0,0,0,1.27810852200089,0,0,0,0,-0.183957602884491,0,6.93889390390723e-18,0,0,0,0,0,0.101283183971179,0,0,-0.121159876722694,0,0,-0.184049689047205,0,0,-0.230493712777296,0,-0.0387002497789349,0,0,0,0.00173583248082636,0,0.0347288866324482,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.382620464288431,0,0,0,0,0,0.0167355574055417,-0.0229640948094044,0,0,0,0,0,0.136097514642431,0,0,0.0223549033965658,0,0,0,0,0,0,0,0.151438369551227,0,0,0.0750086495635399,0,0,0.186880430698489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057952466888287,0.0120543722161853
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.915163524033831,0,0,0,0,0,0,0,0,0,0.10110159418489,0,0,0,0,0,0,0,0,-0.114176620387549,0,0,0,0,0,0.0798442797414474,0,0,0,-0.0832513331443515,-0.0587142112333647,0,0,0,0.0165193691910936,0,0,0.0379822234531509,0,0.0582538123107162,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.253536231632362,0,0,0.0524467657780954,0,0,0,0,0,0,0,0,0.145058664902075,0,0,-0.18215282863183,0,0,0,0,0,0,0.205082623446214,0,0,0.14846992126379,0,0,0,0,0,0,0,0,0,0,0,0.433504890877079,0,0,0.0487090072026566,0.0364817164320528,0.0993351166918664,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.115060539849576,0,0,0,0,0,0,0,0,0,0.162532080260609,0,0,0,0,0,0.249579809364213,0,0,0.206553528958707,0.163429782897938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140638169252232,0,0,-0.0555854332340404,0,0,0,0,0,0.0828851018924579,0.258623537846727
X388.HK.EQUITY,0,0,0,0,0,0,0.178009054351043,0,0,0,0,0,0,0,0,0,0,0,0,-0.157263343362202,0,0,0,0,0.400162623071238,0,0,0.0911155708290604,0.108910938763266,0,0,0,0,0,0,0,0,0,0,0,-0.0811901700720865,0,0,0,0.186182448736576,0,0,0,0,-0.197268378472914,0,0
