,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.35723723425642,0.0786363210349326,0.11649642819552,0,0,0,0,0,0,0.213876378506329,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.036567126341932,0.0288890822590928,0,0,0,0,0,0,0.0146143581981295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329420618101553,0,0,0,0.0211409741731721,0.158965025621293,0
X601939.CH.EQUITY,0.396347763462752,0,0,0.186435989210232,0,0,0,0,-0.037281581040007,-5.42101086242752e-20,0.143197132438192,0,0,0,-0.0803408408456436,0,0,0,0,0,0,0,0,0.178536495125992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00598723970582591,0,0,0,0.0969422799770385,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.304738784913059,0.0831699950297301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18194567148926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760916599528725,0.10838344611901,0,0,0.0119512319558201,0.14347595220323,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377094618375091,0,0,0,0.214160523343114,0,0,0,0,0,0,0,0,0.146974393764924,0,0,0,0,0,0.091395497641236,0.0342994289257749,0,0,0,0,0,0,0,0,0,0,0,0.0843753965080434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.535046054343379,0,0,0,0,0,0.268500118823598,0,0,0,0,0,0.0912585519170369,0.110715516997459,0,0,0,0.0325619081983428,0,0,0,0,0,0.0788421734991641,0,0,0,0,0,0,0,0,-0.538713671747823,0,0,0,0,0,0,0,0.176706127819134,0,-0.0588457916904789,-0.0828585586727647,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0453335613819803,0,-0.036959601150115,0,0,0,0,0,0,0.286364588234508,-0.0497750020875296,0,0,0,0.0710647847289258,0,0,0,0,0.175753046731658,0.0114384718735373,0,0,0,0,0,0,0,0,0.208542062158225,0,0,0,0,0,0,0,0.109872238699954,0.00663158652838448,0.0865567229203256,0,0,0,0.074963538152649,0,0.0614110968723124,0,0,-0.0391720618290122,0
X1299.HK.EQUITY,0,0,0,0,0.035327146941455,0,0,0,0,0,0.0348058883230638,0,0,0.187238160750933,0,0,0.0341608277398683,0.502059038171191,0,0,0,0,0.11553222089982,0,0,0,0,0,0,0.0173687712885061,0,0,0,0,0,0,0,0,0,0.0849996648447522,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15228635835237,0,-0.179451572913819,0,0,0,0,0,0.508407049871045,0,-0.251572754060429,0,0,0.745335880768225,0,0,0,0,0,0,0,0,0,0.403586120136989,0,0,0,0,0,0,-0.264361313697726,0,0,0,0,0,0.0164349592937569,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.130761763773701,0,0,0,0.00502838264127674,0,0,0,0,0.36809015579816,0,0,0,0,0,0,0,0,0,0,0,0.0300207592158383,0,0,0.0741465724132545,0,0,0,0,0.247531450156193,0.0491748909932798,0,0,0,0,0.039064431061778,0,0,0.165099990337198,-0.0276910085071227
X601658.CH.Equity,0,0,0,0.150353029180211,0.147170578495725,0,0,0,0,0,0,0,0,0.12848252148189,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.168873274989454,0,0,0,0,0,0,0,0,0.214402889833233,0,0,0,0,0,0,0,0,0,0,0.334556052764622,0,0,0
X601328.CH.EQUITY,0.0646027855730939,0,0,0.577881181014331,0,0,0,0,0,-0.0225568990457618,0,0,0.0319474684960009,0,0.025866984515049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420198167810683,0.123876780212184,0,0,0,0.0944849843645228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117700800253788,0,0
