,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.143959507942431,0,0.0166215950801914,0,0,0,0,0,0,0.28301776120817,0.244511352734628,0,0,0,-0.0962313920611452,0,0,0.0178984255865039,0,0,0,0,0,0,0,0,0,0,0,0,0.265290511493186,0.0253106130333418,0,0,0,0,0,0.0408303826475747,0,0,0.0614869408696923,0,0,0,0.0203391469072017,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.103096558595586,0,0,0.261920552151352,0,0,0.372948030809111,0,0,0,0.128649407845367,0,0,0.0383102021704696,-0.0158472064047263,0,0,0,0,0,0,0,0,0,0,0,0,0.0764515356508683,0,0,0,0,0,-0.259359193181008,0,0.0233597321924961,0,0.104863288602521,0,0,0,0,0.0514542950936306,0,0,0
X601939.CH.EQUITY,0.473981273712519,0,0,0,0,0.184218730707173,0,0,0,0,0,0,0,0.0612319714560471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370525352780579,-0.115391056260508,0,0,0.0490417659219061,0,0,-0.0446104492540355,0,0,0,0,0
X601288.CH.EQUITY,0.565647509887909,0,0.13001356629048,0,0.125546147628981,0.0697588792236011,0,0,0.0238400013663468,0,0,0,0,-0.0529689387003278,0,-0.0294325339802134,0,0,-0.0387276969206913,0,0,0,0,0,0,0,0.0583437013121921,0,0,0,0,0,0,0,0,0.051360264536114,0,0.0269478531013663,0.211019420298271,0,0,0,0,0,0,0.0201285309833454,0,0,0,0,0
X5.HK.EQUITY,0,0,0.208589188751074,0.0568196486254614,0,0,0,-0.119943048587431,0,0,0.103067246247228,0.215711833480913,0,0,0,0,0,0.653514568413596,0,0,0,0,-0.116636154369102,0.0297863329243581,0,0,-0.154619224302943,0,0,0,0,0,0,0,0,0.0279094781349525,0,0,0,0,0,0,0,0,0,0.18129768245191,0,0,0,0,0
X601988.CH.EQUITY,0.0883806079449589,0,0.151598620080764,0.142373579872152,0,0,0,0,0.128244706608075,0.0975169675055997,0.168910790896853,0,-0.303634243292614,0,0,0,0,0,-3.46944695195361e-18,-0.0581167998605134,0,0.259984294247337,0,0,0,0,0.111260816339999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161831852915564,0,0,0,0.00716320509104837,0.0222503262927748,0.00960725194691352
X600036.CH.EQUITY,0,0.111108278426365,0,0,0,0,0,0,0,0,0,0.157360528296148,0,0.101471747100611,0,0.248142204626826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197646514458765,0,0,0,0,0,0,0.0393343044610355,0.0358155882382661,0,0,0,0,0,0.106287663488223,0,0,0.0457510991352987,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.129115897383289,0,0,0,0,-0.0165912736094828,0,-0.0323910467811377,0,0,0.225675622398975,0.259459644760713,0.197261037265874,0,0,0,0,0,0,0,0.0957915772492122,0,0,0.0238159994635265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0964452031482389,0.382202978431317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0739436878062205,0,0,0,0,0,0,0,0,0,0,0,-0.261293803710757,0,0.0684695833404692,0,0,0,0,0,0,0,0.242406681815201,0,0,-0.0685834998979681,0.14614122963838,0,0,0,0.02757188920408,0.148587135947569
X601166.CH.EQUITY,0.168409183410401,0,0,0,0,0.124204215865092,0.155174339606214,0,0,0,0,0,0,0.136999491754668,0,0.492514272058573,0,0,0,0,0,0,0,0,0.10319596510528,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346564031406489
