,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0327501629772864,0,0,0,0,0,0,0,0,0,0,-0.0505428590494667,0.565217872222705,0,0.85904474812351,0.0697900067988309,0,0,-0.121677945806598,0,0,-0.195040468623585,0,0,0,0,0,-0.0029920778607643,0,0,-0.314358872691414,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0843054440481124,0,0,-0.0106043504289133,0,0,0,0,0.0451830772508351,0,0,0,0,0.302692150968258,0,0,0,0,0,0,0,0,0,0.0986389078076635,0,0,0,0,0,0.618800641685765,0,0,0,0,0,0,0,0,0,0,0.0122478098551141,0,0,0,-0.0489942327457412,0
X601939.CH.EQUITY,0,0,0,0.808903527903139,0,0,0.065352645824743,0,0,0,0,0,0.0305563611681935,0,0,0,0.0248163275163408,0,0,0,0,0,0.0107427977310905,0.00717135218104906,0,0,0,0,0,0,0,0.0416331480228191,0,0,0,0.00978750693227161,0,0,0,0,0,0,-0.0132928901215217,0.0250916227418699,0,0,0,0,0,0.0499553986367687,0,0
X601288.CH.EQUITY,0,0,0.91094253209806,0,-0.066787452055559,0,0,0,0,0,0,0,0,0,0,0,0,0.114324470876314,0,0,0,0,0,0,-0.014482323398531,0,0.0597382263622644,0,0,0,0,0,0,0,0,0,-0.092929732031705,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0485987553694459,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.135174699754041,0.849066624145821,0,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0.116914844783956,0,0,0,0,0,0,0,-0.0651801098559708,0,0,0,0,0.188237290450726,0,0.0350783222111442,0,-0.112840314495844,0,0,0,0.037346724850707,0,0,0,0,0,0.0931608588923716,0.00476586756339367,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,1.2123554230112,0,0,0,0,0,0,-0.248906582477637,-0.211841776943649,0,0,0,0,0,0.0198304246881322,0,-0.0910679951140788,0,0,0,-0.0531585836232977,0,0,0,0,0,0,0,0,0,0,0,0.0392344451172633,0,0,0,0.00873545403231797,0,0,0
X600036.CH.EQUITY,0,0,0.388438996504836,0,0,0,0,0,0.0387881139408957,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0.0668993248193282,0,0.0665891213471034,0,0,0,0.400298858695011,0,0,0,0,0.0112612835551263,0,0,0,0,0,-0.00395139917348121,0.0521330641315933,0.0274327805666748,0,0,0,0,0,0.0660264682140584
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.319639615819636,0.0376504104775213,0,0.0721984921968754,0,0,0,0,0,0,0,0,0,0,0,-0.204404378694785,0,2.77555756156289e-17,0,0,0.0209738356886058,0,0.215787474016791,0,0,0.0601504459770468,0,0,0,0,0.0366264353848882,0,0,0.068273696291977,0,0,0,0.42736695596884,0,0,0,0.0337754818585437,0.123396074610287,0
X5.HK.EQUITY,0,0,0,0,-0.16819877172031,0,0,0,0,0,0,0,0,0,0,0,0.269303777964888,0,0,0,0,0.167244608491223,0,0,0,0.307475223237157,0.0690430545499705,0,0,0.139599182057911,0,0,0,0,0,0,0,0,0,0,0,0,0.178702959632935,-0.0132889107348104,0,0,0,0,0,0,0.141563193771207,0.22241075429208
X388.HK.EQUITY,0,0,0,0,0.172346065101401,0,0,0,0,0,-0.0424655773683903,0,0,0,0.0820077802719665,0,0.0400241702038701,-0.12747533814662,0,0,0.0561566554489843,0.00498256080801864,0,0,0,0,0,0.51780052184846,0,0,0,0,0,0,0,0,0.27421101295598,0,0,0,0,0,0,0,-0.206824186119095,0.0201946628063699,0,0,0,0,0,0
