,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.189584749737483,0,0,0,0,0,0,0,0,0,-0.182683128873195,0.620745274113818,0,0.715301973717335,0,0,0.0684102964834536,0,-0.109369051891495,0,-0.0668746466142416,0,0.00846511716974926,0,-0.333123715077704,0,0,-0.124617654280394,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0320122673753687
X601318.CH.EQUITY,0,0,0,0,0,0.155643918004713,0,0,0,0,0.0858417525463626,0,0,0,0,0,0,0,0,0.260970131258389,0,0,0,0,0,0,0,0.0992420974895973,0,0.0440386360295186,0,0,0,0,0,0,-8.67361737988404e-19,0,0.244481244055337,0,0,0,0,0,0,0.0157677537741345,0.0143498378086543,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.812575042391767,0,0.0607929010068261,0,0,0,0,0,0,0.0321291455292598,0,0,0,0.0213898035199602,0,0,0,0,0,0.0100993096189385,0.0068269200856557,0,0,0,0,0,0,0,0.0413798340731243,0,0,0,0,0,0,0.00988022373768873,0,0,0,-0.0155126780193463,0.024916864510145,0,0,0,0,0.0558305313540043,0,0,0
X601288.CH.EQUITY,0.0315129561479888,0,0.894848061907434,0,0,0,-0.0631900167312631,0,0,0,0,0,0,0.00309906882288387,0,0,0.0375233779755719,0,0.095435870307134,0,0,0,0,0,0,0.0497318594565307,-0.0694154033305372,0,0,0,0,0,0,0,0,0,0,-0.0989972614109075,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334549780006732,0
X601988.CH.EQUITY,0.058441374204716,0,0,0,0,0,0,0,0,0.0356900919582544,0,0,1.23682685689377,0,0,0.0169971114150541,0,0,0,-0.22726212978552,-1.38777878078145e-17,0,0,0,0,0.0844918760571121,0,0,0,-0.16048679407184,0,0,-0.124769594685299,0,0,0,-0.193447786909665,0,0,0,0,0,0.0128982793768533,0,0.0330791255413995,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.374376579460528,0.0398712940882882,0,0,0,0,0.100726203530927,0,0,0,0,0,0,0,0,0,0,0.0045062254962207,0,0,0,0,0,0,0,0,0,0,0,0,0.396214418167105,0,0,0,0,0,0,0,0,0,0,-0.00261483761192351,0.0433421876776203,0.108620160296,0,0,0,0,0,0.0468998447164863
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.103606763485414,0.00640007439666707,0.714694597646576,0,0,0,0,0,0,0,0,0,-0.0247968046785885,0.0871359016276804,0,0,0,0,0,0,0.118667276568154,-0.0750767861555144,0,0,0,-0.0289628774985934,0,0,0,0.302115196943267,0,0,0,0,0.264880960194076,-0.160741032160107,0,0,0,0.0758840394355007,0,0.0602244127376334,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.2942749757868,0,0,0.0574420079512451,0,0,0,0,0,0,0,0,0,0.0190871050758915,0,-0.210005923755728,0,0,0,0.033021391237136,0,0.0420917246339699,0.213873577018359,0,0,0.0900048161762971,0,0,0,0,0,0,0,0.0558269794424959,0,0,0,0.452476495656332,0,0,3.46944695195361e-18,0,0.102453995677099,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.108305943539021,0,0,0,0,-0.052220935048375,0,0,0,0,0.306841773813257,0,0,0,0,0.152780833839005,0,0,0.232025426412248,0.203481353789092,0,0,0,0,0,0.0877201624745564,0,0,0,0,0,0,0,0,0,0,0.16597869600705,0,0,0,0,0,0,0.0223671231469014,0.157311490034084,0.201325433049716
X601658.CH.Equity,0,0,0,0.170740897698072,0,0,0,0,0,0,0,0,0,0,0.251803171359553,0,0,0.104181884180438,0.14911225727033,0,-0.363811695004932,0,0,0,0,0,-0.127087570146664,0,0,0,0,0,0,0,0,0,-0.0185744845718552,0,0,0,0,0.616142567426113,0,0,0,-0.0358108412291973,0,0,0,0,0,0
