,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.359366018624709,0,0,0.084231075631963,0,0,0,0,0,0,0,0,0.0395666152396421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339022027738003,0,0,0,0.206051179166714,0,0,0.0290690222490843,0,0,0,0,0,0,0,0,0.209810036469001,0,0,-0.00158789206197754,0
X601318.CH.EQUITY,0,0,0,0,0.072067581057482,0,0.0728364246716911,0.0959631982288163,0.0725095611911028,0,0.0612886976932212,0,0.0243006101443686,0,0,0,0,0,0.184478199423459,0,0.327411547874799,0,0,0,0,0,0,0,0,0.105670460688646,0,0,0,0,0,0,0,0.0561632419487622,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125962720594399
X601939.CH.EQUITY,0,0.0846483208633439,0,0.16525421464192,0,0,0,0,0,-0.016103664237374,0,0,0,0,0,0,0,0,0,0.0352481445309062,0,0.843637495201087,0,0.0449204420078755,-0.226480835688076,0,-0.168376973003468,0,0,0.0363159209348276,0,0,-0.0194108686962288,0,-0.0434821785292458,0,0,0,-0.0306228353091925,0,-0.0887440811870889,0,0,0,0,0,0,0,0,0,0,0.0828362264945765
X601288.CH.EQUITY,0.125191379988606,0,0.0843094077771288,0,0,0.104117192543011,0.363032008226635,0,0,0,0,0,0,0,0,0.0980728903531027,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292777373061581,0,0,0,0,0,0,0.205444276448621,0,0,0,0,0,0,0.0819982381971384,0
X600036.CH.EQUITY,0,0.144572926157807,0,0,0,0.0962384545713173,0.0829201265247802,0.0664720673054476,0,0,0,0,0.25574632238532,0,0,0,0,0,0,0,0,0,0.291965583036343,0,0,0,0,0.00585909632604563,0,0,0,0.0503713038500314,0,0,0,0,0,0,0.0838278726447707,0,0,0,0,0,0,0,0.0537661558419608,0,0,0,0,0
X601628.CH.EQUITY,0.0653433196525809,0,0,0,0,0,0,0,0,0.0258582198773408,0,0,0,0,0,0,0,0.118338197491076,0,0,0,0,-0.112459964806671,0,0.246488162817913,0,0,0,0,0,0,0,0.120935269891654,0,0,0.606871234855747,0,0,0,0,0.096906725111982,0,0,0,0,0,0,0,0.000842660703178565,0,0,-0.0491246002168853
X601988.CH.EQUITY,0.253389894823572,0,0,0.0646389146886855,0.0628251047381835,0,0,0,0,0,0,0,0.171519903086018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26440466397425,0,0.0980553526120826,0,0,0,0,0,0,0,0,-0.0119592287305283,0,-0.0756799497651183,0,0,0,0,0,0,0.349438243042543,0,-6.93889390390723e-18
X1299.HK.EQUITY,0,0,0,-0.0711037790305132,0,0,0,0,0,0.177279797923168,0,-0.00493628202636087,-0.11647309022469,0,0,0,0,0,0,0,0,0,0,0,0,0.207697610868581,0.0550533428149248,0,0,0,0,0,0,0,0.0306751947527217,0,0,0,0,0.0700434404446505,0,0.116081560548385,0,0.0615950151297107,0,0.0198287979606797,0.158697862871885,0,0.135285568141886,0,0.0361506767145055,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659372273525895,0,0,0,0,0,0,0,0,0,0.0373582612972823,0.104429061571917,0.609265118912968,0,0,0,0.0544657683582865,0.106408239496538,0,0,0,0,0,0,0,0,0.20720658425205,-0.097304108482655,0.0992991712103863,0,0,0,0.130190726358022,0,0.173604506244178,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.144017911037076,0,0,0,0,0,0,0,0,0,0,0,-0.0148739224957168,0,0,0,0,0.479759747479941,0,0.185483529706899,-1.38777878078145e-17,0,0,0,0.119711200477913,0.150338782388293,0,0,0,0,0.0784758958235509,0,0,0.0201611183773145,0,0,-0.0582796637686424,-0.17612742900596,0.105660029871293,0.0331215696303002,0,0,0,0,0
