,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.225561792976007,0,0,0.341444907174486,0,0,0,0,0,0.248463967976638,0,0,0,0,0,0,-0.0598548782757067,0,0,0,0,0,0,0,0,0,0,-0.0463296741714873,0,0,-0.133257394049892,-0.0258382501523203,0.0936653447995895,0,0,0,0.0417623886443612,0,0.104531107832033,0,0,0,0,-0.124877908267996,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.162535907439388,0,3.46944695195361e-18,0,0.0363764518714838,0,0,0.16266233354521,0,0.0817275534793479,0,0,0,0,0,0,0,0,0,0,0,0,0.0801305218066486,0,0,0,0,0,0,0,0,0,0,0.500221965599659,-0.0449750408943897,0.00293889301204889,0,0,0,0,0,0,0,0,-0.0305769224927545
X601939.CH.EQUITY,0.199230150934033,0,0,0,0,0,0,0,0,0.00654075443977195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.425905446003993,0,0,0,0,0,0,0,0.112314035686922,0,-0.0494161906442559,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.0383444850943568,0.0222917728452464,0.041513926435166,0,0.0277845680029523,0,0,0,0,0,0,0,0,0,0,0,0,0.397128091277948,0,0,0,0,0,0,0,0,0,0,-0.0343693141153385,0,0,0,0,0.0602395497328942,0,0.112710120995945,0,0,0,0,0,0,0,0.0941305162447982,0,0,0.088897406398008
X5.HK.EQUITY,0,-0.036180896592547,0,0,0,0,0,0,0,0,0,0,0,0,0.180706027099146,0,0,0.162368256546562,0,0,0.271543880665413,0,0,0.411135408752511,0,-0.0408047655639911,0,0,-0.30584067688743,0,0,0,0,0,0,0,0,0,0,0,0,0.0217407666027164,0,0,0,0,0,-0.143311375794347,-0.104130012720603,0.155977524769096,0
X601988.CH.EQUITY,0.187354062439467,0,0,0.363874006859105,0,0,0,0,0,0.0874601778009529,0,-0.00588904294688734,0.0295782748328724,0,0,0,0,0,0,0,0,0.277440544716872,-0.148130392560491,0,0.0141622469220328,0,-0.0509549744822679,0.199305569468354,0,0,0,0,0,0,0,0.0515750424534545,0,0,0,0,0,0,0,0,0,0,0,0.0559127613877173,0,0.0203659459503709,0
X600036.CH.EQUITY,0,0.556554483119662,0,0,0,0,0,0,-0.0853187637733038,0,0,0,-0.0887750818357238,0,0,0,0,-0.13452405897459,0.0482087609782936,0,0,0,0,0,0,0.0946578105106582,0,0,0.0676451340203545,0,0.133568280140381,0,0,0,0,0,0,0,0,0,0,0.139720183435118,0,0,0,0,0.043312870585149,0,0,0.0969363381691819,-0.226755543504727
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0359909956074297,0,0,0,-0.0535737971195202,0,0,0.0463687403149777,0.251598195973599,0.0121133822057861,0,0,0,0,0.291753075449861,0,0.273815685242689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151278452396203
X601628.CH.EQUITY,0,0.130039514925975,0,0,0,0,0,0,0,0.0397556558639255,0,0,0,0,0,0.246507657947774,0,0,-0.0247577416804657,0.032780569852723,0,0,0.180534747337189,0,0,0,0,0,-0.0266829863691743,0,0,0,0,0,0,0,0,0.237146751801732,0,0.102261046370691,0,0,0,0,0,0,0,0,0,0,0.0164006914531649
X601166.CH.EQUITY,0,0,0,0,0,0.332103785426632,0.229214920058703,0,0.0450137323850191,0,0,0,0,0,0,0.605185679097246,0,0,0,0,0,0,-0.502297902211578,0,0,0,0,0.223675990628526,0,0,0,0,0,0.32610346488896,0,0.299726491433946,0,0,0,0.00300569170789938,0,-0.128148982779897,0,-0.150181098292623,0,0,0,0,-0.127300295451087,0,0.00914492796197327
