,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.576202490173734,0,0.0039624737162463,0,0.0742859753966462,0,0,0,0.122724390682778,0,0.0863651764177684,0,0,0,0,0.00907700393898564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605182310953712,0,0,0,0,0.00755076816776007,0,0,-0.0204083548627147,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.151202775185118,0,0.0885602947550923,0,0,0,-0.00739286843857221,0,0,0,0.0726401782826161,0.255886657421022,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117226573458073,0,0,0.0435563318235678,0,0,0,0,0.17996167015826,0,0,0.0427255389302468,0,0,0,0,0,0.143596382949292,0,0,0
X601939.CH.EQUITY,0,0,0,0.400928572116009,0,0.258163493903292,0,0,0,0,0.0238108865812832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155057285375998,0,0,-6.93889390390723e-18,0.00287599020127187,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.212755537018667,0,0.305079996361821,0,0,0.0653151423802332,0,0,0,0,0,0,0,0,0,0,0,0.188883124840952,0,0,0,0,0,0,0,0.0190924822179142,0,0,0,0.0496133196047586,0,0,0,0,0,0,0,0,0,0.082562473594504,0,0,0,0,0,0,0,0,0,0,-0.111202773712835
X5.HK.EQUITY,0,0,0,0,0,0.299028362360335,0,0.444016532735752,0,0,0,0,0,0,-0.154171843230668,0.226766397399979,0.0989480057127792,0,0.0137812140151459,0.163854465744881,-0.277599486601556,0,0,0,0,0.156425846851297,0,-0.0245532988269116,0,0.302609757352983,0,0,0,0,0,0,0,0,0,0,0,0.0550481226572514,0,-0.0105648495369832,0,-0.417183835163307,0,-0.153852608709706,0,0.0452522490891376,0
X601988.CH.EQUITY,0.0706577793779753,0,0.0511787289049747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580570815028742,0.00890702830303051,0,0,0,0,0,0.143869957321463,0,0,0,0,0,0,0,0,0.0645339548161894,0,0,0,0,0,0.0287019288094444,0,0,0,0,0.0882878185024736,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0246377492810244,0,0,-0.0227613569872262,0,0,0,0,0,0.0728116290358861,0,0,0,0,0,0,0.716795390279939,-0.008194794047885,0.0266980742003345,0,0,0.0964098161623779,0,0,0,0,0,0,0,0,0,0,-0.00128037746325262,0,0.0668720578671753,0.0572261987790304,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.208465398580892,0,0,0,0,0,0,0,0.188555977938188,0.223600153767565,0,0,0,0,0,0.115553061573093,0,0,0,0,0,0,0,0.0846745504592661,0.0438166460991085,0,0,0,0.176821040703909,0,0,0,0,0,0,0,0,0,0,-0.0806463652741324,0,0.0138342476340648,0,0,0,0,0.104754706359355
X601628.CH.EQUITY,0,0.215115040611806,0,0,0,0,0.0308198581985367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505216459533725,0,0,0,0,0,0,0,0,0,0,0,0,0.404381077121482,0,0.232085800015961,0,0,0.0295635704792854,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0643220642476395,0,0,0,0.139499390175784,0,0,0,0,0,0,0.204217039635964,0,0,0,0,0,0,0,0.247158201653645,0,0,0,0,0.0759527669355986,0,0,0,0,-4.33680868994202e-19,-0.00694853162033039,0.0484905208111109,-0.0036392098937499,0,0,0.0107050110226403,0.247937268716213,0,0,0,0,0.0419663244058732,0,0,0,0,0.0205817419848246,0,0
X601166.CH.EQUITY,0.0512351445823948,0,0.156382128284599,0,0,0,0.174444181990635,0,0,0.0957639489289119,0,0,0,0.228419440310907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549613014976692,0,0,0,0,0,0,0,0.0856954113150924,0,0,0,0,0,0,0,0.0406960336747113,0
