,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.444039198071602,-1.73472347597681e-18,0.0525964763561999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464148373837672,0,0,0,0,0,0,0.0261115995016526,0.0747236383439867,0,0,0,0.139957499810154,0,0.054961477954519,0,0.122466871777656,0,-0.150739080812923,0,0.0475660285291743,0,0,0,0,0,0,0.0875024440074777,-0.106207375886805
X002142.CH.EQUITY,0.198803595981496,0,0,0,0,0,0.135432351348495,0,0.0916769647191189,0,0,0,0,0.292011593959491,0,0,0,-0.0692427177875716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00659150147424798,0,0.120988960548771,0,0.0899256494075092,0.00692168904335472,0,0,0,0,0,0,0,-0.0453401253906319,0,0,-0.0621398790479479,-0.0104958004525443
X600000.CH.EQUITY,0,0,0,0,0,0.547107435463473,0,0,0,0,0,0.0229603932484391,0,0,0,0,0,0,0,0,0,0,0,-0.16386830507207,0,0,0,0,0,0,0,0,0,0,0,0,-0.286258618068503,0,0,0,0.345588108276783,0.113320113356865,0,0,0,0,0,0,0,-0.0291608168278129,0.0105181487773056
X600015.CH.EQUITY,0.055593508797407,0,0.132280040698855,0,0,0,0,0.481042472916404,0,0,0,0.0671775972547113,0,0,0.127209179684387,0,0,0,0,0,0,0,0,0,0.0174362590851005,0,0,0,0.141783598242558,0,0,0.0197184996004805,0,0,0,0,0,0.0269364051560947,0,0.0102298989394259,0,0,0,0,0,0,0,0.00251530410259087,0,0,0
X600016.CH.EQUITY,0,0,0,0.0857750312618254,0,0,0,0,0,0,0,0,0,0,0.459881272353982,0.0144152699289096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.472517279124371,0,0,0,0.00903342939239803,0,0,0,0.0681637189012953,0,0.0531077023360751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074739163786124,0,0,0,-0.0737326292032225,0,0,0,0,-0.153398386595554,0.374319137351407,0,0,0,0,0,0,0.147333530315204,0,0,-0.152818485983592,0.0970360329102251
X601166.CH.EQUITY,0,0.108465679413404,0,0,0,0.0101970830295451,0,0,0,0.254356937127522,0,0,0,0,0.0945119720118984,0,0,-0.0952231918931106,0,0,0.0560514246061306,0,0,0,0,0,0,0,0,0,0,0,0.496038748032288,0,0,0,-0.039711561888681,0,0,0,-0.00825349875425653,0,0,0,0,0,0,0,0,0.124249591245167,0
X601169.CH.EQUITY,0,0,0,0.90486002549881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131134687082243,0,0,0,0,0,0,0,0,0,0,0.136173230765603,-0.14592462453048,-0.483877675810598,0,0,0,-0.0941568929895539,0.385862019956015,-0.0954900232582892,0,0,0,0,0,0,0.0463630814299681,-0.0327313328728228,0.137665398057158,0,0.0343760439937713
X601229.CH.EQUITY,0.0537117830125291,0.1027384176091,0.188014228371023,0,0,0,0,0,0,0,-0.0745227042533495,0.477095225752355,-0.0325819978503252,0,0,0.0603893361284763,0,0,0,0,0,0,0,0,0,0.0612576522763815,0,0,0,0,0,0,0,0,0,0.176632303098018,0,0,0,-0.0274902071456936,-0.0635820688716034,0,0,0,0,0,0,0,0,0,-0.19003593307625
X601288.CH.EQUITY,0,0,0,0,0,-0.376754860766167,0.709129151869785,0,-0.0162610039220015,0,0,0,0.151058005612955,-0.112566650759632,0,0,0,0,0,0,0,0.0789227764095085,0,0,0,0,0,-0.284314202363424,0,0,0,0,0,0.194432778310651,-0.123650030774454,0,0,0,0,0,0,0,0,0.00829179741828231,0,0,6.93889390390723e-18,0,0,0,0.349302107419507
