,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X2891.TT.EQUITY,0,0,0,0,0.148503498651378,0,0,0,0,0,0.0909525917820804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11346280028021,0.119763946205923,0,0,0,0.0336237067504497,0.0682716863013637,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.100949111805768,6.93889390390723e-18,0.0896351522085573,0.075686840951868,0,0,-0.0611205724358138
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342007749736422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166712390015452,0.201600773404559,0.0648455905309887,0,0,0.223228638668263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194015342985376,0,0,0,0
X5880.TT.EQUITY,0,0,0,-0.248895294505499,0,0,0.0853485833109628,0.0382509072472013,0,0,0,0,0,0,0,0.0395867334861887,0,0,0.176753317983548,0,0,0,0.223858992768927,0,0,0,0,0,0.236674386658835,0,0,0,0,0,0,0,0,0,0.204671762128346,0,-0.0101424311141387,0.229315409915107,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0.0223903728394987,0,0,0,0,0,-0.119470715584119,0,0,0,0,0,0,0,0,0,-0.0926745186971837,0,0,0.0307902566830291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175243568898384,0.156223618623547,0.441422390033894,0,0,0,0.0994509823473625,0,0,0,0,0,0,0,-0.0655929133093162,0.0868298023508763,0
X600837.CH.EQUITY,0,0,0,0,0.166072831010147,0,0,0,0.0179170860606317,0,0,0,0,0,0,0,0,0,0,0,0.0130100495646751,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144203135733679,0.0513469522324222,0,0.839968444443129,0,0.0510192374235682,1.73472347597681e-18,0,0,0,0,0,0.0179434276943352,0,0,0,0,-0.0111862890313195,0
X601211.CH.EQUITY,0,0,0.0399040202175579,-3.46944695195361e-18,0,0,0.163493771120499,0,0,0,0,0,0,0.0101350627632314,0.0658527676074959,0,0,0,0,0.149377658620062,0,0,0,0,0,0,-0.0955193852102906,0,0,0,0,0,0,0,0.220754064330789,0.366459346676882,0,0.257458404695359,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00637723655203767
X601688.CH.EQUITY,0,0,0,0,0,0,0,0.0597135936254828,0,0.0278565881533888,0,0,-0.0833109798954337,0,0,0.115110961199324,0,0,0,0,0,0,0,0.0396823424183479,-0.0360878084312916,0,0,0,0,0,0,0,0,0,0.365188748309625,0,0.452890896568808,0,0,0,0,0,0,0,0,0,0,0.0162108715855228,0,0,0,0
X2885.TT.EQUITY,0,0.124493930646726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355257685294985,0,0,0,0,-0.0232531748866596,0,0,0,0,0,0,0,0,0.0618477694191564,0.455504937437141,0,0,0,-0.0606441222953762,0
X601318.CH.EQUITY,0.12481756169573,0.0898906684355169,0,0,0.0307599452454409,0.333084315289027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137540712120115,0,0,0,0,0,0,0,0,0,0,0.0686689723602304,0,-0.0145907849624657,0,0,0,0,0,0,0,2.71050543121376e-20,0,0.113366540304164,0.27236666523256,0.0032428014316719,0.139498893781343,-0.168232189096742,0,0,0.0424403305349667,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.383267656057634,0.0224370122915688,0,0.0112853295151631,0,0,0,0.119085501822574,0,0,0,-0.0950068905621349,0,0,0,0,0.0506886381756883,0,0,0.018176124910426,0,0,0,0,0,0,0,0,0,0.304050004249818,0,0.124376028013615,0,0,0.0406297016699158,0,0,0,-0.0110003913736821,0,0,0,0.196160810800612,-0.125124028111898
