,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X600048.CH.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.165743058831425,0,0,0.20782344321311,0.0565613420266099,0,0.216519345886043,0.0718899536836512,0,0,0,0,0,0,0.16304885711989,0,0,-0.0810481259784801,0.120027435308827,0,0.214125208593851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0668835188441537,0,0,0,0,0,0,0.117067301814529,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.0308853580954234,0,0.22759430940368,0,0.145711388969377,0.300531996561465,0,0,0,0.0891246769587238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258425928687698,0,-0.135601109968466,0,0,0,0,0,0,-0.111562375449506,0,-0.0888356859352812,-0.158438088562046,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.044597543317319,0,0.494322816891404,0,-0.140280372002664,0,0,0,0,0,0,0,0,0,0,0,0,0.303795326018868,0,-0.346767345738887,0,0,0,0,0,0,0,0,0,-0.0970421037508624,0.174626935879059,0,0,0,0,0,0,0,0.16226625035865,0,0,0,0,0,-0.0499942874659978,0,0.25245888981269,0,0
X600015.CH.EQUITY,0,0,0,0,0.127355039681032,0,0,0,0,0,0.134374922068515,0,0,0,0,0,0,0,0,0,0.035300828290927,0.188506980371182,0,0.151767381614248,0.272465365015041,0,0,0,0,0,0,0,0.0401874414398138,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,-0.00590167716810871,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0627701010606334,0.162807205203597,0.161641916496291,0,0,0.0532907279674529,0.300835673135322,0,0,0.00561701666119009,0,0.282488703225001,0,0,0,0,0,0,0,0,0,0,0.120634262618559,0,-0.0346434153920486,0,0,0,0,0,0,0,0,0,0,0,0.0357552829660956,0,0,0,0,0
X600036.CH.EQUITY,0.193407882621781,0.0485670072281702,0.199005361318575,-0.030855117706396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429189982609623,0,0,0,0,0,0,0,0,0,0,0,0.337865106843804,0,0.110898800906376,4.33680868994202e-19,0,0.0577159475615611,-0.0365751768262419,0
X600919.CH.EQUITY,0.593008901057634,0,0,0,0,0,0,0,0.059078906910101,0,0,2.16840434497101e-19,0,0,0,-0.0926670124105633,0,0.0625897733591595,0,0.0515349702210639,0,0,0.341871547068314,0,0,0,0,0,0,0,0,0.25762662986788,0.0829259783668464,0,0,0,-0.0507009862680687,0,0,0,0,0,0,-0.0104008346604597,0,-0.0864783747668234,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.523789427645716,-0.283669577080199,0,0,0,0.0395999912368994,0,0.27591344544977,0,0,0,0.110416708898349,0,0,0,0,0.0478375782692401,0,0,0,0.0166687450537626,0,0,0.101895230292025,0.0618859459631681,-0.172047563488081,0,0,-0.048862503074466,0,0,0,0,0,0,0,0,0,0.0820382251342058,0,0,0,0,0,0.159633780067927,0,0,0,0,-0.033555075728676,0
X601009.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.293345921100264,0,0,0,0,0,0,0.243104436320769,0.181519542596151,0,0,0,0.0527734253731339,0,0.0461756497660138,0,0,0,0,0,0,0,0.0558505695601471,0,0,0,0,-0.00647931373321328,0,0,0,0,0,0.033566249667168,0,0.00852768829791125,0,0,0,0,0.0391604522386925,0.144873261037661,0
X601166.CH.EQUITY,0.214643783128841,0,0,0,0,0,0,0,0.237050665123468,0,0,0.0336501540034238,0,0.094594863611143,0.25446931799229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511971980565239,0,6.93889390390723e-18,0,0,0,0,0,0,0.0136458644363168
