,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601328.CH.EQUITY,0,0,0.19654660171226,0,0.074840184271459,0.206408925439887,0,0,0,0,0,0,0,0,0,0.0642775049840225,0,0,0,0,0,0,0,0,0,0,0,-0.0165717803284268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197371521811943,0,0,0,0
X601398.CH.EQUITY,-0.261193670443902,0,-0.0756689641871626,0,0,0,0,0.0564973679812494,0,0,0,0.993161436746544,0,0,0,0.0893891525012038,0,0,0,-0.0772338574973991,0,0,0,0,0,0.160090418369902,-0.221029830060859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195014413805402,0.152115996118057,0.0763890284448371,0,0,0,-0.212377873377327,0,0.00360253810041922
X601577.CH.EQUITY,0,0,0,0,0,0,0.0163144219104971,0,0.165894809476745,0,0,0,0,0,0.393374075331087,0,0,0.346943094099457,0,0,0,0,0.173746601225193,0,0,0,-0.645709442994539,0,0,0,0,0,0,0,-0.026176173676589,0,0,0.416511238592785,0,0,0,-0.109666386945556,0,0,0,0,0,0.162897242212185,0,0,0,-0.0909286470861139
X601818.CH.EQUITY,0,0,0.181022599118004,0.0514173541024383,0,0.0160420254313045,0,0.173687705892008,0,0,0,0,0,0,0,0,0,0,0,0,0.0889114834621837,0.0066088580925985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224759083447181,0,0,0,0,0,0,0,0,-0.0069650166946549,-0.00102226054174767,0,0,-0.0662740284851284,0
X601838.CH.EQUITY,0.0961326885722769,0,0,0.142830399132228,-0.166201669194154,0,0.429685711036916,0.0298145976040846,0,0,0,0,0,0.0665782597683643,0.00792266238115255,0.239810374690946,0,0,0.104042640666989,0,0,0,0.156936666890828,0,-0.0722843468777024,0,0,-0.0680121729589786,0,0,0,0,0,0,0.0486147243818112,0,0,0,0,0,0,0,0.147047565078304,0,0,0,0,0,0,0.0670370196662173,0,0
X601939.CH.EQUITY,0,0,0.322897290179931,0.00565695846267762,0,0,0,0,0,-0.0665732983904211,0,0,0,0,0,0,0,0.0794045891088931,0,0,0,-0.0968591739833247,0.0635840223372918,0,0,0,0,0,0,0.14613438434526,0,0,0,0,0,0,0,0,0,0,-0.0165134256337379,-0.597156497908688,-0.406064586419584,0.701992576669417,0.19024098798329,0,0,-0.220388021205972,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833189557424817,0,0,0.165569141082348,0,0,0,0,0,0,0,-0.0849537687789573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.25805028078187,0,0,0,0.0685222157119741,0,0,0,0,0,0,0,0,0,0.0756280968402717,0,0,0,0,0.092327343178857,-0.0797784964469377,0,0,0.131563550052012,-0.0435494770625615,0,0,-0.103561487084893,0,0,0,0,0,0,0,0.0334279868158851,0,0.276636035381563,0,0,0,0,0,0,0,-0.0284086843469203,0,0,-0.0976257049568011,0
X601658.CH.Equity,0,0,0.376823189662639,0,0,0,0,0,0.281323200723032,0.0531972216688058,0,0,0.0349069577320325,0,0,0,0,-0.108337661810971,0,0,0,0,0.106991757079765,0,0.0930626228917628,0,0,0,0,-0.132162672797464,0,0.0617225935843791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,-0.0151868583436623
X601916.CH.Equity,0,0.064701626755401,0,0,0,0,0,0,0.0213835721158058,0,0,0,0,0,0,0.350831756663293,0,0,0,0,0,0.235413289400934,0,0,0.145624854187085,0,0.259086281348684,0,0,0,0,0.168844776256795,0,0,0.248830991892582,0,0,0,0,0,0,0,0,0,0,0,0,-0.0755281177858385,0,0,0,0.1601880290329
