,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.14965327954533,0,0,0,0,0,0,0,0,0,0,-0.115499049589533,0,0.486173334446258,0.712271586027284,0.041748606711665,0,0,-0.122887442309608,0,0,-0.0921405208946094,0,0.0844092056230391,0,0,0,0,-0.124081309204,0,0,-0.341846463785783,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.165165646413426,0,0,0,0,0,0,0,0,0.0831053502635067,0,0,0,0.31275372742137,0,0,0,0,0,0,0,0,0,0.115613342646988,0,0,0,0,0,0,0,0.111175473573299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143111799940846
X601939.CH.EQUITY,0,0,0,0.819844507644545,0.0238790852564464,0.0159217006890834,0,0,0,0,0,0,0,0,0,0.000661967566025131,0,0,0,0.0593518302659906,0,0,0,0,0,0,0,0,0,0,0,0.0164175580260659,0.0456720719658731,0,0,0,0.0052850049594234,0,0,0,0,0,0,0,0.0671263285557777,0,0,0,0.0229519546393913,0,0,0
X601288.CH.EQUITY,0,0,0.878427244313229,0,0.0717516732665275,0,-0.088646306745458,0,0,0,0,0,0.0146118213619536,0,0,0,0.0571995350705305,0.115486005608224,0,0,0,0,0,0,-0.0907617259589702,0,0.0183978651316728,0,0,0,0.0126196516843013,0,0,0,0,0,0,-0.143882529706889,0,0,-0.00408357051608508,0,0,0,0,0,0,0,-0.00580774445771718,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.105763205412814,0,0.00484771639691073,0,0,0,0,1.16817230330986,0,0,0,0,-0.146128626927172,0,0,0,0,0.0844886280372833,0,0,0.0806696001193275,0,0,0,0,0,-0.228446441494035,0,0,-0.25352800479763,0,0,0,0,0,0.0391773067012286,0,0.0794719457349754,0,0,0,0,0,0,0.0141729489637126,0.185603961835011
X600036.CH.EQUITY,0,0,0.375421962956766,0,0,0,0,0,0.0168319446373066,0,0,0,0,0,0,0.144304524714588,0,0,0,0,0,0,0,0,0,0,0.156695803711952,0,0,0,0,0,0.225372006536728,0,0,0,0,0,0,0,0,0,0,0.0413502345610363,-0.00144881809498575,0.0337423066409741,0,0,0,0.0166483964326233,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0271484425415151,0,-0.0120479972136892,0.817430290777709,0,0,0,0,0,0,0,0,0,0.145992329201094,-0.0207957564343881,0,0,0,0,0,0,0,-0.060752380071292,0,0,0,0,0,0.0411964759128266,-0.0367640284490968,0,0,-0.0541917569586773,0,0,0,0.108718984863772,0.0769341257528997,0,0,0.0333001068087256,0,0,0.135377096346175
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.112286026385764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256242781576169,0,0,0.167252134642881,0,0,0.170825083235038,0.350370220827269,0,0,0.00251636863707053,0,0,0,0,0,0,0,0,0,0,0,0.410179265618283,0,0,0,0.0992978180461274,-0.0881663947396427,0.0975428972275624
X5.HK.EQUITY,0,0,0,0,0,0,-0.0732462199624623,0,0,0,0,0,0,0,0,0,0.335512657997316,0,0,0,0,0,0.0883528972942677,-0.139863994054265,0,0.356809259599125,0.194787549936625,0,0.0177570588383719,0.101938209508344,0,0,0,0,0,0,0,0,0,-0.0988062711903012,0,0.0274272474956247,0,0,-0.11926940237063,0,0,0,0,0,0,-0.231290598908514
X388.HK.EQUITY,0,0,0,0,0,0,0.215724362465573,0,0,0,0,0,0,0,0,0,0,0,0,-0.214564212899572,0,0,0,0,0.354548686462282,0,0,0.0659890951059624,0.123638004395347,0,0.0238064463425327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165372940559185,0.0420190744837209,0,0,0.0612771674125755,-0.263987509750248,0,0
