,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.107993570148208,0,0.0962975655703268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440078400330648,0,0.448989462750414,0,0.159495680499688,0,0,0,0,-0.145398157236917,0,0,0,0,-0.162091421166661,0,8.67361737988404e-19,0,-0.754562077915434,0,0,0,0,0.0761735626426018,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.384486692887764,0,0,0,0,0.0751974301606784,0,0,0.0127787624556965,0,-0.101783099879421,0.241155724775122,0,-0.0477113239352803,0,0,0,-0.024946212441505,0,0,0,0,0.0757255616559016,0,0,-0.170573553549697,0,0,0,0,0,0,0,0,0,0,0,0.101694362591981,0,0,0,0,0.302974054607846,0,0,0.0634898198900521,0,0,0.105696902517893
X601318.CH.EQUITY,0,0,0,0,0.0200257012043164,0.347080873226365,0,0,0,0,0,0,0,0,0.0112636050093919,0,0,0,0,0,0.118915110087503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356401911270757,0.0429500169043656,0,0,0,0.0340890958087244,0,0,0,0
X601288.CH.EQUITY,0,0.705749229690816,0,0,0.0460080256295831,0,0,0,0,0,0,0.018578336843929,0.138610108413543,0,0,0,0,0,0,0,0,0.0630954327103542,0,0,0,0,0,0.0188699650127086,0,0,0,-0.0382913802486872,0,0,0,0,0,0,0,0,0,0.0493473153014072,0,0,-0.0320435526994499,0,0,0,-0.046327438172292,0,0,-0.0561076724514949
X601988.CH.EQUITY,0,0,0,0.434426713909355,0,0,0,0,0,0.212947093664114,0,0,0,0.0644669235322723,0,0.30515150858309,0,0,6.93889390390723e-18,0.16767501856036,0,-8.67361737988404e-19,0,0,-0.0320285567223293,0,0,0,0,0,0,0,0,0,0,0,-0.488767485623412,0,0,0,0,0,0,0,0.210197458117398,0,0,0,0,0,0,0.426589136308995
X600036.CH.EQUITY,0,0.0650610668507816,0,0.0455471235804102,0,0,0.0149604161871756,0.0617564308306486,0,0,0,0,0,0,0,0,0,0,0,0.0401295667052374,0.18853096399697,0,0.0315522756722724,0,0,0,0,0,0,0,0,0.105879899566156,0,0,0,0,0,0,0,0,0,0,0,0.159076022871499,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.118039323435226,0,0,0,0,0,0.225708517500935,0,0,0,0,0,0,0.0391783311198578,0,0,0,0.0561927232347435,0.0408232319486778,0,0,0,0,0.0445023675337147,0,0,0,0,0,0.131384830788587,0,0.101724600715447,0.241458757520976,0,0,0.0545190408507953,0,0.0448972968100841,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.356678457655999,0.0144581987804997,0,0,0,-0.0748580178298435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141477192518053,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.180054104345179,0,0.111357756886163,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1447111305955,-0.136852755475785,0,-0.00285639189295902,0,0,-0.331351491541834,0,0.714933540629145,0.0788985387944952,0.474000904105079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106021806824655,0,0,0,0.212438588001213,0.119880379979161,0,0,0
X601658.CH.Equity,0,0,0,0.220028861768915,0.00118378210549116,0,0,0,0,0,-0.0305057479828623,0,0,0,0,0,0,0,0.272176083349954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909634725348046,0,0.239991129286478,0,0,0,0,0,-0.040683489960017,0,0,0.108517949054703,0,0,0,0
X388.HK.EQUITY,0,0,0.208054034478757,0.135897740298262,0,0,0,0,0,-0.202936831283932,0,0.0265205920123466,0,0,0,0,0,0.0438720555194911,0,0,0,0,0,0.412609684697291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0784844851988134
X601328.CH.EQUITY,0.0621245822580632,0.181197591926763,0,0.133979258409619,0,0,0,0,0,0,0,0,0,0.105343209313223,0.109394450315153,0,0.027296404897926,0,0,0,0,0,0,0,0,0.155757161250393,0,0,0,0.146247061748116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729428179224564,0,0,0.0712337890365138,0,0,0,0,0
