,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.279065738937357,0.0524718864038408,0.0798686215711083,0,0,0,0,0,0,0,0,0,0,0.156886259592097,0,0,-0.115652225941848,0,-0.244401275884709,0,0,0,-0.33640105077953,0,0.117074482386758,0,0.774434842895537,-0.000509960162235062,0,-0.0805529253606059,0,0.197046355735973,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.230859048763341,0,0,0,0,0,0,0.157374102781185,0,0.138317734215321,0,0,0.0346088236358141,0,0,0.0267176896086701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146955663173494,0,0.118425625608209,0,0.2041990545706,0,0,0,0,0,0,0,0,0,0,-0.108138562977464
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0290343564755974,0,0.362787923378652,0,0,0,0,0,0,0,0.0861639194596258,0,0,0,0,0,0,0,0,0,0,0,0.105492833218706,0,0,0,-0.322378132400798,-0.302705476775007,0,0,0.200516344939868,0.0631587180745386,0.528456951713658,0,0,0,0,0,0.22422205663047,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.512667315578131,0,0.0411104818230652,0.593209436083529,0,0,0,0.420827143685023,0,0,0,0,0,0,0,0,0,-0.449609893067152,0,0,0,0,0,0,0,-0.707451677854939,0,0,0,0,0,0,-0.0682380684830458,0,0.530140049386329,0,0,0,0,0.173831782300476,0,0,-0.23927296284759,0
X5.HK.EQUITY,-0.0807215660024668,-0.103495381038986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600028222450891,0,0,0.423268316068284,0,-0.035900140716923,0,0,0.147662360073561,0,0,0,0,0,0,0,-0.0431645338926606,0,-0.0163251715516981,0,0,0,0,-0.154384694615574,0,0,0,0.073680993496115,0,0,0,0,-0.120318414524231,0,-0.00217216291955702,0
X601988.CH.EQUITY,-0.281456492058531,0,0,0,0.347922839913819,0,0,0,0,0,0,0,0,0,0,0,0,0.179186147926251,0,0,0.654169545405049,-0.0183634567274027,0,0,-0.0349810207832007,0,0,0,0,-0.480983567596306,0,0,0,0,0,0,0,0,0.0802783312744094,0,0,0,0,0,0,0.105087032221454,0,0,0,0,0
X600036.CH.EQUITY,0,0.367571650024207,-0.0817438613684333,0,0,0,0,0,0,0.616435761592558,0,0.0752632956055761,0,0,0,0,0.0145429560813356,0,0,0,0,-0.0844433549764933,0,0,0.24710866075682,0,0,0.104214276445901,0,0,0,0.0428776424157818,0,-0.3476289428466,0,0,0,0,0,0,0,0.112088387432469,0.119756814419568,0,-0.0441228057217137,0,0,0,0,0,0.0762764403997977
X1299.HK.EQUITY,0,0,0,0,0.168631266943408,-1.73472347597681e-18,0,0,0,0,0,-0.125745487187656,0,0,0.0508513079864261,0,0,0,0.0152788557724605,0,0,0.148513960673536,0,0,0,0.157647836385117,0,0,0.0575164563279091,0,0.212408701368429,0,0,0.00134618462852638,0,0,0,-0.0239887118730633,0,0,0,0,-0.123811799580787,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0589848486688952,0.00482304097688547,0.0345416799899867,0,0,0,0,0,0,0.0694251162762686,0,0,0.357854519397423,0,0,0,0,0,0,0.0873121242673042,0,0,0,0,0,0,0,0,0,0,-0.0393663656095002,0,0,0,0.070850256837328,0.144747397421852,0,0,0,0,0,0,0,0,0.100501848564811,0,0,0,8.67361737988404e-19,-0.0791181822649262
X601328.CH.EQUITY,0,0,0,0.0165408956897107,0,0,0.4788178134714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424142955548298,0,0.230561604491544,0.218082914714298,0,0.0777183632026974,0,0,0,0,0,0,-0.268234867112187,0,0,0,0,0,-0.0376253680700219,0,0,0.132076889623157,0,0,0,0,0,-0.0375123945183998,-0.24014362349631
