,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0441195172426983,0.376801081392029,0,0,0,0,0,0,0,0,0,0,0.0446089581259685,0,0,0,0,0,0,0.0364971269705068,0,0.0816479047343054,0,0,0,0,0,0.0683219979229063,0,0,0,0,0,0,0.0910971108869253,0,0,0,0,0.0377684780341456,0,0,0.000548816767077439,0.0338123958844046,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.0874658969719621,0.022141270649579,0,0,0,0,0.109872295804809,0,0,0.0433795748680871,0.0626500419709821,0,0,0,0,0.0636189398785488,0,0.190603299210626,0,0.0230005649391506,0,-3.46944695195361e-18,0,0,0,0,0.0416094752272498,0,0,0.0605683071438741,0,0,0,0,0,0.153426761553709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865814785231247
X601939.CH.EQUITY,0,0,0,0,0.198738476514235,0,-0.0596112798170234,0,0,0,-0.0201946654537795,0.149678709250257,0,0,0,0,0,0,0.142210486686198,0,0.0225285759885652,-0.11992489329075,0.58440178309758,0,0,0.123857894152049,0,0,0.0540759853309596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181653476483688,0
X600036.CH.EQUITY,0,0.0273148542618922,0,0,0,0,0.242225971543588,0.0238540767460756,0,0,0,0,0.260350508608739,0,0,0.175347296228055,0,0,0,0,0,0,0.170746169383903,0,0.259334575928415,0,0,0,0,0.032984160234053,0,0,0,0,0,0,0,0,0,0.0908232285001121,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.215836167701284,0.119820709102093,0.0221651123084715,0,0,0.0907515764818071,0,0.397417700797641,0,0,-0.00262287731454153,0.0745782260482893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985204432801947,0,0,0,0,0.00523954999362549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094103942182844,0.0467371352801688,0,0,-0.0921607709673383
X601628.CH.EQUITY,0,0,0,0,0.104684286611732,0,0,0,0,0,0,0,0,0,0,-0.185545869152669,0,0,0.0364258484977661,0,0,0.032786711183446,0,0,-0.0167197494748078,0,0,0,0,0,0,0,0,0.629325058253233,0.0444192592756383,0,0,0,0,0,0,0,0,0,0,0,0,0.0656005665424409,0,0,0,0.209550991517106
X1299.HK.EQUITY,0,0,-0.193591063558643,0.0704670929349968,0,0,0,0,0,0,0.199988619967272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995174177385481,0,0,0,0,0,0.102388920071845,0,0,0,0,0,0,0.085783088000555,0.0963947383256707,0,0.125533756313279,0.274590378731706,0.0865840333101295,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,8.67361737988404e-19,0.233771757444872,0.705452039955321,0,0,0,0,0,0,0,0.011775519527725,0,0,0,0.0464567223145763,0.0122352831760445,0,0,0.0661969193145657,0,0,0,0.0925319950966798,0,0,0,0,0,-0.114873943119115,0.0914177868990884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363321287928525
X5.HK.EQUITY,0,0,0,0,0,0.0736390564018111,0,0,0,0,0.0437194632415018,0,0,-0.0919944474588216,0,0,0,0,0,0.170397722741004,0,0,0,0.0933880515169961,0,0,0.181722852571833,0,0.0126393046104142,0,0,0,0,0,0,0,0,0.0127594467887309,0,0.309417180848743,0,0,0,0.211956171245036,0,0,0,0,0.116529568521765,0,0,0
X601166.CH.EQUITY,0,0,0.0163985863363773,0.219422218267115,0,0,-0.029189553350575,0,0,0,0,0.0766396069843949,0.100628642652501,0,0,0.0611624971817479,0,0,0,0,0,0,0,0,0.143084918671861,0,0,0.316456607854888,-3.46944695195361e-18,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141190353320685
