,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.138679644803196,0.500588985727638,0,0,0,0,0,0,0.00651168746842955,0.113445809101684,0,0,0.170050864997796,0,0,0,0.00828418345476564,0,0,0,0,0,0,0,0,0,0,0,0,0.00574993989430236,0,0,0,0,0,0,0,0,0,0,0,0.0408660642677472,0,0,0,0,0,0,0,0.0491490779226401
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.10205704016725,0.276404900783637,0,0,0,0,0,0,8.67361737988404e-19,0,0.333943584899782,0.0887338639383231,0,0.0795387155511229,0,0,0,0.0632030771340519,0,0,0,0,-0.035360546808835,0,0,0,0,0,0,0.0206449342964838,0,0,0.0499411941366387,0,0.000427957758132997,0,0,0,0,0,0.000936048617028537,0,0,0
X601939.CH.EQUITY,0.131482263741311,0,0,0.515860242489499,0.0865266627097851,0.0810649983741178,0,0,0,0.0718059035187777,0,0,0,0,0,0,0,-0.0470600935347868,0,0,0,0,0,0,0,0,0,0.178792239004833,0,-0.00772295302259548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00640041329431362,0,0.0471362274241368
X601288.CH.EQUITY,0,0,0.212353964102723,0,0,0,0,0,0.0119696975418589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273348088279737,0,0.195478269331232,0,0,0,0.0476110286656067,0,0,0,0,0,0,0,0,0,0,0.098340134415432,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0307132861262358,0,0,0.197208031081401,0,0.223569279287986,0,0,0,0,0.16507968950971,0,0,0,0,0,0.171246683407853,0,-0.238173698452274,0,0,0,0.0463408271784841,0,0,0,-0.0874833718775669,0,0,0,0,0,0.183418278496482,0,0,0,0,0.15230787701177,0,0,0,0,0,0,0,0,0.146116038037917,0,0
X601988.CH.EQUITY,0,0,0,0,0.359565786272628,0,0,0,0.124520811012242,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.00386398233032052,0,0,0,0,0,0.106574094666573,0,0,0,-0.245196934635302,0,0.0603083468237775,0.0588809684246215,0,0,0,0,0,0,0,0,0.0690281270272618,0,0,0,0,0,0,0,-0.144395667820736,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0143124599367606,0,0.132696984712962,0,-0.117183220457435,-0.0804824213257133,-0.0140838012684654,0.0535480315587513,0,-0.0160192610201833,0,0,0,0,0,-0.0239206455403104,0.667657676480747,0,-4.33680868994202e-19,0,0,0.0897483809861368,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.20670048008334,0,0.063494038572892,0,0,0,0.0500581869724797,0,0.0362324549069747
X1299.HK.EQUITY,0,0,0,0,0.274206543625982,0,0,0,0,0,0,0,0,0.0498278763386826,0,0,0.0874525555288192,0,0,0,0,0,0,0,0,0,0.074580359326305,0,0.229165876557014,0,0.000355785429052191,0.260144738913901,0,0,0.0111563330899248,0,0,0,0,0,0,0,0,0,-0.0723022890299272,0.0191171086192712,0,0,0,0,0
X601628.CH.EQUITY,0,0.167822504764492,0,0.0164880812610772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110741389678536,0,0,0,0,0,0,0,0.139810663063944,0,0,0,0,0,0,0,0,0,0,0,0.394340959723287,0,0,0.173365350662293,0,0.0210070516396745,0,0.0394943535451294,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.391958427036241,0,0,0,0,0,0,0,0,0,0.400687521447135,0,0,0,0,0,0,0,0.00893210782995167,0.0570891944212318,0.0849138094091573,0,0,0,0,0,0,0,-0.0114741702600854,0,0,0.0256046065477948,0,0,0,0,0,0.104001081861392,0,-0.0139795146794806,0.22725349986836,0,0,0,0,0,0.0693227120114177,0,0
X601166.CH.EQUITY,0.0416564658288103,0,0.212371617428224,0,0,0,0.0901459535907424,0,0,0.20242558969824,0,-0.00183196484634523,0.264943914498985,0,0,0.0627841100860621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.188733531977886,0,0,0.150667531726143,-0.458986276846127,0,0,0,0,0.0627554715863556,0,0,0,0,0,0,0,0,0,0,0.418409992411744,0,0,0.263694606750496,0.0540246644134672,0,0,0.0886402964784811,0,0,4.33680868994202e-19,0.0294064700709059,0.189665184012311,0.27249428165522,0,0,0,0,0,-0.541301103540169,0,0,0,0,0,0,0,0.249308810573443
