,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.192036117316861,0,0,0.320112453633834,0,0,0,0,0,0.299941950304297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.107403593707153,-0.149808362172067,0,0,0,0,0.0158144269352462,0,0,0,0,0,0,0,-0.142232676884316,0,-0.0632066317355874,0.0456177001923046,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.149144382869287,0,0.00812846156529257,0,0.00469102616548439,0,0,0.172294283787862,0,0.0474699880790019,0,0,0,0,0,0,0,0.0583978035573061,0,0,0,0,0.0629254836625457,0,0,0,0,0,0,0,0,0,0,0.554006576503656,0,0,0.0352844885985496,-0.0758638550602329,0,0,0,-0.0300757999974247,0,0,-0.0385076827419521
X601939.CH.EQUITY,0.197870624826294,0,0,0,0,0,0,0,0,0.0286145519391188,0,0,0,0,0,0,0,0,0,0.0720067792747058,0,0,0,0,0.0207717422978795,0,0,0,0,0,0,0,0,0,0.0414782198982219,0.353569932948036,0,0,0,0,0.0319673611326927,0,0,0,0.074760895650837,0,0,0,0,0,0
X601288.CH.EQUITY,-4.33680868994202e-19,0,0,0,0,0.250003625846544,0,0,0,0,0.00939004090447953,0,0.0378674236323677,0,0,0,0,0,0,0,0.0766932342951176,0,0,0,0,0.211482070857612,0,0,0,0,0,0,0,-0.0473962548107751,0,0,0,0.079095900344208,0,0.312454346538461,0,0.0669074193527114,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.0605814161388769,-0.112965043709908,0,0,0,0,0,0,0,0.057924128314633,0,0,0,0,0,0.264852489218904,0,0.340994564823317,0,0.16259568609431,0,0,0,0,0.32569518949956,0,-0.0653607781229084,0,-0.192046962162599,0,0,0,0,-0.152291720346634,0,0,0,0,0,0,0.0669743328918104,0,0.272841767926202,-0.147154534314953,0,0,0,-0.167973738635056,0,-0.0273055352991119,0
X601988.CH.EQUITY,0.178258189945811,0,0,0.408035741119483,0,0,0,0,0,0.111654310608363,0,0,0.157514215992563,0,0,0,0,0,0.0305616857908149,0,0,0,0,0,0,0,0,0.0154343114003955,0.0213156976913888,0,0,0,0,0,0,0.126360307132668,0,0,0,0,0,0,0,0,0,0,0,-0.00655044761845636,0,0,0.13764661842711
X600036.CH.EQUITY,0,0.64831267118198,0.0316344177996488,0,0,0,0,0,-0.00778175573851011,0.0380652248225604,0,0,-0.170660175967994,0,0,0,0,0,0.168465583333093,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0720025163902875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247210754974946,0,0,0.0571074745040918,0,0,-0.149705915047116,0,0.240208641512598
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136958612771867,0,0,0,0.36911480825604,0.103675328820069,0,0.202875732644171,0,0,0,0.0310049957410652,0,0.219120110563675,0,0,0,0,0,0,0,0,0.0523510889645656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102604452437287
X601628.CH.EQUITY,0,0.160896478917401,0,0,0,0,0,0,0,0,0,0,0.00327484354400473,0,0.274386505311352,0,0,0,0,0,0.00729773329691672,0,0,0.163264317619431,0,0,0,0,-0.0518108030517947,0,0,0,0,0,0,0,0,0.140087700272606,0,0.0989511325442908,0,0,0,0,0,0,0,0,0.109219926204995,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.325666809406693,0.245948071868236,0,0.0173176264167649,0,0,0,0,0,0.323915945553688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242399583276246,0,0,-0.0207014920574996,0,0.335046821023395,0,0,0,0,-0.139319777741223,0,-0.0916442133104009,0,0,0,0,0,0,0,-0.0441618237244598
