,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.114104947523562,0,0,0,0,0,-0.00170754695707508,0,0,0,0,0,0,0,0,0,0,0,0.134501777220053,0,0.376265768320375,-0.121030815196683,0,0.0668831102623406,0,0,0,0,0.232330948854087,0,0,0,0,0,0,-0.231394912071623,-0.0317574579985038,0,0,0,0,0,0,0,0,-0.132394687130098,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0907762432031885,0,0,0,0,0,0,0,0.0510446863725939,0,0,0,0,0.267752359384146,0,0,0,0,0,0,0,0,0.00977634554040037,0.164648848751776,0,0,0,0,0,0,0.257974931897473,0,0,0,0,0,0,0,0,0.0706890178813534,0,0,0,0,0,0.110232781386063
X601939.CH.EQUITY,0,0,0,0.802618845273538,0,0.0376040163729758,0.0468582454580246,0,0,0,0,0,0.034718186235869,0,0,0,0,0,0,0,0,0,0.0142005036496039,0,0,0,0,-8.67361737988404e-19,0.00569654342630567,0,0,0,0.0725550330045892,0,0,0,0,0,0,0,0,0,-0.00174387922559168,0,0,0,0,0,0.0111076650835753,0.0459609362841066,0,0.0103487715742996
X601288.CH.EQUITY,0,0,0.899478554456219,0,0,-0.0640923056528369,0,0,0,0,0,0,0,0,0,0.0282097115855238,0,0.144771238351051,0,0,0,0,0,0,0,0,-0.0921483902778203,0.0120153048850979,0,0,0.0133176638565054,0,0,0,0,0,0,0,0,-0.126921126336862,0,0,0,0,0,0,0,0,-0.0240465147054752,-4.33680868994202e-19,0,0
X601988.CH.EQUITY,0,0,0,0,0,-0.0847607521486691,0,0,0,0,0,0,1.06607976720722,0,0,0,0,0,0,-0.255052294183999,-0.157566299746703,0,0,0.15153163015515,0,0,0,0,0,-0.00355630916454327,0,-0.0377026180116001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300491485017188,0.128462674198103
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0642648509198986,0,0,0.762032132653363,0,0,0.0720810490147719,0,0,0,0,0,0,0,0.125696927036055,0,0,0,0,0,0,0,-0.0864159005368941,0.0644490293752356,0,0,0,0,0,0,-0.0122744442919864,-0.0285570742212981,0,0,0,0.0918687764006762,0,0,0.0230315960958792,0,0,0.0198822834090344,0,0.172283913694549
X600036.CH.EQUITY,0,0,0.340643525772132,0,0,-2.71050543121376e-20,0,0,0.0262933932930996,0,0,0,0,0,0,0.168591015546204,0,0,0,0.00106930097566326,0,0,0,0,0,0,0,0.13429990445159,-8.67361737988404e-19,0,0,0.289179293934469,0,0,0,0,0,0,0,0,0,0,0,0,0.0661721995963605,0,0.0329419560646211,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.153351962420356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.254805421577358,0,0,0,0.127177147614531,0.142845936989909,0,0.357726659556432,0,0,0,0,0,0,0,0,0,0,0.00166414061588854,0.105100146713339,0,0,0,0.444775481811829,0,0,0,-0.0959232740094924,0.0832931255007027
X5.HK.EQUITY,0,0,0,0,0,-0.00143467720393641,0,0,0,0,0,0,0,0,0,0,0.308274600774325,0,0,0,0,0.0148445401163905,0,-0.123217120434314,0,0.384016556108537,0,0.183927416698182,0.0858773842887944,0.0810750391184427,0,0,0,0,0,0,0,-0.0912535203591119,0,0,0,0,0.0380162386652718,-0.139371625471036,0.0734761106273367,0,0,0,0,0,0,-0.245175023757155
X388.HK.EQUITY,0,0,0,0,0,0.422239694121437,0,0,0,0,0,0,0,0,0,0,0.0305207810962234,0,-0.415867957434713,0,0,0.13020228088786,0,0,0,0,0.270142212090282,0,0,0,0,0,0,0,0,0.259008193887734,0,0,-0.0531354587973905,0,0,0,-0.263946768918197,0,0,0,0,0,0,0,0,-3.46944695195361e-18
