,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.267227719018515,0.132421161941949,0,0,0,0,0,0,0,0,0,0,0.183244128770474,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.311001432968577,0,0,0.905509524072265,0,0,-0.186698267890039,0,0,0,0,0,0,0,0,0,0.0213338203039592,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.243202799733625,0,0,-8.67361737988404e-19,0,0,0,0.127126070629031,0.106864167881741,0,0,0,0,0.111292489989043,0,0,0.0402498321349736,0,0,0,0,0,0,0,0,0,0,0,0,0.116064803391967,0.0761011368955284,0,0.265916781117536,0,0,0,0,0,0,0,0,0,0,0,-0.111849164817791
X601939.CH.EQUITY,0.288845547973719,0,0,0,0.115372982057087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160324000278371,0,0,0,-0.124847634709028,0,0,0,0,0.468703400337218,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.554001146571273,0.216763262556687,0,0.422846759901815,0,0,0,0.433916990803451,-0.149355397549526,0.138340101509042,0,0,0,0,0,0,-0.228776295705988,0,0,0,0,0,0,0,-0.609301154673013,0,0,0,0,0,0,0,0,0,0,0,0,0.119640090247513,0,0.161439790365359,0,0,-0.110435162954344,0
X5.HK.EQUITY,-0.0289437402287109,-0.0713928632663493,0,0,0,0.0733605926982119,0,0.00718751677686107,0,0,0,0,0,0,0.0908762049222879,0.0582370445219529,0,0,0,0.844835652897479,0,0,0,-0.190687930220695,0,0,0.0691963419283805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13715937601265,0,0,0,0,0.112809763943068,0,0,0
X601988.CH.EQUITY,-0.293313010341939,0,0,0,0.416314636909726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649996325037777,0,0,0,-0.0990625529643873,-0.0461839804500834,0,0,0,0,0,-0.446052672583031,0,0,0,0,0,0,0,0,0,0.147207104875176,0,0,0,0,0,0.0978512344390327,0,0,0,0,0
X600036.CH.EQUITY,0,0.279831658811191,-0.0695705665609074,0,-0.0776869327831249,0,0,0,0,0.685917669767728,0,0,0,0,0,0.105810823566871,0,0,0,0,0,0,-0.0732682575003267,0.314159283618696,0,0.128097969272208,0,0,0,0,0,0,0,-0.246633336300083,0,0,0,0,0,0,0,0,0.0060720665233417,0,0,-0.0803316245768588,0,0,0,0,0.0391560072469818
X1299.HK.EQUITY,0,0,0,0,0.278318753298518,0,0,0,0,0,0,-0.067021553361977,0,0,0,0,0.0211803427007008,0,0,0,0,0,0,0,0,0,0.169077808294642,0,0.101606732787735,0,0,0,0.117246927912369,0,0,0,-0.0140089795616373,0,0,0,0,0,-0.0987239825348672,0,0,0,0,0,0,0,-0.0161599853438056
X601628.CH.EQUITY,0,0.0579862731466454,0,0,0,0,0,0,0,0,0.158470991449842,0,0,0.385763266942613,0,0,0,-0.00786257555859081,0.000159942468286695,-0.0178288911316,0,0,0,0,0,0,0,0,0,0,-0.0662135821509572,0,0,0,0,0.109443443966127,0,0.135925786806528,0.065339307633707,0,0,0,0,0,0,0.0417305103788556,0,0,0,0,-0.10767100435713
X601328.CH.EQUITY,0,0,0.022523007077829,0.0313437875227764,0,0,0.538331648140311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014477858774497,0,0,0.249779078419292,0,0,0.226786788137035,0,0,0,0,0,0,0,-0.156533203111294,0,0,0,0,0,-0.0145956671070223,0.109765111572636,0,0,0,-0.144017670751216,0,0,0,-0.0420986349147577,-0.171842752328109
