,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0813885987429961,0.481207920661655,0,0,0,0,0,0,0.0497011054923533,0.130044864626597,0,0,0.195340697536322,-0.0193624327496678,0,0.0779186021671969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420787660702264,0,0,0,0,0,0,0,0,0,0,0,0.0398237116227412
X601318.CH.EQUITY,0,0,0,0,0,0,0.0347658443825478,0.0933178118865469,0.283179230112362,0,0,0,0,0,0,0.0588473838424328,0.337681739421577,0.0881665180311752,0,0,0,0.0655462856538685,0,0,0,0.0186999226547243,0,0,0,-0.0405584151988881,0,0,0,0.00117727478023032,0,0,0,0,0.0623919472179284,0,0,0,0.00109605483995694,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.116022143870005,0,0,0.522099648461372,0,0.0820867675549594,0,0,0,0,0.0317144446424977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848890329878666,0,-0.00855690593239275,0,0,0,0.0855670067141211,0,0,0,0,0,0,0,0,0,0,0,0,0.0296125004369186,0,0,-0.0187303546410472,0.0159609080416166
X601288.CH.EQUITY,0,0,0.273667750150594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176068509289674,0,0,0.0523169223812988,0,0,0.00692853979230495,0,0,0,0,0,0,0,0,0,0.0135293218023028,0.278953209496074,0,0,0,0,0,0,-1.73472347597681e-18,0,0
X5.HK.EQUITY,0,0,0.0740920100498468,0,0,0.19636879744805,0,0.238614847131655,0,0,0,0,0.272855118421076,0,0,0,0,0.116462039263274,0.0533479377286906,0.0109360558734939,0,-0.264724659584435,0,0,0,0.202587021657151,0,0,-0.172762445036591,0,0,0,0,0,0.135112604730969,0,0,0,0,0,0,0,0,0,0,0,0.104472308962031,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.218718509997345,0,0,0.0667800546001255,0,0.188628756471468,0,0,0,0.186703134505495,0,0,0,0,0,0,0,0,0,0,0.261398227765267,0.0154814461702726,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125310265242192,0,0,0.260899277834426,0,0,0,0,0,0,-0.0149756121435642,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0205304592866957,0,0,6.93889390390723e-18,0,-0.0343878474487007,0,0,0,0,0,0,0,0,0,0.631565635395583,0,0,0.138110356178973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137444223429153,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.251711195235018,0,0,0,0,0,0,0,0,0.0940773705539448,0,0,0,0,0,0.0431580731679822,0,0,0,0,0,0,0.0499494346000818,0,0.0833177743555819,0,0.0243898263776977,0.301020097879953,0,0,0.170821316144138,0,0,0,0,0,0,-0.0443993420377685,0,-0.0462028148221022,0,0.0800177264429701,0,0,0,0,0
X601628.CH.EQUITY,0,0.151839572531144,0,0.0399914639466444,0,0,0,0,0,0,0,0,0,0,0,0,0.0648912648724906,0,0,0,0,0,0,0,0.146327288844857,0,0,0,0,0,0,0,0,0,0,0,0,0.370628492219477,0,0,0.129700763379638,0.0606064142120996,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.238741329440079,0,0,0,0,0,0.0267646576972884,0,0,0,0,0,0.314132053077754,0,0,0,0,0,0,0,0,0,0.365602447322031,0,0,0,0,0,0,0,0,0,0,0.0158593574342953,-0.00188349237623705,0,0,0,3.46944695195361e-18,0,0,0.0643217491741077,0,0,0,0,0.0824572171450631,0,0,-0.0117149479379233,0
