,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0145763641966502,-0.00657125252315071,0.239026471816924,0,0,0,0,0,0,0,0,0,0,-0.132033762637012,0,0,0,-0.199294206351186,0,0,0,0,0,-0.33428427372911,0,0,0,0.0744814093015657,0,0.758696012209166,-0.188063475488149,0.188617714351469,0,0,0,0,0,0,-0.0246502514207918,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.055316842016165,0,0.030282425422901,0,0,0,0,0.0850714916968643,0,0,0,0,0,0,0,0,0,0,0.207773028470637,0,0,0,0,0,0,0.0261369949551593,0,0,0,0,0,0.348416338295539,0,0,0,0,0.208202965044602,0,0,0,-0.00950818731893225,0,0,0.0284463091591179,-0.0479182416963957
X601939.CH.EQUITY,0.273332480466205,0,0,0,0,0.0393954255143711,0,0,0,0.0217561531717838,0,0,0,0,0,0,0,0.0839869645515121,0,0,0.0297053900307819,0,0,0.0234101527300524,0,0,0,0,0.143448840913901,0.107227526904458,0,3.46944695195361e-18,0,-0.114583978672524,0,0,0,0,0.415760294320923,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.10646161923232
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0118278610922053,-0.237919712082927,0.196210134628339,0,0.392132798318845,0,0,0,0.208547452669277,0.0169068077485547,0,0,0,0,0,-0.0440351601025351,0,0,0,0,0,0,0,0,0,0,-0.535579463333393,0,0,0,0,0,0,0,0,0.271865727689634,0,0,0.0259327193822598,0,0.0884940510111217,0,0,-0.100081510202605,0
X5.HK.EQUITY,-0.140570218608197,-0.0464588208097846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394391194175734,0,0,0.227776074673096,0,0,0.208534971725038,0,0.269660720093825,0,0,0,0,0,0,0,-0.0989681371048321,0,-0.0313656016582856,0,0,0,0,0,0,-0.145185059764782,0,0.160103719951834,0,0,0,-0.0286910150849331,0,0,0,0
X601988.CH.EQUITY,0,0,0.0186375249745911,0.0762117858068383,0.0926777784501289,0,0,0,0,0,0.255734931360354,0,0,0,0,0,0.063614787189127,0.0893786316198538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0782228564805966,0,0.156906214065623,0,0,0,0,0.257730686207486,0.194034385582778,0,0,0,0,-0.00732631889612884,0.0190183305758052
X600036.CH.EQUITY,0,0.105104247878433,-0.0929230251623332,0,0,0,0,0,-0.056253818602004,0.235178349744145,0,0.389812210976185,0,0,0,0,0,0,0,0,-0.0612235178634215,0.250023158239322,0,0,0,0,0,0.0698915586090736,0,0,0,0.450026426870298,0,-0.260369374488711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208591325555062,0,0
X1299.HK.EQUITY,0,0.0873953959422635,0,0,0.0717983697782413,0,0,0,0.0751741826260565,0,0,0,0,0.0257733716138683,0.179003813031507,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.111019772905306,0,0,0,0.0263994014930828,0.249375989152274,0,0,0,0,0,0,0,0,-0.0468697823740125,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0495288307553089,0.0377933187463702,0.0582324390635315,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.337193927780991,0,0,0,0,0,0,0.062295524183346,0,0,0,0,0,0,0,0,0,0,-0.0620227196942977,0,0,0,0.073067110602802,0,0.2215651994296,0.100299823266592,-0.0635313694258613,0,0,0,0,0,0,0,0,0,0,-0.104172712562642
X601328.CH.EQUITY,0,0,0,0,0,0,0.314734716214343,0,0,0,0,0.178157105656138,0,0,0,0,0,0,0,0,0.0456899512126483,0.260788464517346,0,0,0,0.0994412412427099,0,0,0,0,0,0,0,0,0,0,-0.168333534419211,0,0,0,0,0,0,0.0880415922889868,0,0,0,0,0,0,-0.217887435943738
