,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.141562047352132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139429310460948,0,0.0177608340306207,0.417771211896794,0,0.454661033254342,-0.220361553202758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603824177814304
X601318.CH.EQUITY,0,0,0,0.0160237261461781,0,0,0,0,0,-0.0184478643750136,0,0,0.0184391689748458,0,0.0289785259380249,0,0,0,0.520695026005113,0,0,0,0,0,0,0,0,0,0.125892978672027,0,0,0,0,0,0,0.0689854670231589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0629900886648197,0,0.787625611190631,0,0,0,0.00772950432033777,0,0.0471048120184489,0.0514308945371719,0,-0.0553876621584617,0.0122311168761224,0,0,0.0772919237300554,0,0,0,0,0.000928426113113194,0,0,0.0343961736161519,0,0,0,0,0,0,0,0,0,0,0,0,0.0830997514605896,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00545961826284334
X601288.CH.EQUITY,0,0,0.895967875605574,0,-0.025995643666356,0,0,-0.0856608857920659,0,0.0139276684452728,0,0,0,0,0,0.0144790916728708,0,0,0,0,0,0,0,0.123630198415968,0.0988701933976571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185182594249687,-0.133752731285314,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0212594177820043,0.321908485951671,0,0.249425981745085,0,0,0,0,0,0,0.459563761991592,0,0,-1.73472347597681e-18,0,0,-0.0513329987092364,0,-5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119958123727562,0,0,0,0,0,0.0154825399721318
X600036.CH.EQUITY,0,0,0,0.3307032121847,0,0,0,0,0.0476154599149596,0,0,0,0,0,0,0,0.0680484347476945,0.110228661491869,0,0,0,0,0,0,0.0737393349781527,0,0,0,0.144489056899373,0.120393255629863,0,0,0.0161562355769112,0,0,0,0,0,0,0,0,0,0,0,0.0512037780638954,0,0,0.0356097466847274,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0683065868058158,0,0,0,0,-0.0528597508178396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710696211404439,0,0,0,0,0.00186130736986041,0,0,0,0,-0.0220180044748753,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-0.133614833483405,0,0.998805047313165,1.73472347597681e-18,0,0.000564795506546578
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.193147683387356,0,0,0,0,0,0.0170513940127741,0,0,0,0,0,0,0.321277706813576,0,0,0,0,0.074680557108051,0,0,0,0,0.137428277043801,0,0,0,0.0306832591271693,0,0,0,0,0.0938038088853329,0,0.0451951450633491,0,-0.0302054704010999,0,0,0,0.206335197237315,-0.0359361521355574,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15155559818819,0,0,0,0,0,0,0.171011540985737,0,0.352291037081742,0,0,0,0,0,0,0,0,0,0,0.00608784414556235,-0.0296432782620163,0,0,0,0.288506896736923,0.127575890992511,0,0,0,0,-0.316596429991198,0.00553485584859786,5.42101086242752e-20
X388.HK.EQUITY,0,0,0,0,0.220894167204444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126852752160306,0,0.254845086920361,0,0,0,0.114412665308312,-0.00871756221513761,0,0,0,0,0.129476442088731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181351975613852,0,0,0,0.28391817688215
