,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.131975134567606,0,0.126686474648041,0.0496788529008154,0,0,0,0,0,0,0,-0.103385209376378,0,0,0,0,0,0,0,0,0,0.546735201013052,0,0.456457240357755,0,0.228507726292089,0,0,0,-0.107370424731342,0,0,0,0,-0.190959381617473,0,0,-0.131977490404109,-0.00526981576380281,0,-0.727163654780179,0,0,0.104248654015741,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.360471698857243,0,0,0,0,0.0294151068980131,0,0,0,0,0.245149430046407,-0.132124627041939,0,-0.0151462341140365,0,0.017971288500459,0,0,0,0,0,0,0.0617542307485347,0,0,-0.183525549212376,0,0,0,0,0,0,0,0,0,0,0,0.0757743464722406,0,0,0,0,0,0.308847966657039,0,0.138754489908633,0,0,0.123473234538474
X601318.CH.EQUITY,0,0,0,0,0.119152426682393,0.248616498450174,0,0,0,0,0,0,0,0,0,0,0,0.121810150922925,0,0,0,0.126345111530014,0,0,0,0,0.00460372462340809,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.297193442343072,0,0,0.121650315249654,0,0,0,0
X601288.CH.EQUITY,0,0.410655076388034,0,0,0.123793091862318,0,0,0,0,0,0,0.0452952284448187,0.249222888689297,0,0,0,0,0,0,0,0.140856462329068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165953078486054,0,0,0,0,0,0,0,-0.0718011091824696,0,0,0,-0.101582357938232,-0.0780709501713974,0,0,0
X601988.CH.EQUITY,0,0,0,0.490612089011769,0,0,0,0,0,0.172920481286638,0,0,0,0,0,0.289614181298596,0,0,0.215371887642654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.496815259814891,0,0,0,0,0.166378608703776,0,0,0,0,0,0,0,0.33210738984601
X600036.CH.EQUITY,0,0.0416198750963518,0,0.0705720654189179,0,0,0.00693916380925713,0.0504801457112519,0,0,0,0,0,0,0,0,0,0,0.0204657885437775,0,0,0.175412551509734,0.0636054760045015,0,0,0,0,0,0,0,0,0,0.0600960242489645,0,0,0,0,0,0,0,0,0.138223979434615,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0764890853821465,0,0,0.0566991333556285,0,0,0.21973016888772,0.0347710089523903,0,0,0,0.0473528023974906,0,0,0,0,0,0,0.0692982810237311,0,0,0,0,0.0833512332411045,0,0,0,0,0,0.144269236592331,0.242532656263061,0,0,0,0,0,0,0.134797607292808,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.35023074437622,0.0566638936311347,0,0,0,-0.114268504032648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761603524731046,-0.0259530999571172,0,0,0,0,0,0,0,0,0.0879008844819577,0,0,0,0,0,0.150283928108693,0.0794502213483799,0,0,0.0619063863788014,0,0,0,0,0,0,0.0193120278449883
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111061984397224,-0.152675140407452,0,0,0,0,-0.380341223136981,0,0.749515273685209,0.0557582618618991,0.519690807080837,0,0,0,0.0305549216917534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146565984571187,0.100772467427496,0,0,0
X601658.CH.Equity,0,0.0971455001525225,0,0.144224672094368,0,0,0,0,0,0,-0.0497187023729973,0,0,0,0,0,0,-0.124142271026464,0.129590352937551,0.288499846382374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852228135356886,0.289050998151312,0,-0.0224938717256625,0,-0.0230583837119815,0,0,0,0.0419269396976511,0,0,0,0
