,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146317853979273,0,1.73472347597681e-18,0,0,0,0,0.403177726634026,0,0,0,0,0,0,0,0,-0.144874029792343,0,-0.0221250592663505,0,0,0,0,0.036800728850174,0,0,0,0,0.658652221923857,0,0,0,0,0,0,0,-0.00838938143801976,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.110974607987232,0,0,0,0,0,0,0,0.0700228780896935,0,0.0833504404444293,0.0273180544733444,0.0545987040113604,0,0,0,0,0,0.0944421966961518,0.0402360172192635,0,0,0,0,0,0,0,0.277749094933633,0,0,0,0,0.212671425160689,0.0164075003084852,0,0,0.0373447539612465,0,0,0,0,0,-0.0301516890279591
X601939.CH.EQUITY,0.283274176644015,0,0,0,0,0,0,0,0,0.0389876447496407,0,0,0,0,0,-0.0166916714362748,0,0,0,0,0,0,0.0756090054252935,0,0,-0.084735843330341,-0.0642493559468007,0,0,0,0,0,0,0,0,0,0,0.0257086429083508,0,0.546319864995706,0,0,0,0,0,0,0,0,0,0,0.116586343101091
X601288.CH.EQUITY,0,0,0,0,-0.282978552610763,0,-0.257160398540076,0,0,0,0.840211761312569,0,0,0,0,0,0,0,0,-0.155387165074924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113644434432159,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.13339276899699,0.374189248366029,0,0,0,0.0471902161885056,0,0,0.187884342125019,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0259033834884093,0,0,0.0343905491229792,0,-0.122562591193009,0,0,0,0,0,0,0,0,0,0.0785381415972045,0,0,0.13126884588075,0,0,0,0,-0.184123637793649,0,0,0.135645497499843,0,0
X601988.CH.EQUITY,0,0,0,0,0.373763723944679,0,0,0,0,0,0,0,0,0.11364148548804,0,0,0,0.142890524791287,0,-0.0695530486127374,-0.0249219071401332,0,0,0,0.21766077529497,0,0,0,0,0,-0.334737346817349,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.00358129203572786,0,0,0,0,-0.0415706243763213,0
X1299.HK.EQUITY,0,0,0,0,0.260577646699403,0,0,0,0,0,0,0,0,0,0,0,0,0.140094483140648,0,0,0.0213349522763673,0,0,0,0,0,0.0887205982378302,0.130740832933097,0,0.0897635426272113,0,0,0,0,0,0,0,0.321430366654856,0,0,0,0,0,-0.133745354642783,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.135933827283332,0,0,0,0,0,0,0,0.484919807135456,0,0,0,0,0,0,0,0,0,0.229636198131108,0,0,0,0,0,0,0,-0.00207037968902722,0.126575985026887,0,0,0,0,-0.211120221237569,0,0,-0.157141020633802,0,-6.93889390390723e-18,0,-0.00861266201371846,0,0,0.211356714026608,0,-0.0260022884266731,0,0,0,0,0
X601628.CH.EQUITY,0,0.264905334560667,0.0140786435406473,0.0537445293285697,-0.0873929146856502,0,0,0,0,0,0,0,-0.00959728098163481,0,0,0,0.234337844833672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156625348651078,0.0774310942344895,0,0,0,0,0,0.150036621615482,0,0.0796760532692825,0.105626765140547,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0135885425448933,0,0,0,0.680487530916608,0,0,0,0,0,0,0,0,0,0,0,0.227667394386882,0,0,0,0,0,0.104978255258557,0,0,0,0,0,0,0,0,0,0,0,-0.0898900128071741,0,0,0,0,0,0.131034947069812,0,-0.135562874267438,0,-0.129772233763465,0,-0.025446287493574,-0.0399154506951933
