,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0711768191503348,0,0.0399695056933402,0,0,0,-0.0263320557040056,0,0,0,0.469588427213184,0,0,0,-0.132109648029903,0,0,0,0,0,0,0,0,0,0,0,0,0.0580298815154928,0,0,0,0,0,0,0,0.049968662018312,0,0.0646836769289978,0,0,0,0.218239779629924,0,0,0,0,0.0229951258510009,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0151867645782515,0,0.0163147217957091,0,0,0.112768913048034,0,0.179759955717529,0,0,-0.0579268079427839,0.20192994078969,0.0571476604691595,0,0,0,0,0,0,-0.138890468858499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18617015212721,0,0,-0.288782470702348,0.386678908306456,0,0.260555240030934,0,0.241834376240929,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.250589913684925,0,0,0.32296719608573,-0.0299128146971198,0.106817473839575,0,-0.0772551154733363,0,0,0,0,0,0,0.0691930101587225,0.0606645102468801,0,0,0,0,0,0,0.11705794451953,0,0,-0.0325251137623567,0,0,0,0,0,0,0,0,0,0,0,0,-0.100966890294724,0.382551476074986,0,0,0,0,0,0,0,-0.00157664393024447,0,0,0,0
X601288.CH.EQUITY,0.384839988947711,0,0.0896408891797029,0,0.10151081677983,0.165073527442301,0,0,0.00484416950106544,0,0,0,0,0,0,-0.132473720206768,0.0492137679786154,0,0,0,0,0,0,0,0,0,0.0248954761309067,0,0,0,0,0,0,0,0,0,0,0,0,0.29542329284766,0,0,0,0,0,0,0,0,0.0438396786113785,0,0,0
X5.HK.EQUITY,0,0,0.0507534552558126,0.221822248606824,0,0.139214581664034,0,-0.361573327042389,0,0,0,0,0.090887495364217,0,0,0,0,0,-0.00801020035122465,0,0,0.392942884516832,0,0,0,0.458726627258266,0,0,0,0,0,0,0.0910374790734722,0,0,0,0,0,0,0,0,0,0.00102471607502082,-0.0843111216938026,0,0,0,0.152703386364393,-0.0605294479890947,0,0,0
X601988.CH.EQUITY,0.226776421889645,0.101845708116342,0.351093910729213,0,0,0,0,0,0.139378764824549,0,0,0.151077017085194,0,-0.152251294152867,0,0,0,0,-0.114190064594603,0,0,0,0,0.163240408372392,0,0,0.104008063363541,0,0,0,0,0,0,0.0309748188159211,0,0,0,0,0,0,0,0,0,0,0.0410266060386172,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0811112215267141,-0.0807305090467121,0,0.13959592340574,0,-0.0469448825120527,0.0295547255739011,0,0.37356268455029,0,0.237540886005345,0,0,0,0,0,0,0.0483779133646518,0,0,0,0,0,0,0,0,0,0.0369130474035799,0.00610344143524596,0,0,0,0.0601942687180229,0.079143642686554,0,0,0,0.127150384566498,0,0,0,0,0,0,0.0516449538830893,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0545825266754415,0,0,-0.00296923549669304,0,1.73472347597681e-18,0,0,0,0.339851093581127,0,0.10608263210775,0,0,0,0,0.153517724010086,0,0,0,0,0,0,0,0,0,0,0,0.0162829620414353,0,0,0,0.139864292160216,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.010876993925761,0.264746071459621,0,0,0.0371207669942639,0.0987279288885517,0,0,0,0,0.0351135244905544,0,0,0,0,0,0,0,0.108676718465627,0,0,-0.106119388677128,0,0,0,0,0.1035188681418,0,0,0,-0.105514068044689,0,0,0,0,0,0,0,-0.188563726007594,0,0,0,0.17692024628049,0,0,0,0,0.121029074842195,0,0,0,0.0937403142875547
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159446670107411,0,0,0.00992564376346789,0,0,0,0,0,0.214664113460655,0,0,0,0,0,0.0963305131364452,-0.015187271626874,0,0,-0.0364040202078895,0.285811717731127,0,0,0,0,-0.182686550201515,0,0,0,0,0.0381402010508075,0,0,0,-0.15042517423728,0,0
