,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,2.77555756156289e-17,0,0.436668582947069,0,0,0,0,0,0,0,0,0,0,0.334709665577313,0,0,0,0,0,-0.0398915897265672,0,0,0,0,0,0,0,0,0.0648712295095015,0,0,0,0,0,0,0.00484094635004617,0,0,0,0,0,0,0,0,0.00986042083756126,0,0.127458869028855,0,0,0,0
X601939.CH.EQUITY,0.280458052732523,0,0,0,0,0,0,0,0,0,0,0.136522363160641,0,0.383890141734876,0,0,0,0,0.0691602004482441,0,0,0,0,0,0,0,0,0,0,0.0173194243650997,0,0,0,0,0.0749456332172787,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.203574170514441,0,0.0843632843223256,0,0,0,0,0,0,0,0,0,0,0.29894509879545,0.0695380037543837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146902575110504,0,0,0,0,0,8.67361737988404e-19,0,0.121915453030217,0,0,0,0,0,0,0,0,0.0214649752902521,0,0
X601288.CH.EQUITY,0.320675161209234,0.124950200559582,0,0,0.381543131319418,0,0,0,0,0,0,0,0,0,0.096409130727926,0.0372861612462505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.177199141950008,0,0,0,0,0,0,0.238525313486026,0,0,0.0933816730944523,0,0,0,0,0,0,0,0.0235221309534051,0,0,0,0.097956550973637,0,0,0.0741679537433931,0,0,0,0,0.101498925566741,0,0,0,0,0,0,0,0.0650683747950991,0,0,0,0.0492377754630906,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0.276052607723148,0,0,0.180328593795163,0,0,0,0,0.599400482208851,0,0,0,0,0.56953423413602,0,-0.641272850043846,0,0,0,0.116409802270984,0,0,0,0,0,0,0,0,0,0,0.0168781870315009,0,0,0,0,0,0,0,-0.201214653757602,-0.0420627185255625
X600036.CH.EQUITY,0.0978083196798581,0,0,0.0547784864342118,0,0,0,0.0180697871811621,0,0,0,0.0218151423754553,0,3.46944695195361e-18,0,0,0,0,0.0137070078003058,0.0800181850823569,0,0,0,0,0,0,0,0,0,0,0.0978520796501804,0.114020699316095,0,0,0,0.203229894598388,0.0268266170187096,0,0,0,0,0,0,0,0,0,0,0,0,0.0799828213478842,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0356857180890173,0,0,0,0,0,0,0,0,0,0.0258083826218201,0,0,0,0,0.168475739195032,0,0,0.0552010720845634,0,0.0967107846532214,0,0.107512069920329,0,0,0,0,0,0,0,0.0541943148824125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369877234924392,0,0
X601628.CH.EQUITY,0,0.262605382666987,0,0.145961039990691,0,0,0,-2.16840434497101e-19,0,-0.00772057422804394,0,0,0,0,0,0,0.036396155218255,0,0,0.0677907585704347,0.0247619863284406,0,0,0,0,0,0,0,0,0,0.251504478607408,0,0,0,0.00340925121457894,0,0,0,0,0,0,0,0,0.0648896928809031,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0978860064004716,0,0,0,0,0,0.19310716148343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741224378266602,0,0,0,0.0881888006701924,0.261462547504135,-0.26657963113727,0,0,0,0,0.378101985751317,-0.0213178196740396,0,0,0,0,1.10212605467768,0,0,-0.492657570544546,0,0
