,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0753366198475945,0,0.658635927678407,0,0,0,0,-0.0220830103481702,0,0,0,0,0,0,0.00149866073554087,0,0.117516657579116,0,-0.00107512085596508,0,0.0141748219440166,0.0220454686452574,0,0,0,0,0,0.0513133499337859,-0.0168803359328558,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.0237644637221287,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0156800982331073,0,0,0,0.182861245948314,0,0,0,0,0,0.334235737637089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187958128806862,0,0,0.0905867876461676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144207134719336
X601939.CH.EQUITY,0,0,0,0,0.266996935524664,0,0,0,0,0.0770135349357174,0.120864439986122,0,0,0.00817785840964604,-0.0120625436806103,0.198999813178671,0,0,0.240629706474464,0,0,0,0,0,0,0,0.0292573311922472,0,0,0,0,0,0,0,0,0,0,0,0.103451577119652,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0186970576654148,0,0,0.252983369864324,0,0,0,0,0.165639747669315,0,0,0,0.23247096466368,0,0,0,0,0,0,0,0,0,0.0247749690517991,0,0,0,0.192822456642684,0,-3.46944695195361e-18,0,0,0,0,0,0.0862783056617275,0,0,0.104486263667103,0,0,0,0,0
X601288.CH.EQUITY,0.446843910000917,0.0103389575886658,0,0,0,0,0,-0.0244406556876027,0,0,0,0,0,0.0633358416908165,0,0,0.076146774162944,0,0,0.0932534150407636,0,0,0,0,0,0,0,0,0.0702511489779819,0,0,0,-0.0386662631245297,0,0,0,0,0,0,0,0,0.0564709724086013,-0.0558019855271194,0,0,0,0,0,0,0.271455577712098,0,-0.050504613615885
X600036.CH.EQUITY,0.0113750252049153,0.205203740409628,0,0,0,0,0,0,0,0,0,0,0,0.276444831324621,0,0,0,0,0.100034674942646,0,0,0,0,0,0.00780887779885845,0.24871757671167,0,0.0873975753656615,0,0.0733102979224221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.263508897621361,0,0,0,0,0,0,0,0,0,-0.0550504422651673,0,0,0,0,0,0,0,0,0.0481228455706194,0,0,-0.0927163319123595,-0.0285179481479759,0,1.73472347597681e-18,0,-0.165553763504015,0,0,-0.0226644146633264,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.016875045791656,0,0.0326896676288618,-0.0130938705245733,0.948347592570851,0,0.0923380150307112,0
X1299.HK.EQUITY,0,0,-0.14080074122192,0,0,0,0,0,0,0.310238936303793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105502733036906,0,0.223657454067848,0.0376277289680958,0,0,0,0,0,0,0,0,0.0887181123248038,0.153916570305787,0,0,0,0.0159200307340601,0.102255489820869,0,0.0816377285925684,0,0,0.0305046678606129,0,0,0,-0.0596629947854232
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.229910270560933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543486211674611,0,0,0.35621086133417,0.13700045817038,0,0,0,0,0,0,0.0677729993263912,0,0,0,0,0.167086879105446,0,0.341271443990235,0,0,0,0,-0.0660022481781183,0,0
X388.HK.EQUITY,0,0.070350726211929,0,0.130527231408824,0,0,0,0.0288008304449951,0,0,0,0,0,0,0,0,0,0,0,0,0.060554585049806,0.050271216471003,0,0,0,0,0,0,0,0,0.151959617693647,0,0,0,0,0,0.0608118391340933,0.134103052599751,0.244147402912374,0,-0.234856043838138,0,0,0,0.0176725427543925,0,0.316820738388727,0,0,0,0,0
X601658.CH.Equity,0.136041990804163,0.0744673269238182,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.233238443622987,0,0,0,0,0.0502262893816086,0,0,0,0,0,0,0,0.118281260011854,0,0.0519476232727904,0,0,0,0,0,0.126593796597936,0,0.0808484504095437,0,0,0.0876845968469063,0,0,-0.130877783266667,0,0,0.0526441705436341,0,0,0,0,-0.014868590482482,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.127519457211408,0,0,0,0,0,0,0.0669892459758597,0,0,0,0.0175412099050963,0,0,0,0,0.361515891857931,0,0.0690031963655588,0,0,0.0251732366644826,0,0,0,0,0,0,0,0,0.0455854573596296,0,0,0,0,0,0,0.0222746128090759,0,0,0,0,0.219748909538567,-4.33680868994202e-19,0,0
X600030.CH.EQUITY,0,0,0.0124449626234226,0,0,0,0,0,0,0,0,0,0,0,0.453069975133238,0,0,0,0.0107193119990033,0.136988111522137,-0.018305925185316,0,0,0,0,0,0,0,0,0,0,0,0.000812448737101554,0.21354563672415,0,0,0,0,0.191136909706579,0,0,0,0,0,0,0,-0.056059807002495,0.118855361582627,0,0,0,0
X000001.CH.EQUITY,0,0,0.00940734789975943,0,0.193431701600081,0.56905711930061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126610491632513,0,0,0.105515363513614,0.10860768278246,0,-0.0437155660109819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.250314461570898,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.729106926382692,0,0,0.0572734037003301,0,0,0,-0.0633290947807665,0,0,0,0,0.0573338765946168,0,0,-0.0265675689586564,0,0,0,0,0.0391183628159592,0,0,0,-0.0159803906086224,0,0.105104640444018,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,-0.28898801195515,0,0,0,0,0.220470917085755,0,0,0.171234851937593,0,0,0.361544892707381,0,0,0,0,0,0.10725956118386,0,0,0,0,0,0,0,0,-0.080752469926236,-0.082190654066917,0.0952727506737738,0,0,0,0.055655515128146,0,0,0,0,0,0,0,0,0.0702387675144164,0,0,0,0,0,0,0
