,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,-0.00707095844774639,0.685165512992664,0,0.0658957110630487,0,0,0,0,0,0,0,0,0,0.0643150910271557,0,0.14065941490886,0,0,0,0,0,0,0,0.00430888204256713,0,0,0,0,0,0,0.157362402131256,0,0,0,0,0,0,0,0.0142336771065419,0,0.0111169445457078,0,0,0,0,0,0,0.0362369245060687,-0.047931036319743
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.00408499991380197,-0.0140831508321415,0,0,0,0,0,0.168783967953149,0,3.46944695195361e-18,0,0.315880670226841,0,0,0,0,0,0,0,0,0.0123500826369933,0,0,0,0,0,0,0.215233975608635,0,0.0637846488040659,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.156223242010857
X601939.CH.EQUITY,0,0,0,0,0.71199080852129,0,0,0,0,0.050355928628915,0,0.202367302111294,0,-0.0267832923808401,0.0669025894007079,0,0,0,0.0597537211631178,0,0,0,0,0.014049418138429,0,0,0,0,0.00134944804483025,0,0,0,0,0,0,0,0,0,0,0,0,0.0553963813109219,0,0,0,0,0.00509525287047289,0,0.00337675048874172,0,0,-0.0540290578293187
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.131026031725528,0.165298288873917,0,0,0,0,0,0,0.300785631068468,0,0,0,0,0.18052194089302,0.0934606733186955,0,0,0,0,0,0,0,0,0.118649783165826,0.0182219242088681,0.0715227518606283,0,0,0,0,0,0,0,0,0,0,0,0.13913312157305,0,0,0,0,0
X601288.CH.EQUITY,0.179119349025418,0,0.82952658960786,0,0,0,0,-0.0801922358662305,0,0,0,0,0,0,0,0,0.0189478842234493,0,0,0,0.02054817487985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650903263349197,0,0,0,-0.0206226577076434,0.0214402822647947,-0.168719387765908,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.211329738686615,0.0796343317781334,0,0.155352308029562,0,0,0.0957211108749415,0,0,0,0,0,0,0,0.26415696830864,0,0,0.0864313775632897,0,0,0,0,0,0,0.212830893306376,0,0,0.0588398008480848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,-0.0510387485947348,0,0.177935383036222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110098884235661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124519161472544,0,-0.0587955276619263,0,0,0.925435774545507,0,0.0138331424535002,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.177347696367577,0,0,0,0.0546537098335926,0,0,0,0,0,0,0,0.270456572107067,0,0,0,0.116773023464846,0,0,0,-0.0702803827314777,0.0986948017804193,0,0,0,0,0,0.0778791440878692,0,0,0,0,0,0,0.121273163863556,0,0,0,0,0,0,-0.0320483974198291,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.251889593736915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637581419343067,0.365406209746375,0.0234422523447781,0.112886363961833,0,0,0,0,-0.0650940679909958,0,0,0.0846748278554432,0,0,0,0,0.147037661028851,0.323223606095854,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0.174631374478928,0,0,0,0.101175583997814,0,0,0,0,0,0,0,0.078224779324394,0.0300383140591237,0,0,0,0.0995289085228375,0.356079552873214,0.108353232669546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104352071648333,0.203721501110514,0,-0.312203773941925,0,0,0,0,0,0.038094547259904,0,0,0,0,0.0518399554560719
