,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.221900991064869,0,0,0,0,0.384146103321984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265336042383006,0,0,0,0,0.0179380352324547,0,0,0.0897738744882527,0,0.0659387529413401,0,0,0,0,0,0,0,0,0.0131875355056009,-0.00786789308090081,0,0,0,-0.0983797330487847,0,0,0
X601318.CH.EQUITY,0,0,0.0284425933179624,0,0,0,0,0,0.207514160550213,0,-1.73472347597681e-18,0,0.19336746127981,0,0.098003801750312,0,0.0830751528715677,0,0,0,0,0.135173764123249,0,0,0,0,0,0.174151183305468,0,0.181514782109352,-0.0307061580733827,0.0561192761513369,0,0,0,0,0,0,0.0457239154662327,0,0,0,0,0,0,-0.118843172480122,0.0493921057685517,0.0765448061811559,0,0,0,0
X601939.CH.EQUITY,0.510669052977709,0.0578667353731498,0,1.73472347597681e-18,0,0,0,0,0.150485103700325,0,0,0,0,0,0,1.73472347597681e-18,0,0.0749038589056877,0.117489156539599,0,0,0,0,0,0,0,0,0.341938875566397,0,0,0,0,0.137574511412783,0,0,0,0,0,0,0,0,-0.138920303134762,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0230346532964221,0.000209506136266496,0,0,0.206532209932031,0,0,0,0,-0.12753586613651,0,-0.0355041699240163,0.109191447727915,0,0,0.134739788359996,0,0,0.148709706982984,0,0,0,0,0,0,0.421995232528597,0,0.042658719631873,0,0,0,0,0,0,0,0,0,0,-0.0678825452315923,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0699223882191526,0,0.263196208825812,0,-0.0741776078216948,-0.0388662347602997,0,0,0,0,0,0,0,0,0,0,0.173677146929805,3.46944695195361e-18,0,0,0,0.025069465133453,0,0,0,0.160165038557431,0,0.040875640294583,0,0,0,0,0,0,0.202431119860938,0,0,0.223395891699036,0,0,0,0.151571246063088,0,0,0
X601288.CH.EQUITY,0,0,0.102518233344718,0,0,0,0,0.536205425258542,0,-0.0671494039670663,0,0.0240809790454272,0,0,0,0,0,0,0.0086389889502047,0,0,0,0,0.137487378481603,0.0609271818704138,0,0,0.135274882212375,0,0,0,0,0.0174231413366047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156595106617396,0,0.00305835153579624,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991158302556529,0,0,0,0,0,0,0,0,-0.152095130609734,0,0,0,0,0,0,0,0,0,0,0,0,0.429662722282299,0,0,0,0,0.0718174736686167,0,0,0,0,0,0,0,0,0,-0.0169360557811355,0
X601988.CH.EQUITY,0,0,0,0,0,0.404061993781225,0.0845762047375953,0,0,0,0,0.0439669830780239,0,0,0,0,0,0.148110992933889,0,0,0,0,0,0,0.103305411429075,0,0,0,0,0,0,0,-0.172390924533552,0,0.0442008631218674,0,0,0,0,0,0,0.0689364863441288,0.133108616624049,0,0,-0.0153370568725116,0,0,0,0,0,-0.0856597515031005
X5.HK.EQUITY,0,0.153185406916187,0.0855555629603612,0,0,0,0,0,0,-0.137684107072919,0.0361126429455941,0,0,0,0,0,0,0,0,0,0,0,0,0.117529654036283,0,0,0.166356569152401,0,0.0999115608852207,0,0,0,0,0,0,0,0,0,0.291585116935021,0.0462768301060556,0,0,0,0,0,0,0,0.0361502621737885,0,0,0,-0.0958845333284354
X388.HK.EQUITY,0,0,0,-0.169710030398147,0,0.0470191283460838,-0.125788591238863,0,-0.154607639951031,0,0,0,0,0,0,0,0,0,0,0,0,0.0991948358024966,0,0,0,0,0,0,0,0,0,0,-0.227834349506278,0,0,0.212585201408375,0,0,0,0,0.204177760968486,0,0,0.245394771537614,0,0,0,-6.93889390390723e-18,0.202397575398729,0,0,0
