,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.479834974426236,0,0,0,0,0,0,0.000224615189695102,0.237637275078175,0,0,0,0.13633846122131,0,0,0.0457494346685163,0,0,0,0,0,0,0,0,0,0,0,0,0.0371076665633117,0,0,0,0,0,0,0,0,0.0839107513920581,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.172105659012789,0,0.220066693167486,0,0,0,0,0,0,0,0,0.242893803430978,0,0.0695191817621313,0.0142463760983467,0,0,0,0,0.132492640602211,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.132231214529606,0,0,0,0.0379734216377832,0,0,0,0,0,0,0,0.0414047348022443,0.0462041205848102,0,0
X601939.CH.EQUITY,0,0,0,0.729479181677702,0.0320499193681979,0.0541081979582725,0,0,0,0.235589348734654,0,0,0,0,0,0,0,0,0,0,0.0501791977365331,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.0234095649524723,0,0,0.0231383276559837,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.412054370788999,0,0.0302468294751485,0,0.942759936595739,0,0,0,0,0,0,0,-0.142834963255231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152346833740887,0,0,0,0,0,0,0,0,0,0,0.0491869424353865,0,0,0
X5.HK.EQUITY,0.00866504196943262,0,0,0,0,0.120742822619786,0.397533475270967,0,0,0,0,0,0,0,0.0447196148401724,0,0,0,0,0,0,0,0,0,0,0,0,-0.206840038062217,0,0,0,0,0,0,0,0,0.0959546918057626,0,0,0.322484299693372,0,0,0,0,0,0,-0.097554713537282,0,0.0213159323839617,0,0
X601988.CH.EQUITY,0,0,0,0,0.34343031879908,0,0,0,0.111611338903283,0,0,0,0,0,0,0.0931546189042681,0.0292631602512587,0,-0.0488332599240958,0,-0.067492601544554,0,0,0,0.219034168678298,0,0,0,0,0,0,-0.218438412112792,0,0,0,0,0,0,0,0,0.0751981721119285,0,0,0,0,0,0,0,-0.0320123775920152,-0.12795963464473,0
X1299.HK.EQUITY,0,0,0,0,0.228130561784012,0,0,0,0,0,0,0,0.0242395386957289,0,0,0,0.197326008389645,0,0,0,0,0,0,0,0,0.0609908139929027,0,0.108559357541673,-0.141180363316572,0,0.0926574919029887,0,0.0103597835661844,0,0,0,0.397955983112825,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0408923859500327
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.408189011755236,0,0,0,0,0.0385607432761432,0,0,0.120658743565066,0,-0.110529836657947,0,0,0,0,0.181374996683653,0,0,0,0,0,0.2194657969436,0,0,0,0,0.11501709449167,0,0,-0.0306331210022415,-0.162339560784441,0.0818496292181159,0,0,0.132014713722176,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0819097409533698,0,0.00154597246444452,-0.0846239275108967,0,0,0,0,0,0,0.0516252021910456,0,0,0,0,0,0.204881119151304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405403129288064,0,0,0,0,0,0.215557505546708,0,0.0878667334884117,0.0633873455389001,0,-0.0110664168714081,0,0,0,-0.017876671535214
X601328.CH.EQUITY,0,0,0.242546362273488,0,-0.097489888644583,0,0,0.439762320796041,0,0,0,-0.00225733043157327,0.357182137672844,0,0,0,0,0,0,0,0,0,0,0.0443892161408041,0,0,0,0,0,0,0,-0.133695612294647,-0.138428179887118,0.177278340356019,0,0,-0.00522806023796938,-0.228211394572789,0,0,0,0,0,0,0,-0.00127700645582301,0,0,0,0,0
X601166.CH.EQUITY,0.125200904773219,0,0,0.235245071117959,0,0,0,0,0,0.104917528420964,0,-0.0135403383265221,0.278276282178721,0,0,0,0,0,0,0.0461880038407723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044229621467222,0,0,0,-0.0865209325389634,0,0,0.0920181600456944,0,0,0,0,0,0,0,0,-0.0489519450533067,0
