,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119852306659194,-0.0884159665938534,0,0,0,0,0,0,0.411021600557828,0,0,-0.131654479315526,0,0,0,0,0,-0.107888405849712,0,0,0,0,0,0,0,0,-0.0126145440945957,0,0.708763485993198,0,0,0,0,0,0,0,0,-0.0361797638801803,0.0326004166355095,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.060572728193798,0.00650181273947338,0.169776552532983,0,0,0,0,0.130742642757634,0,0,0,0,0.078455234727513,0,0.104328588576939,0,0,0,0,0,0.0375357320309544,0,0,0,0.0497947704389115,-0.0310188933490742,0,0.0386885092028045,0.0704640214048336,0,0,0,0,0.237001997153961,0,-5.42101086242752e-20,0,0,0.00508747428877388,0,0,0,0,0,0
X601939.CH.EQUITY,0.361961308502643,0,0,0,0,0,0,0,0,0.033047138816639,0,0,0,0,0,0,0,0,0,0,0,0,0.152356088825894,0,0,-0.295766553467186,0,0.0416579165756235,0,0,-0.0432935647867487,0,0,-1.73472347597681e-18,0,-0.0618794303458081,0,0.0499535217065965,0,0,0.599965862340899,0,0,0,-0.0129856271667925,0,0,0,0,0,0.108110624217016
X601288.CH.EQUITY,0,0,0,0,-0.179221048238689,0,0,0,0,0,0.436511757364602,0,0,0,0.347029404577562,0.00515865619883067,-0.0956341931085583,0,0,-0.154726052654183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158623961866514,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.00810475848669706
X5.HK.EQUITY,0,0,0,0,0,0.147325845810787,0,0.166399523379836,0,0,0.153941622226137,0,0,0,0.215907091667976,0,0,0.0933233952091234,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.174584519235891,0,0,0,0,0,0,0,0,0,0.147775225195196,0,0.0681936360870486,0,0,0,0,0,-0.0756787100381784,0,0,0.148994546996927,0,0
X601988.CH.EQUITY,0,0,0,0,0.404842180967044,0,0,0,0,0,0,0,0,0,0.0458462114540808,0,0,0.00600831431111821,0,-0.151090798977065,0,0,0,0,0.292887360615472,0,0,0,0,0,0,-0.324456915238182,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0082265727573943,0.113482901889679,0,0,-1.73472347597681e-18,-0.0397463164455412,0.019682768513981
X600036.CH.EQUITY,0,0.268514983145614,-0.0603241130810083,0,0,0,0,-0.127886029812009,0,0.501573146843507,0,0,0,0,0,0,0.0907036642686073,0,0,0.27929615495921,0,0,0,0,0,8.67361737988404e-19,0,0,0.108531048927323,0,0,0,0,-0.134441666686901,0,0,0,0,0,-0.0616145290907598,0,0,0.229148885034848,0,0,-0.0768111324563127,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.026322600084042,0,0.246457588569893,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0684496594903431,0.047860933441659,0,0,0,0,0,0,0.246769502493184,0,0.0136119964515597,0,0.0924616646538645,0,0,0,0.0398933873374276,0,0,0,0,0,0,0,0,-0.222916071025425,0,-0.111423382394698,0,0,0.0620665265872254,0,0,0
X601628.CH.EQUITY,0,0.046596103192723,0.0296268651203864,0.0751190619191546,0,0,0,0,0,0,0,0,0,0.360031108542428,0,0,-0.0211035134957316,0,0,0,0,0,0,0,0.123356204817568,0,0,0,0,0,-0.011875927145313,0,0,0,0,0.159373241149804,0.0573204416180572,0,0,0,0,0.202200978260343,0.0554624809558292,0,0.0885752273504922,0,0,0,0,0,-0.0704056335403092
X601328.CH.EQUITY,0,0,0,0,0,0,0.629249523520667,0,0,0,0,0,0,0,0,0.118375315360978,0,0,0,0.154129226706172,0,0,0,3.46944695195361e-18,0,0.151659636750502,0,0,0,0,0,0,0,0,0,0,0,-0.00354777777569591,0,0,0,0,0.21490294650341,0,0,-0.0361594151174987,-0.280821854005222,0,0,-0.0346264278838207,-0.0616824393921035
