,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,-6.93889390390723e-18,0.0251275330119023,0,0.11340423007725,0.14326278006318,0,0.327376694482445,0,0,0,0,0,0.128783563542673,0,0,0,0,0.0658978851260802,0,-0.00738906550076352,0,0,0,0,0,0,0,0.174583345466936,0,0,0,0,0,0,0,0.00189802071868316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0949326539449791,0,0,0,0,0.0792399141315537,0,0,0.206071136495206,0,0,0,0,0,0,0,0.114699108943262,0.124797345895247,0,0.0900361474358361,0,0,0,0,0,0,0,0,0,0.0961861122780431,-0.0858051939693741,0,0,0.0708030899510281,0,0,0.154488489496122,0,0.0667792666810694,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183183636145163
X601939.CH.EQUITY,0.0775706176509361,0,0,0.0961232331907541,0,0,0,0,0,0,0.304267513957934,0,0,0,0,0,0,0,0,0,0.0116025326700643,0,0,0,0,0,-0.111083545967195,-0.0218841052234216,0,0,0,0,0,0,0,0,0.20849370555923,0.036297792845871,0,0,0.100476400146714,0,0,0.256421137558575,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.343816555754414,0,0.0265959403257904,0,0,0.489631050170649,0,0,0,0,0.00720549559093833,0,0,0,0.0353733763946417,0,0,0.0091416467821646,-0.0256179627254071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100456138788281,0,0,0
X5.HK.EQUITY,0,0,0,0,0,-0.275369595584721,0,0.267359220963923,0,0.0219520582497855,0,0,0.631257529328013,0,0.0373594504897937,0,0,0,0,0,1.73472347597681e-18,0.285257371175353,0.0326547097006065,0,0,0,0.0699890573532933,-0.543475778041644,0,0,0,0,0,0,0,0,0.262534605846721,0,0.270507369370276,0,0,0,0,0,0,0,0,0,0,0,-0.22305940554268,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0565101749421643,0,0,0,0,0.280592314610916,0.0734168645131821,0,0,0,0,0,0.372140619700095,0,0,0,0,0,0,0,0.0575573251759371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600325068107809,0,0,0,0.0107922441780543,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.158439509901476,0,0,0.256754621159119,0,0,0,0,0,0.138334776525814,0,0,0.0182991700414004,0,0,0,0,0,0,0.0176988177741805,0,6.93889390390723e-18,0.138416277639904,0,0.149510717197881,0.137918650396408,0,0,0,0,0.0443159433333492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.103673373016927,0,0,0,0,0,0,1.38777878078145e-17,0.406764643787425,0,0,0.186298459469501,0,0,0,0.167866499261444,0,0,0,0,0,0,0.293906499824596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.371672797882212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0458796123854834,0,0,0,0.0932022789100459,0,0,0,0.214522104692266,-0.0478414323837469,0,0,0.0147908181943254,0,0.260497686511826,0,0,0,0,0.116952525415018,0,-0.132597105045844,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0.094051322922565,-0.170547217485999,0,0,0,0,0,0.21084336148236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969947646026911,0,-0.13998883475477,0,0,0,0,0,3.46944695195361e-18,0,0.789595764376534,0,0,0,0,0,0.280158857983094,0,-0.292668503749955,0,0,0
X601166.CH.EQUITY,0,0,0.148470250545335,0,0,0,0.31304713259272,0,-0.0540312998358042,-0.0525562337981954,0,0,0,0,0,0,0.0129844838656096,0,0,0.125812633467072,0,0,0,0,0,0,0,-0.0520522385165088,0,0.465037459316014,0,0,0,0,0,0,0,0,0.051007693332458,0,0,0,0,0,0,0.14602345807813,0,0,-0.13440596812607,0,0,0.0652135308380456
X601328.CH.EQUITY,0,0.0103481213208122,0.0857550704596597,0,0,0.0671541977604594,0,0,0,0,0,0,0,0.340505304669602,0.0425944094468236,0,0,0,0,0,0,0,0.0496417113861145,0.199011617867197,0.0610715374670507,0,0,0,0,0,0,0,0,0,0,0,0,0.01665074156855,0,0,0,0,0,0,0,0.136387422270162,0,0,0,0,0,0
