,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.00538876916894555,0,0.231899767623527,0,0,0,0,0,-0.216384577287698,0,0,0,0,0,0,0,0,0,0,0,0.470065199358895,0.475024061680545,0,0,0.104617741869695,0,0,0,0,0,-0.0825231381683263,0,0,-0.180867915007074,0,0,0,-0.618052457327266,0,0,-0.0944213068494517,0.0352137797670218,0.0321847788775451,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0723730544654253,0,0,0.211987929471527,0.0208790051526111,0,0,0,0,0,0,0.100702764366422,0.211554936369437,0,0,0,0,0,0,0,0,0,0,0.0422481058985238,0,0,0,-0.0245326997702661,0,0,0,0,0,0,0,0,-0.0133660297538445,0,0,0,0,0,0,0,0,0,0.0223192159904028,0,0.371806001263976,0,0,0.0987340713584716
X601318.CH.EQUITY,0,0,0,0,0.0243562361848062,0.263515410908052,0.138410551894354,0,0,0,0,0,0,0,0,0,0,0,0,0.223195202833636,0,0.153491329435086,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.279176272613886,0,0,0.340697994457081,0,0,0.0555873863879895,0,0,0.0254941250108848,0,0.141702605741005,0,0,-0.0276757534288548,0,0,0.0505393864623897,0,0.10938479135569,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0706922589063815,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.164756922560803,0,0,0,0,0,0.538376496990031,0,0.0745992915276396,0,0,0,0,0.0676233036101812,0.0374093111194743,0,0,0,0,0,0.270361195766883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.376241037475886,0.0701505163159331,0,0,0,0,0,0,0,0,0,0.112468778171478
X600036.CH.EQUITY,0,0.0870570548236365,0,0,0,0,0.0349682478089298,0.062283630678154,0,0,0,0.114609578896655,0,0,0,0,0,0,0,0.126755285188613,0,0,0,0,0.0166840341423976,0,0.00162553718111225,0,0,0,0,0,0,0.387345845414952,0,0,0,0,0,0,0,0,0,0,0,0.0727915437698839,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.287049068572072,0,0.042519322720924,0,0,-0.0888815773602228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241483130497149,0,0,0,0,0,0,0,0,0,0,0.107337906246415,0.200576021963508,0.0793839254054673,0,0,0,0,0,0,0.0312924660748868,0,0,0,0,0,0.0123350166822798
X1299.HK.EQUITY,0,0,0,0,0,0,0.0931157498435873,0,0,0,0,0,0,0,0,0.0571154112643966,0,0,0,0,0,0.231930944458821,0,-0.0517812640481416,0,0.0108969388942557,0,0,0,0,0.135375848330831,0,0,0,0,0,0,0,0,0,0,0,0.0503939213412673,0.183676685217245,0,0.483175803760475,0,0,0,0,-0.0590411657814412,0
X5.HK.EQUITY,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340226477214112,0,-0.0535566239060938,0,0,-0.578119771887855,0.838832358207291,0,0,0.141974515661823,0.641369764502768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185590149189444,0,0
X601658.CH.Equity,0,0,0,0.0410445590853761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294574141690237,0.0540576633214797,0,0,0,-0.00683265899166828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217607441237718,0,0,-0.0123331224172099,0,0,0,0,-2.16840434497101e-19,0
