,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.281986603743413,0.0354697908422177,0,0,0,0.311577241072208,0,0,0,0.0794931114996133,0,0,0.0355643056936616,0,0,0,0,0,0,0,0,0.157621126924333,0,0,0.00926839084972386,0,0,0,0,0,0,0,0,0,0,0.120710285727634,0,0,0,0,0,0,0,0,0,0,0,-0.0274739671667077,0,0
X601318.CH.EQUITY,0,0,0.297970850475456,0,0,0,0,0,0.079008844422684,0,0,0,0.00308901332842412,0,0,0.204393322495063,0,0,0,0,0.0207648441444649,0,0,0,0,0,0,0,0,0.0818485344489024,0,0,0,0,0,0.0703782735341768,0,0,0,0,0,0.0406224287830412,0,0.0863844082049586,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.366546214273298,0.206455625081719,0,0,0,0,0,0.289775825041906,0,0,0,0,0,0,0,0,0.0777795682275272,0.0556402530800708,0,-0.119652102860118,0,0,0,0,0,0,0,0,-0.0791742054597047,0.135117886908061,0,0,0.199646902521921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589247773914048,0.0528801937665895
X600036.CH.EQUITY,0,0.0398461037962016,0,0,0,0.256957056038926,0,0.0148893290591602,0,0,0,-0.00323331973578803,0.111874826482409,0,0,0,0,0.214435083511808,0,0,0,0,0.0462338777059371,0,0.421931351358376,0,0,0,0,0.0731740910434562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413586265732902
X601288.CH.EQUITY,0,0,0,0,0,0,0.0162743624032824,0.495858126350413,0,-0.0834520424308284,0,0.0934772536433831,0,0,0,0,0,0.0211301402611837,0,0,0,0,0.063847617373044,0.122954758169241,0,0,0,0,0,0.0881473289217355,0,0,0.0404709296486543,0,0,0,0,0,0,0,0,0,0,0,0,0.0481714903202598,0,0,0,0.0117714403006277,0,0
X1299.HK.EQUITY,0,0,-0.0476076175867421,0,0,0,0,0,0,0.110942470662905,0,0,0,0,0,0,0,0,0,0,0,0.037021758400445,0.133434434831969,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.136977485075115,0,0.230527569033838,0.155718337024888,0.0795746964449193,0,0,0,0,0,0,0.239863106793282,0,0
X601628.CH.EQUITY,0.145360455735473,0,0,-0.00857001362904412,0,0,0,0,0,0,0,0,-0.0266138716370061,0,-0.19426306922043,0,0,0,0,0.140004625336439,0,0,0,0,0,0,-0.108803800341076,0,0,0,0,0,0,0,0.590768969347442,0,0,0,0.0011571838061249,0,0,0,0,0,0,0,0,0,0,0,0,0.0798722635334032
X601988.CH.EQUITY,0,0,0.0581854902586738,0.0218019996273584,0.477963438732281,0,0,0,0,0.0168350843890848,0,0,0.0802988383586794,0,0,0,0.209789916803563,0,0,0,0,0,0,0,0,0,0.0359594826401493,0.0137344623306581,0.0614911477257187,0,0,0,0,0,0,0,0.00132563411573342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.217988058101041,0,0,0,0,0,0,0,-0.000850352500224458,0,0.0259456865308286,0,-0.0762790024584139,0,0,0,0,0,-0.159214978517363,0,0,0.222240564089294,0,0,0.111402571616849,0.103419526193513,0,0,0,0,0,0.125337584874916,0,0,0,0,0,0,0,0,0.113294092835816,0.107818815963548,0,0,0,0,0,0,0,0,-0.147884184190818
X388.HK.EQUITY,0,0,0,-0.247924814048125,0,0.171093152623284,-0.0246202275016834,0,0,0,0.0755117264332686,-3.46944695195361e-18,0,0,0.123189245407767,-0.0285994669233243,0,0,0.115252274440184,0.525559626692091,0,-0.02834873183679,0,0,0,0,0,0.00868556885498362,0,0,0,0,-0.0301680075794408,0,0,0,0,0,0,0.234402126732884,0,0,0,0,0,0,-0.370633427313994,0.0643358080385595,0,0.0539646353676505,0,0
