,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X000001.CH.EQUITY,0,0.0392089300562114,0,0,0,0.566867974962932,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0.219514410632275,0.0261576282517828,0.0644014797012015,0.0480871391773885,0.0313292823397641,0,-0.254674432562552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177938112492521
X000002.CH.EQUITY,0,0,0,-0.243135441422612,0,0,0,0,0.300744735384163,8.67361737988404e-19,0,0.0893294793052984,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089979910532418,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0323064393329094,-0.0740646032860696,0.108753193488876,0,0,0,0.0529652812715421,0,0,0.0376311718327401
X601328.CH.EQUITY,0,0,0,0,0.0128169060071249,0,0.0591922000073631,0,0,0,0.0575317644866673,0,0,0.00647832180042747,0,0,0,0,0.115281950454866,0,0,0.250227385208076,0,0,0,0,0,0,0,0,0,0,0,0.223790410703135,0,0,0,0.0893110430616894,0,0,0,0,0,0,0,0,0,0.168734813668234,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0.0163089691863842,0,0,0,0,0,0,0.625544267679714,0,0.0673494253959961,-4.33680868994202e-19,0,0,0,-0.131199819028199,0,0,0.012294479627568,0,0,0.0181104348446964,0,-0.0193362895854611,0,0,0,0,0.0265151149666784,0,0,0,0,0,0.175859777352979,0,0,0,0,0,0,0,0,0,0,-0.0269779895513774,0,0
X601601.CH.EQUITY,0,0.435468769678037,0,0.128586995675275,0,0,0,-0.0308730454630782,0,0,0,0.118312827914777,0,0,0,0,0,0,0,0.268449313395525,0,0,0,0,0.00335506888700546,0,0,0,0,0,-0.142455060850622,0,0,0,0.183957233476819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.357355258922842,0,0,0,0,0.363991133601613,0,0,0,0,0.11997904651218,0,0,0,-0.227375238821414,-0.0569444287196159,0,0,0,0,0,0.0388931926684777,0,0,0,0,0,0,0,0,0,0.570171378558308,0,0,0,0,0,0,0,0.27040194122709,0.0151273475408848,0.000838118633015974
X601319.CH.EQUITY,0,0,0,0.0537174006087056,0,0,0,0,0,0,0,0,0,0.175284768434925,0,0.0887939419299539,0,0,0,0,0,0,0,0,0,0,0,0,0.0196517511928109,0.135803901403184,0,0,0,0,0.00463828419365633,0,0,0,0,0,-0.0881592643240485,0,0.254447083913804,0,0,0,0,-1.73472347597681e-18,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.0287975128404041,-0.0531764311626157,0,-0.0832070630391218,0,0,-0.171278077182154,0,0.0449181443960869,0,-0.0628669173562726,0,0,0,0,0,0,0,0,0,0,0,0,-0.295565642977144,0,0.399599296607835,0,0,0,0,0,0.0835752340725699,0,0,0,0.0935328748975149,0,0.196843941483369,0,0,0.167904333922232,0,0,0,-0.248740505256328,0
X600016.CH.EQUITY,0,0,0,0.0966331856489174,0,0,0.0538123293376992,-0.0539454551090853,0.0175871578869631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268789911766203,0,0.0847100032197454,0,0,0,0,0.326787359800681,0,0.10883419319235,0,0,0,0,0,0.0628904615859814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.27025399534856,0,0,0,0,0,0,0,0,0,0,0,0,0.137644389067228,0.0919772438186075,0,0.0404206350428376,0,0,0,0,0,0,0,0,0,0.132544580163163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356762858905428,0.076311767159875,0,0,-0.0322769017332983,0,0,0,-0.06555688432536,0.0920482771613735
