,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0146147480447027,0,0,0,0,0,0,-0.174485083826706,0,0,0,0,0,0,0,0,0,-0.198008129006852,0.708254180147904,0,0.742257321935018,0,0,0.0455266712314468,0,-0.0982766899122368,0,-0.115767483662066,0,0.00331330458839635,0,-0.334376652868647,0,0,-0.0624710331949479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0345132202373895,0,0.0679202350946486,0,0,0,0,0.0451300079504722,0,0,0,0,0,0,0,0,0.390797124786288,0,0,0,0,0,0,0,0.132215333478729,0,0.00955344780580212,0,0,0,0,0,0,-8.67361737988404e-19,0,0.174065748537414,0,0,0,0,0,0,0,0,0,0,0,0,0.146991929619364
X601939.CH.EQUITY,0,0,0,0.806622978768897,0,0.0570828922167906,0.00833534091528731,1.73472347597681e-18,0,0,0,0,0.0236473695251894,0,0,0,0.00578269254461011,0,0,0,0,0,0.0155598129275654,0,0,0,0,0,0,0,0,0.0748256721863313,0,0,0,0,0,0,0.0153033948664164,0,0,0,0,0,0,0,0,0,0.0464194235652236,0,0,0.0165343037989616
X601288.CH.EQUITY,0,0,0.878752114985354,0,0,0,-0.0653762431479562,0,0,0,0,0,0,0.0152436592796346,0.0403451011963615,0,0.032250614099678,0,0.11820782402153,0,0,0,0,0,0,0.0308203503484,-0.122231280169086,0,0,0,0,0.00527422785771484,0,0,0,0,0,-0.0989022117605736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.115189111987696,0,0,0,0,0,0.942257520440455,0,0,0,0,0,-0.114320730424468,-0.144374145885106,-0.0298804539914542,0,0,0.253105601292168,0,0,0,0,0,0,0,0,-0.105487103836344,0,0,0,-0.0924149328964211,0,0,0,0,0,0,0,0.0238169193951523,0,0,0,0,0,0.0176834172680779,0.276432716264719
X600036.CH.EQUITY,0,0,0.358923330132535,0,0,0,0,0.0579917869967292,0,0,0,0,0,0,0,0,0,0,0,0.0212789919246381,0,0,0,0,0,0.0466849000254838,0,0,0,0.0944847923665277,0,0,0.430871041900534,0,-0.0354617456475696,0,0,0,0,0,0,0,0,-0.0637058427103322,0.120949014172047,0.074252982236892,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.00591438587923001,0,0.00633523536291197,0.846518690379359,0,0,-0.064199000703108,0,0,0,0,0,0,0,0.1508112985688,0,0,0,0,0,0,0,-0.079955027778665,0,0.0670019637085997,0,-0.0360534225671182,0,0,-0.031363346161082,0.0285631437237293,0,0,0,0,0.0661961859646743,0,0,0,0,0.0264984493928603,0,0,0.172809349849129
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.259889359831919,0,0,0,0,0,0,0,0.00757522616901738,0,0,0,0,-1.38777878078145e-17,0,-0.220843351664047,0,0.0591344998764243,0.0523342613074477,0,0,0.0567808896934255,0.262336317551218,0,0,0.0754766748074975,0,0,0,0,0,0,0,0,0,0,0,0.453106231531931,0,0,0.00689207140029117,0.0342992770558802,-0.0833496454846537,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.200930060326337,0,0,0,0.0242278302811753,0,0,0,0,0,0.378933344831544,0,0,0,0,0.0670295695203706,0,0,0.382656263522517,0.12589268286193,0,0.114823765630138,0,0.0253545249946297,0,0,0,0,0,0,0,0,0,-0.110997963504366,0,0,0.0594986737366272,-0.0606487964419368,0,0,0,0,0,0.0520727678547654,0,-0.135364064658556
X601658.CH.Equity,0,0,0,0.227302210313266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109903638849341,0.243140748757406,0,-0.175672613734657,0,0,0,0,0,-0.130755802867259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41518715719897,0,0,0,0,0,0,0,0,0,0
