,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.211090994333453,0,0.0177727629527804,0,0,0.386792975102642,0,0,0,0.0205594756865995,0,0,0,0,0,0,0,0,0,0,0,0,0.237397184453991,0,0,0,0.026186974517123,0,0,0,0.101014424996848,0,0.0669037011789248,0,0,0,0,0,0,0,0.0300165084250923,0,0,0,0,0,-0.101459634256724,0,0,0
X601318.CH.EQUITY,0,0,0.128877551228074,0,0,0,0,0,0.168399401246951,0,0,0,0.205252070677542,0,0.09148064204417,0,0.0336483142319293,0,0.0465016368542471,0.00949859376569395,0,0.0584046415516027,0,0,0,0,0,0,0.179073839436815,0,0,0.0480055577224788,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152161250590824,0.152087682546518,0,0,0,0,0
X601939.CH.EQUITY,0.532054992958141,0.0793439697235916,0,0,0,0,0,0,0.131493914453881,0,0.122939158979049,0,0,0,0,0,0,0.0625239757777326,0.143684811827762,0,0,0,0,0,0,0,0,0,0,0.206877632185898,0,0,0.0545251051241191,0,0,0,0,0,0.082834286387553,0,0,-0.087488285400252,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0232515001633194,0,0,0,0,0.212102052799856,0,0,0,-0.127436304481149,0,-0.0356451843762004,0.108747504847806,0,0,0.137319344633841,0,0,0.153034166305511,0,0,0,0,0,0,0.425579687000814,0,0,0,0.0434031712464474,0,0,0,0,0,0,0,0,-0.0679173012022192,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0464848800319475,0,0,0,0.00907178983073426,0.537968833827951,0,-0.0707051547359015,0,0.0389186533177542,0,0,0,0,0,0,0.0432843583754866,0,0,0,0,0.0943622090376986,0.109953943796297,0,0,0,0,0.119197172211378,0,0,0.0323063630005826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306090559897186,0.0143428147063154,0.0115633583460829,0,0
X1299.HK.EQUITY,0,0,0,0,-0.0435363463177801,0,0,0,0,0.104169169468341,0,0,-0.117989296175643,0,0.00406438264234369,0,0,0,0,0,0,0,0,0.224415284353642,0,0,0,0,0,0,0,0,0.0137349061053947,0,0,0,0,0.0481150462169478,0,0.0889634725163908,0,0.189528732331207,0,0,0.144431316291531,0,0,0,0.253103575506972,0,0,0
X601628.CH.EQUITY,0,0,0,-0.0204713539439947,0,0.0213006683776841,0,0,0,0,0,0,-0.00783079714648583,0,0,-0.0302958947143392,0.123602648153268,0,0,0.00132809431747165,0,0,-0.140247894523225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464273833876387,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.0346504142005416,0
X601988.CH.EQUITY,0.0314223324553584,0,0,0,0.478969169109937,0,0,0,0,0,0,0.0425414761477081,-0.0479865428058297,0,0,0,0,0.229577555311268,0,0,0,0,0,0,0.0105513519857528,0,0,0,0,0,0,0,-0.104290430472911,0,0,0,0,0,0,0,0,0.116608560687163,0,0.146212713471191,0,-0.0411392847837543,0,0,0,0,0,-0.0675628785353588
X5.HK.EQUITY,0,0.145550597381246,0.00271789579785745,0,0,0,0,0,0,-0.182734427890252,0.0651608134121196,0.0890167823561236,0,0,0,0,0,0,0,0,0,0,0,0.222876507985837,0,0,0.152546821562818,0.0379115277057578,0,0,0.000283263096318415,0,0.132820455131019,0,0,0,0,0,0.254804834222629,0,0,0,0,0,0.218328146980485,0,0,0.0171024348953511,0,0,0,-0.0468374490320895
X388.HK.EQUITY,0,0,0,-0.166066537756904,0.0512840685081647,0,-0.126824464817233,0,-0.163473363554698,0,0,0,0,0,0,0,0,0,0,0,0,0.127108764725843,0,0,0,0,0,0,0,0,0,0,-0.232519139166839,0,0,0,0,0.207500501503385,0,0,0.164559762839073,0,0.257113822284318,0,0,0,0,0,0.187550113449412,0,0,0
