,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.00941129918562755,0.0772145826909729,0.334780357215416,0,0.0628766668949913,0,0,0,0,0,0,0,0,0,0,0,0.161131558021572,0,0,0,0,-0.0955193479428296,0,0,0,0,0,0.0995065597391418,0,0,0,0,0,0,0,0,0,0,0,0.157987676755946,0,0,0.0325765281071661,0,0.0286767370532336,0,0.0752478959427697,0.198666781419943,0.0507242904648724,0
X601318.CH.EQUITY,0,0,0,0.0649710638535578,0,0,0,0.00438863174622475,0.128718876185468,0,0,0.0797505602615276,0.109981010040849,0,0,0,6.93889390390723e-18,0,0.118536398104056,0,0.215836478258121,0.0651689692313292,0,0,0,0,0,0,0,0.0478792268481593,0.101173200892261,0,0,0,0,0,0.015700232617468,0,0,0,0,0,0,0,0,0.0850409874678577,0,0,0,0,0,0.112292438506254
X601939.CH.EQUITY,-1.73472347597681e-18,0,0,0,0.354335039962628,0,0,0,0,0,0,0.225172815429845,0,0,0.0109189943918604,0,0,0.142068309450648,0,0.068917500799478,0,-0.10700921290515,0,0,0.250954720124116,0.23350085927589,-0.0613445109922849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00840988140098005,0,0,0,0,0.0382645730093163
X600036.CH.EQUITY,0,0.115150861103735,0,0,0,0.0114166169254685,0,0.166723973437198,0,0,0,0,0.149540040642306,0,0,0,0,0,0,0,0,0,0.25001030894075,0.00783563646869775,0,0,0,0.0111048333820078,0,0.0554820528958892,0,0,0,0,0,0,0.00822153947767755,0,0,0,0.0850904574929063,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0750984271865572,0,0.0792296240458007,0,0,0.090401022496378,0,0.392555220118369,0,0,0,0,0,0,-0.0339701212390904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171719951287654,0,0,0,0,0,0,0,0,0,0,0,0,0.0781079708114028,0,0,0,0.124942620560584,0,0,0,0,-0.0610896653349892,-0.065017313826304
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0959381609522739,0.074140858746778,0,0,0,0,0,0.169198487665153,0,0,0,0,0.139195779574038,-0.136326618267697,0,0,0,0,0,0,0.00510304409464424,-0.0235730237529369,0.202621339515511,0,0,0,0.569194327883183,0,0,0,0,-0.0301557527235438,0.153375404167704,0,0,0,0,0,0,0,0,0,0.122169533689634
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.136052802711915,0,0,0,0,0,0,0,0,0.0307676568122452,0,0,0,0,0,0,0.106957518090722,0,-0.239122476287513,0,0,0,0,0,0,0,0.00929747987484182,0,0.0889169427786769,0,0.261778551891704,0.13795197643093,0.0666261611326664,0.0524570702477987,0.082227142719566,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.09282334048542,0.106167099692389,0.166160444709022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230489873223901,0,0,0,0.211001113293807,0,0.0440642695483864,0,0.331390948866427,-0.0298502539383619,0,0,0.142502853495012,-0.0743087227790733,0,0,0,0,0,0,0,0.0902302725743773,0,0,0,0,0,0.0286912751750648,0,0,0,0,0,0
X5.HK.EQUITY,0,0.082620653708057,0,0,0,0,0,0.24150002026341,0,-0.0787802463354593,0.0642203326834893,0,0,0,0,0,0,0,0,0,0.1076302355747,0,0,0.142372194344413,0,0,0.21662067016801,0,0,0.060852969646925,0,0,0,0,0,0,0,0,0.234921652253357,-0.101580125472566,0,0.107815079755697,0,0,0.0606701859352351,0,0,0.1085556683279,0,0,0.0433220339072117,0
X601166.CH.EQUITY,0,0,0.0336029019915823,0.101199319310644,0,0,0,0,0,0,0,0.0325845121056289,0.0871291805161282,0,0.0510107066169701,0,-1.0842021724855e-19,0,0,0,0,0,0.165956727747236,0,0,0,0,0,0.362186193827128,0,0,0,0,-1.0842021724855e-19,0,0.0254691295576233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
