,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.109359961373237,0,0,0,0,0,0,0,0,0,0,0,0.606558400690528,0.462377258448373,-0.0834646409242098,0,0.097663432792573,0,0,-0.00143974643606154,0,-0.113850590295635,0,0,-0.246665959965634,0,0,0,-0.434913922938176,0,0,0,0,0,0.059055942776923,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0320721509978218,0,0.00696351285785099,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.337467734514108,0,0.0698522088677811,0,0,0,0,0,0,0,0,0.0847766900065039,0,0,0,0,0,0,0,0,0.320591609336581,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0817350212107881,0,0,0.282784856653186,0,5.42101086242752e-20,0,0,0.0736756026967229,0,0,0,0.0202008357191322,0.222597215280966,0,0,0,0,0,0,0,0,0.0361590812005414,0,0,0,0,0.0335485410069581,0,0,0,0,0,0,0,0,0,-0.0634109211209653,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.344312654791329,0,0.0974096324816216
X601288.CH.EQUITY,0,0,0.255859408400757,0,0.353367297978164,0.111009424573269,0,0.0368978724213585,0,0,0.00838439863084612,-0.0190138858907149,2.71050543121376e-20,0.163889395634668,0,0,-0.0188442710032456,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0696727275514018,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.177049984970625,0,0,0,0,0,0.538262197866391,0,0,0.0718467932066665,0,0.0749023286636323,0,0,0,0,0,0,0,0.269201553145921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.349207159515072,0,0,0.0957611517843739,0,0,0,0,0,0,0,0.107200607582983
X600036.CH.EQUITY,0,0,0.230940888848748,0.10125365521216,0,0,0,0.102959584139318,0.0985922608775421,0,-0.04452980421962,0,0,0,0,0,0,0,0,0.00368587777432231,0,0,0,0,0.0328583345917922,0,0,0,0,0,0,-0.0178077844644414,0,0.255389191669454,0,0,0,0.0279523231798716,0,0,0,-0.0857604028458034,0,0,0,0,0,0.120425744707869,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.254217442135005,0,0,0,0,-0.0639020390054847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.197335148872556,0.0982760644652419,0,0.113566732921731,0,0,0.0614767733504031,0,0,0,0,0.0128754978245053,0,0,0,0.00691779868114403
X1299.HK.EQUITY,0,0,0,0,0,0,0.194429332797945,0,0,0,0,0,0,0,0,0,0.0167477969663456,0,0,0,0,0.173305255343476,-0.0704645800992971,0,0,0,0,0,0,0.136993514481439,0,0,0,0,0,0,0,0,0,0,0,0.119069510440946,0.155902255912008,0,0,0,0,0.474404198113443,0,0,0,0.0327419219145499
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0787246516054625,0,0,0,0,0,0,-0.0127310109431429,-0.392686175804107,0.694855856242225,0,0,0,0,0.703072090326791,0,0,0,0,0,0,-0.16964525834293,0,0,0.0686959861287908,0,0,0.250503585432157,0.152923549000311,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.00989745497569726,0,0,0,0,0,0,0,0,0,0,0,0,0.212204352615484,0.0385789418617131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250015898103325,0,0,0,0,-0.0132507673566941,0,0,0,0
