,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0572680872349103,0,0.139719675804975,0.178335049272646,0,0.351061826641818,0,0,0,0.000611775130322368,0,0.133062043123993,0,0,0,0,0,0,0,0,0,0.0119587983321742,0,0,0,0,0,0.104101525416375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.167374181544297,0,0,0,0,0.00035803136973756,0,0,0.24546562084643,0,0,0,0,0,0.0592428631399054,0.164753895302167,0,0.040350912586185,0.165184603610363,0,0,0,0,0,0,0,0.00334659408041503,0,0,-0.104252508293324,0.0757749037838882,0,0,0,0,0,0.108405720630153,0,0.100454334290782,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353589106286086
X601939.CH.EQUITY,0.255392187365645,0,0,0,0,0,0,0,0,0,0,0,0,0.415749811416748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201767578364782,0.102965736153127,0,0,0,0.0188615753727629,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.343962785154405,0,0.02656298065209,0,0,0.487893203089347,0,0,0,0,0,0.00728178145507551,0,0,0.0356458465829531,0,0,0.00911783952384563,-0.0255959586279562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100403105448412,0,0,0
X5.HK.EQUITY,0,0,0,-0.0199116210619795,0,0,0,0.152505097287892,0,0,0,0,0.163218248306958,0,0,0,0,0,0,0,0,0.245883083016461,0.838356392048641,-6.93889390390723e-18,0,0,0.228807713628686,0,0,0,0,0,0,0.0396232607950694,0,0,0.0689198651580772,0,0,0,0,0,-0.296171060258888,0,-0.10774361050485,0,0,0,0,0,0,-8.67361737988404e-19
X601988.CH.EQUITY,0,0.0591939993346316,0,0,0,0,0,0,0,0,0.107865858626108,0,0,0,0,0.219835596137988,0,0.0739929903696238,0,0,0,0,0,0.22031352334127,0,0,0,0,0,0,0,0.103762112878791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136866611209381,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.117636210041392,0,0,0,0.267543576601326,0,0,0,0.166832843304878,0,0,0,0,0,0,0,0,0,0,0.0482798063058699,0,0,0,0.161331933983337,0,0.150334972627419,0,0,0,0,0.0358544196269164,0,0,0,0,0,0,0,0,0,0.0241657513831931,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119853076074171,0,0,0.141537301360424,0,0,0.278534878157424,0,0,0,0.0933523417047966,0,0,0,0,0,0,0.00847196562378501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.399131910320248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109545229180076,0,0,-2.77555756156289e-17,0.116284618113533,0,0,0,0.140628943744302,-0.0362346391475232,0,0,0,0.0130138030191042,0.258808099909977,0,0,0,0,0.116153107106721,0,-0.0463643248364948,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.170772632293545,0,0,0,0,0,0.219853689281725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983489208911915,0,0,-0.14802005851867,0,0,0,0,0,0,0,0,0.783512959852156,0,0,0,0,0,0.377728184837836,-0.274242666020424,0,0,0
