,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.34318348903783,0,0.329102020385021,0,0,0,0,0,0,0.0394663717373399,0,0,0,0,0,0,0,0,0,0,0.0190315148908771,0,-0.0557183639741241,0,0,0,0,0,0,0.0272723992068827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029052108501536,0,0.109362873130043,0,-0.126812891660944,0
X601939.CH.EQUITY,0.511160320639317,0,0,0.105237453904282,0,0,-0.113822330106485,0,0,0,0.0181569144974393,0,0.375728547096432,0,-0.00998029239115684,0,0,0,0,0,0,-0.151192983198459,0,0,-0.000507545109487063,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101774529890793,0,0,0,0.00525007340769365
X601318.CH.EQUITY,0,0,0,0,0.22293029084622,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.047251481686904,0,0,0,0,0,0,0.196567441164418,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.239102325383929,0,0,0,0,0.212081920345115,0,0,0,0,0,0,0.0760830145673651,0,0
X601288.CH.EQUITY,0.500917127408513,0,0,0,0.198578425772688,0,0,0,0,0,0,0,0.0745716489057299,0,0,0,0,0,0,0.0127692824222515,0.11698577927969,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0502342519152759,0,0,0,0,-3.46944695195361e-18,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.541992174874761,0,0,0,0,0,0.259384075996773,0,0,0,0,0,0.257869224400129,0,0.0171683582889784,0,0,0,0,0,0,0,0,0.0933517548327889,0,0,0,0,0,0,0,0,0,-0.37918652943453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20301517546473
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.300686705191929,0,0,0,0,0,0.0724604689350727,0,0,0,0,0,0.00853626591015676,0,0,0,0,0,0.0441994807917676,0.186446478193822,0,0.0788253616536151,0,0,0,0,0.00294248937629493,0,0,0,0.180418140618874,0,0,0,0,0.111096686992425,0,0.0165711700927363,0,0,0
X1299.HK.EQUITY,0.0764864107861011,0,0,0,0,0,0,0,0.135197643800126,0,0,0,0.101688137712613,0,0,0,0,0,0,0,0,0,0.010238781598213,0,0,0,0,0.226860562727587,0,0,0,0,0,0,0,0.176030166487771,0,0,0,0,0,0,0.0714900769264729,0,0,0,0.107194918711745,0,0,0,0,0
X5.HK.EQUITY,0,-0.0543462293462013,0,-0.124687635369923,0,0,0,0,0,0,0,0,0,0,-0.00835969860195428,0,0,0,0,0,0,0,-0.593871248632855,1.03799788866954,0,0,0,0,0.491187613264282,0,0,0,0,0,0,0,0,0,0.421928016869037,0,0,0,0,-0.103966895240482,0,0,0,0,0,0,-0.0731185392303806,0
X601628.CH.EQUITY,0.0750459298238083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171673315773612,0,0,0,0.0369469475903442,0,0,0,0,0,0.181014180875359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169430094454701,0,0,0.0173311860803457,0,0.0869574958993981,0.0498652984203531,0,-0.0737306589773112,0.0146892451403043
X601658.CH.Equity,0,0,0,0.0690404094993522,0.0713142988435698,0,0,0,0,0,0,0,0.254136386530904,-0.039011226222211,0,0,0,0,0,0,0.0156473949588746,0,0,0,0,0,0.210739569665806,0.121746884962537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.361967733598912,0,0,0,0
